id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
56,α01425,ἀβελτέρειος,a,aps---mn1-,ἀβελτέρειος ἀβελτέρεια ἀβελτέρειον,,,,,0
82,α01451,ἀβλέπτημα,n,----------,,,,,,0
83,α01452,ἄβλεπτος,a,aps---cn2-,ἄβλεπτος ἄβλεπτος ἄβλεπτον,,,,,0
104,α01473,ἀβόρβορος,a,aps---cn2-,ἀβόρβορος ἀβόρβορος ἀβόρβορον,,,,,0
129,α01497,ἁβροβόστρυχος,a,aps---cn2-,ἁβροβόστρυχος ἁβροβόστρυχος ἁβροβόστρυχον,,,,,0
133,α01501,ἁβροδίαιτος,a,aps---cn2-,ἁβροδίαιτος ἁβροδίαιτος ἁβροδίαιτον,,,,,0
153,α01521,ἁβρότιμος,a,aps---cn2-,ἁβρότιμος ἁβρότιμος ἁβρότιμον,,,,,0
181,α01547,ἀβυρτακοποιός,a,aps---cn2-,ἀβυρτακοποιός ἀβυρτακοποιός ἀβυρτακοποιόν,,,,,0
182,α01548,ἀβυρτακώδης,a,aps---cn3s,ἀβυρτακώδης ἀβυρτακώδης ἀβυρτακώ͂δες,,,,,0
195,α01562,ἀγαθείκελος,a,aps---cn2-,ἀγαθείκελος ἀγαθείκελος ἀγαθείκελον,,,,,0
231,α01598,ἀγαθωσύνη,n,n-s---fn1e,ἀγαθωσύνης,,,/a.ɡa.tʰɔː.sý.nɛː/,,0
234,α01660,ἀγαῖος,a,aps---mn1-,ἀγαῖος ἀγαῖα ἀγαῖον,,,,,0
236,α01601,ἀγακλειτός,a,aps---mn1-,ἀγακλειτός ἀγακλειτή ἀγακλειτόν,,,,,0
254,α01619,ἀγαλματοποιητικός,a,aps---mn1-,ἀγαλματοποιητικός ἀγαλματοποιητική ἀγαλματοποιητικόν,,,,,0
284,α01648,ἀγανακτικός,a,aps---mn1-,ἀγανακτικός ἀγανακτική ἀγανακτικόν,,,,,0
301,α01667,ἀγάπησις,n,n-s---fn3v,ἀγαπησέως,,,,,0
310,α01676,ἀγάρροος,a,aps---cn2-,ἀγάρροος ἀγάρροος ἀγάρροον,,ἀγάρρους ἀγάρρους ἀγάρρουν,,,0
336,α01714,ἀγγεῖον,n,n-s---nn2-,ἀγγείου,,,/aŋ.ɡêː.on/,,0
