9,πολυκέντητος,a,aps---cn2-,πολυκέντητος πολυκέντητος πολυκέντητον,,,,,0
81169,π08240,πολυκέρδεια,n,n-s---fn1s,πολυκέρδειας,,,,,0
81170,π08241,πολυκερδής,a,aps---cn5s,πολυκερδής πολυκερδής πολυκερδές,,,,,0
81171,π08242,πολυκέρως,n,n-s---cn3d,πολυκέρωτος,,,,,0
81172,π08243,πολύκεστος,a,aps---cn2-,πολύκεστος πολύκεστος πολύκεστον,,,,,0
81173,π08244,πολυκέφαλος,a,aps---cn2-,πολυκέφαλος πολυκέφαλος πολυκέφαλον,,,,,0
81174,π08245,πολυκήδεια,n,n-s---fn1s,πολυκήδειας,,,,,0
81175,π08246,πολυκηδής,a,aps---cn5s,πολυκηδής πολυκηδής πολυκηδές,,,,,0
81177,π08248,πολυκήτης,a,aps---cn3s,πολυκήτης πολυκήτης πολυκή͂τες,,,,,0
81178,π08249,πολυκίνδυνος,a,aps---cn2-,πολυκίνδυνος πολυκίνδυνος πολυκίνδυνον,,,,,0
81179,π08250,πολυκινησία,n,n-s---fn1l,πολυκινησίας,,,,,0
81180,π08251,πολυκίνητος,a,aps---cn2-,πολυκίνητος πολυκίνητος πολυκίνητον,,,,,0
81181,π08252,πολυκίων,a,aps---cn3n,πολυκίων πολυκίων πολυκίον,,,,,0
81182,π08253,πολύκλαγγος,a,aps---cn2-,πολύκλαγγος πολύκλαγγος πολύκλαγγον,,,,,0
81183,π08254,πολυκλαδής,a,aps---cn5s,πολυκλαδής πολυκλαδής πολυκλαδές,,,,,0
81184,π08255,πολύκλαδος,a,aps---cn2-,πολύκλαδος πολύκλαδος πολύκλαδον,,,,,0
81185,π08256,πολύκλαυστος,a,aps---cn2-,πολύκλαυστος πολύκλαυστος πολύκλαυστον,,aps---mn1-=πολύκλαυστος aps---fn1-=πολύκλαυστα aps---nn1-=πολύκλαυστον,,,0
81186,π08257,πολυκλεής,a,aps---cn5s,πολυκλεής πολυκλεής πολυκλεές,,,,,0
81187,π08258,πολυκλείδωτος,a,aps---cn2-,πολυκλείδωτος πολυκλείδωτος πολυκλείδωτον,,,,,0
81188,π08259,πολύκλειστος,a,aps---cn2-,πολύκλειστος πολύκλειστος πολύκλειστον,,,,,0
81189,π08260,πολύκλειτος,a,aps---mn1-,πολύκλειτος πολυκλείτη πολύκλειτον,,,,,0
81190,π08261,πολύκλεπτος,a,aps---cn2-,πολύκλεπτος πολύκλεπτος πολύκλεπτον,,,,,0
81191,π08262,πολυκλήεις,a,aps---mn4i,πολυκλήεις πολυκλήεσσα πολυκλήεν,,,,,0
81192,π08264,πολυκλήϊς,n,n-s---fn3d,πολυκλήιδος,,,,,0
81193,π08263,πολυκλήϊδτος,a,aps---cn2-,πολυκλήϊδτος πολυκλήϊδτος πολυκλήϊδτον,,,,,0
81194,π08265,πολυκληματέω,v,----------,,,,,,0
81195,π08266,πολύκληρος,a,aps---cn2-,πολύκληρος πολύκληρος πολύκληρον,,,,,0
81196,π08267,πολύκλητος,a,aps---cn2-,πολύκλητος πολύκλητος πολύκλητον,,,,,0
81197,π08268,πολυκλινής,a,aps---cn5s,πολυκλινής πολυκλινής πολυκλινές,,,,,0
81198,π08269,πολύκλϊνος,a,aps---cn2-,πολύκλϊνος πολύκλϊνος πολύκλϊνον,,,,,0
81199,π08270,πολύκλυστος,a,aps---cn2-,πολύκλυστος πολύκλυστος πολύκλυστον,,,,,0
81200,π08271,πολύκλωνος,a,aps---cn2-,πολύκλωνος πολύκλωνος πολύκλωνον,,,,,0
81201,π08272,πολύκμητος,a,aps---cn2-,πολύκμητος πολύκμητος πολύκμητον,,,,,0
81202,π08273,πολύκνημος,a,aps---cn2-,πολύκνημος πολύκνημος πολύκνημον,,,,,0
81204,π08275,πολυκοίλιος,a,aps---cn2-,πολυκοίλιος πολυκοίλιος πολυκοίλιον,,,,,0
81205,π08276,πολυκοίμητος,a,aps---cn2-,πολυκοίμητος πολυκοίμητος πολυκοίμητον,,,,,0
81206,π08277,πολυκοινέω,v,----------,,,,,,0
81207,π08278,πολυκοινία,n,n-s---fn1l,πολυκοινίας,,,,,0
81208,π08279,πολύκοινος,a,aps---cn2-,πολύκοινος πολύκοινος πολύκοινον,,,,,0
81209,π08280,πολυκοιρανία,n,n-s---fn1l,πολυκοιρανίας,,,,,0
81210,π08281,πολυκοίρανος,a,aps---cn2-,πολυκοίρανος πολυκοίρανος πολυκοίρανον,,,,,0
81211,π08282,πολυκοιτέω,v,----------,,,,,,0
81212,π08283,πολύκοιτος,a,aps---cn2-,πολύκοιτος πολύκοιτος πολύκοιτον,,,,,0
81213,π08284,πολύκολπος,a,aps---cn2-,πολύκολπος πολύκολπος πολύκολπον,,,,,0
81214,π08285,πολυκόλυμβος,a,aps---cn2-,πολυκόλυμβος πολυκόλυμβος πολυκόλυμβον,,,,,0
81215,π08286,πολύκομος,a,aps---cn2-,πολύκομος πολύκομος πολύκομον,,,,,0
81216,π08287,πολύκομπος,a,aps---cn2-,πολύκομπος πολύκομπος πολύκομπον,,,,,0
81217,π08288,πολύκομψος,a,aps---cn2-,πολύκομψος πολύκομψος πολύκομψον,,,,,0
81218,π08289,πολύκοπος,n,----------,,,,,,0
81219,π08290,πολύκοσμος,a,aps---cn2-,πολύκοσμος πολύκοσμος πολύκοσμον,,,,,0
81220,π08291,πολύκρανος,a,aps---cn2-,πολύκρανος πολύκρανος πολύκρανον,,,,,0
81222,π08292,πολυκρατέω,v,----------,,,,,,0
81223,π08293,πολυκρατής,a,aps---cn5s,πολυκρατής πολυκρατής πολυκρατές,,,,,0
81224,π08294,πολύκρατος,a,aps---cn2-,πολύκρατος πολύκρατος πολύκρατον,,,,,0
81225,π08295,πολύκρεκτος,a,aps---cn2-,πολύκρεκτος πολύκρεκτος πολύκρεκτον,,,,,0
