1,στεφανοποιός,n,----------,,,,,,0
92554,σ03322,στεφανοπώλης,n,n-s---cn1e,στεφανοπώλου,,,,,0
92555,σ03323,στέφανος,n,n-s---mn2-,στεφάνου,,,/sté.pʰa.nos/,,0
92557,σ03326,στεφανοῦχος,a,aps---cn2-,στεφανοῦχος στεφανοῦχος στεφανοῦχον,,,,,0
92558,σ03325,στεφανοφορέω,v,----------,,,,,,0
92559,σ03327,στεφανόω,v,----------,,,,,,0
92560,σ03328,στεφανώδης,a,aps---cn3s,στεφανώδης στεφανώδης στεφανώ͂δες,,,,,0
92561,σ03329,στεφάνωμα,n,n-s---nn3t,στεφανώματος,,,,,0
92562,σ03330,στεφανωματικός,a,aps---mn1-,στεφανωματικός στεφανωματική στεφανωματικόν,,,,,0
92563,σ03331,στεφάνωσις,n,n-s---fn3v,στεφανωσέως,,,,,0
92564,σ03332,στεφανωτής,n,n-s---mn1e,στεφανωτού,,,,,0
92565,σ03333,στεφανωτικός,a,aps---mn1-,στεφανωτικός στεφανωτική στεφανωτικόν,,,,,0
92566,σ03334,στεφανωτρίς,n,n-s---fn3d,στεφανωτρίδος,,,,,0
92567,σ03335,στεφηπλόκος,a,aps---cn2-,στεφηπλόκος στεφηπλόκος στεφηπλόκον,,,,,0
92568,σ03336,στεφηφορέω,v,----------,,,,,,0
92569,σ03337,στεφηφόρος,a,aps---cn2-,στεφηφόρος στεφηφόρος στεφηφόρον,,,,,0
92570,σ03338,στέφος,n,n-s---nn3v,στέφεος,,,,,0
92571,σ03339,στέφω,v,----------,,,,/sté.pʰɔː/,,0
92572,σ03340,στέψις,n,n-s---fn3v,στέψεως,,,,,0
92573,σ03341,στέωμεν,n,----------,,,,,,0
92574,σ03342,στήγω,v,----------,,,,,,0
92575,σ03344,στήδην,r,----------,,,,,,0
92577,σ03346,στηθάριον,n,n-s---nn2-,στηθαρίου,,,,,0
92578,σ03347,στήθειος,a,aps---cn2-,στήθειος στήθειος στήθειον,,,,,0
92579,σ03348,στηθιαῖος,a,aps---mn1-,στηθιαῖος στηθιαῖα στηθιαῖον,,,,,0
