7948,τ00034,τάγευμα,n,n-s---nn3t,ταγεύματος,,,,,0
97949,τ00035,ταγεύω,v,----------,,,,,,0
97950,τ00036,ταγέω,v,----------,,,,,,0
97951,τ00037,ταγή,n,n-s---fn1e,ταγῆς,,,,,0
97952,τ00038,ταγηνάριον,n,n-s---nn2-,ταγηναρίου,,,,,0
97953,τ00039,ταγηνίας,n,n-s---mn1a,ταγηνίου,,,,,0
97954,τ00040,ταγηνίζω,v,----------,,,,,,0
97955,τ00041,ταγήνισις,n,n-s---fn3v,ταγηνισέως,,,,,0
97956,τ00042,ταγηνισταί,n,n-p---mn2-,ταγηνιστῶν,,,,,0
97957,τ00043,ταγηνιστός,a,aps---mn1-,ταγηνιστός ταγηνιστή ταγηνιστόν,,,,,0
97958,τ00044,ταγηνίτης,n,n-s---mn1e,ταγηνίτου,,,,,0
97960,τ00046,τάγηνον,n,n-s---nn2-,ταγήνου,,,/tá.ɡɛː.non/,,0
97961,τ00047,ταγηνοστρόφιον,n,n-s---nn2-,ταγηνοστροφίου,,,,,0
97962,τ00048,τάγμα,n,n-s---nn3t,τάγματος,,,/táŋ.ma/,,0
97963,τ00049,ταγματάρχης,n,n-s---mn1e,ταγματάρχου,,,,,0
97964,τ00050,ταγματικός,a,aps---mn1-,ταγματικός ταγματική ταγματικόν,,,,,0
97965,τ00051,ταγμάτιον,n,----------,,,,,,0
97966,τ00052,ταγός,n,----------,,,,,,0
97967,τ00053,ταγοῦχος,n,n-s---mn2-,ταγούχου,,,,,0
97968,τ00054,τάγυρι,n,n-s---nn--,-,,,,,0
97969,τ00055,τάγχαρας,n,----------,,,,,,0
97972,τ00057,τάδην,r,----------,,,,,,0
97973,τ00058,ταθείς,n,----------,,,,,,0
97974,τ00059,ταθρίσιον,n,n-s---nn2-,ταθρισίου,,,,,0
97975,,Ταιναριεύς,n,n-s---mn3v,Ταιναριέως,,,,,0
97976,,Ταίναρος,n,----------,,,,/taí̯.na.ros/,,0
97977,τ00060,ταινί,r,----------,,,,,,0
97978,τ00061,ταινία,n,n-s---fn1l,ταινίας,,,,,0
97979,τ00062,ταινιάζω,v,----------,,,,,,0
97981,τ00064,ταινίν,n,----------,,,,,,0
97982,τ00065,ταινιοειδής,a,aps---cn5s,ταινιοειδής ταινιοειδής ταινιοειδές,,,,,0
97983,τ00066,ταινίον,n,n-s---nn2-,ταινίου,,,,,0
97984,τ00067,ταινιόπωλις,n,n-s---fn3d,ταινιοπώλιδος,,,,,0
97985,τ00068,ταινιόω,v,----------,,,,,,0
97986,τ00069,ταινιώδης,a,aps---cn3s,ταινιώδης ταινιώδης ταινιώ͂δες,,,,,0
97987,τ00070,ταινιωτικός,a,aps---mn1-,ταινιωτικός ταινιωτική ταινιωτικόν,,,,,0
97988,τ00071,ταιννί,r,----------,,,,,,0
97989,τ00072,ταί̈της,n,n-s---mn1e,ταΐτου,,,,,0
97990,τ00073,τακερός,a,aps---mn1-,τακερός τακερά τακερόν,,,,,0
97991,τ00074,τακερόχρως,n,----------,,,,,,0
97992,τ00075,τακερόω,v,----------,,,,,,0
97993,τ00076,τακέρωσις,n,n-s---fn3v,τακερωσέως,,,,,0
97994,τ00077,τακηρός,a,aps---mn1-,τακηρός τακηρά τακηρόν,,,,,0
97995,τ00078,τάκιστα,n,----------,,,,,,0
97996,τ00079,τακτέον,n,----------,,,,,,0
97997,τ00080,τάκτης,n,n-s---mn1e,τάκτου,,,,,0
97999,τ00082,τακτόμισθος,n,n-s---mn2-,τακτομίσθου,,,,,0
98000,τ00083,τακτός,a,aps---mn1-,τακτός τακτή τακτόν,,,,,0
98001,τ00084,τάκω,v,----------,,,,,,0
98002,τ00085,τάκων,n,----------,,,,,,0
98003,τ00086,τάλα,n,----------,,,,,,0
98004,τ00087,ταλαεργός,a,aps---cn2-,ταλαεργός ταλαεργός ταλαεργόν,,,,,0
98005,τ00088,ταλαίμοχθος,a,aps---cn2-,ταλαίμοχθος ταλαίμοχθος ταλαίμοχθον,,,,,0
98006,τ00089,τάλαινα,n,----------,,,,,,0
98007,,Ταλαϊονίδης,n,n-s---mn1e,Ταλαϊονίδου,,,,,0
98008,τ00090,ταλαιπωρέω,v,----------,,,,,,0
98009,τ00091,ταλαιπώρημα,n,n-s---nn3t,ταλαιπωρήματος,,,,,0
98010,τ00092,ταλαιπώρησις,n,n-s---fn3v,ταλαιπωρησέως,,,,,0
98011,τ00093,ταλαιπωρία,n,n-s---fn1l,ταλαιπωρίας,,,,,0
98012,τ00094,ταλαιπωρίζω,v,----------,,,,,,0
98013,τ00095,ταλαιπωρικός,a,aps---mn1-,ταλαιπωρικός ταλαιπωρική ταλαιπωρικόν,,,/ta.lai̯.pɔː.ri.kós/,,0
98014,τ00096,ταλαιπωρισμός,n,----------,,,,,,0
98015,τ00097,ταλαίπωρος,a,aps---cn2-,ταλαίπωρος ταλαίπωρος ταλαίπωρον,,,/ta.laí̯.pɔː.ros/,,0
98016,τ00098,ταλαίφρων,n,----------,,,,,,0
98017,τ00099,ταλακάρδιος,a,aps---cn2-,ταλακάρδιος ταλακάρδιος ταλακάρδιον,,,,,0
98018,τ00100,ταλανίζω,v,----------,,,,,,0
98019,τ00101,ταλαντάω,v,----------,,,,,,0
98020,τ00102,ταλαντεία,n,n-s---fn1l,ταλαντείας,,,,,0
98021,τ00103,ταλαντεύω,v,----------,,,,,,0
98023,τ00105,ταλαντιεῖος,a,aps---mn1-,ταλαντιεῖος ταλαντιεῖα ταλαντιεῖον,,,,,0
98024,τ00106,ταλαντισμός,n,----------,,,,,,0
98026,τ00108,ταλαντόομαι,v,----------,,,,,,0
98029,τ00111,ταλαός,a,aps---mn1-,ταλαός ταλαή ταλαόν,,,,,0
98030,τ00112,ταλαπαθής,a,aps---cn5s,ταλαπαθής ταλαπαθής ταλαπαθές,,,,,0
98031,τ00113,ταλαπείριος,a,aps---cn2-,ταλαπείριος ταλαπείριος ταλαπείριον,,,,,0
98032,τ00114,ταλαπενθής,a,aps---cn5s,ταλαπενθής ταλαπενθής ταλαπενθές,,,,,0
98033,τ00115,ταλάπης,n,n-s---mn1e,ταλάπου,,,,,0
98034,τ00116,ταλάριον,n,n-s---nn2-,ταλαρίου,,,,,0
98035,τ00117,ταλαρίσκος,n,n-s---mn2-,ταλαρίσκου,,,,,0
98036,τ00118,τάλαρος,n,n-s---mn2-,ταλάρου,,,,,0
98037,τ00119,τάλας,a,aps---mn2-,τάλ τάλαιν τάλ,,,,,0
98038,τ00120,ταλασήϊος,n,----------,,,,,,0
98039,τ00121,ταλασία,n,n-s---fn1l,ταλασίας,,,,,0
98040,τ00122,ταλάσιος,a,aps---cn2-,ταλάσιος ταλάσιος ταλάσιον,,,,,0
98041,τ00123,ταλασιουργέω,v,----------,,,,,,0
98042,τ00124,ταλασιουργία,n,n-s---fn1l,ταλασιουργίας,,,,,0
98043,τ00125,ταλασιουργικός,a,aps---mn1-,ταλασιουργικός ταλασιουργική ταλασιουργικόν,,,,,0
98044,τ00126,ταλασιουργός,n,----------,,,,,,0
98045,τ00127,ταλασίφρων,a,aps---cn5n,ταλασίφρων ταλασίφρων *ταλάσιφρον,,,/ta.la.sí.pʰrɔːn/,,0
98046,τ00128,ταλάσσῃς,n,----------,,,,,,0
98047,τ00129,ταλαύρινος,a,aps---cn2-,ταλαύρινος ταλαύρινος ταλαύρινον,,,,,0
98048,τ00130,ταλάφρων,n,----------,,,,,,0
98049,τ00131,ταλάωρ,n,----------,,,,,,0
98050,τ00132,ταλίκος,a,aps---cn2-,ταλίκος ταλίκος ταλίκον,,,,,0
98051,τ01865,τᾶλις,n,n-s---fn3d,τάλιδος,,,,,0
98052,τ00133,ταμεία,n,n-s---fn1l,ταμείας,,,,,0
98053,τ00134,ταμεῖον,n,----------,,,,,,0
98054,τ00135,ταμεσίχρως,n,----------,,,,,,0
98055,τ00136,ταμία,n,----------,,,,,,0
98056,τ00137,ταμία,n,n-s---fn1l,ταμίας,,,,,0
98058,τ00139,τάμιας,n,n-s---mn1a,ταμίου,,,,,0
98059,τ00141,ταμιεία,n,n-s---fn1l,ταμιείας,,,,,0
98060,τ00142,ταμιείδιον,n,n-s---nn2-,ταμιειδίου,,,,,0
98061,τ00143,ταμιεῖον,n,n-s---nn2-,ταμιείου,,,,,0
