14,ἀπικρόχολος,a,aps---cn2-,ἀπικρόχολος ἀπικρόχολος ἀπικρόχολον,,,,,0
11414,α12015,ἀπίλητος,a,aps---cn2-,ἀπίλητος ἀπίλητος ἀπίλητον,,,,,0
11415,α12016,ἀπίλλω,v,----------,,,,,,0
11416,α12017,ἀπίμελος,a,aps---cn2-,ἀπίμελος ἀπίμελος ἀπίμελον,,,,,0
11417,α12018,ἀπινής,a,aps---cn5s,ἀπινής ἀπινής ἀπινές,,,,,0
11418,α12019,ἀπινόω,v,----------,,,,,,0
11419,α12020,ἀπινύσσω,v,----------,,,,,,0
11423,α12024,ἄπιον,n,n-s---nn2-,ἀπίου,,,,,0
11424,α12026,ἄπιος,n,----------,,,,,,0
11425,α12025,ἄπιος,a,aps---mn1-,ἄπιος ἀπίη ἄπιον,,,,,0
11426,α12027,ἀπιπόω,v,----------,,,,,,0
11427,,Ἀπις,n,----------,,,,,,0
11428,α12028,ἀπισόω,v,----------,,,,,,0
11429,α12029,ἀπίσσωτος,a,aps---cn2-,ἀπίσσωτος ἀπίσσωτος ἀπίσσωτον,,,,,0
11430,α12030,ἀπιστεύω,v,----------,,,,,,0
11431,α12031,ἀπιστέω,v,----------,,,,,,0
11432,α12032,ἀπιστητέον,a,----------,,,,,,0
11433,α12033,ἀπιστητικός,a,aps---mn1-,ἀπιστητικός ἀπιστητική ἀπιστητικόν,,,,,0
11434,α12034,ἀπιστία,n,n-s---fn1l,ἀπιστίας,,,,,0
11435,α12035,ἄπιστος,a,aps---cn2-,ἄπιστος ἄπιστος ἄπιστον,,,/á.pis.tos/,,0
11436,α12036,ἀπιστοσύνη,n,n-s---fn1e,ἀπιστοσύνης,,,,,0
11437,α12037,ἀπιστούντως,r,----------,,,,,,0
11438,α12038,ἀπιστόφιλος,a,aps---cn2-,ἀπιστόφιλος ἀπιστόφιλος ἀπιστόφιλον,,,,,0
11439,α12039,ἀπισχναίνω,v,----------,,,,,,0
11440,α12040,ἀπισχναντέον,v,----------,,,,,,0
11441,α12041,ἀπισχνόω,v,----------,,,,,,0
11442,α12042,ἀπισχυρίζομαι,v,----------,,,,,,0
11443,α12043,ἀπισχυριστικῶς,r,----------,,,,,,0
11444,α12044,ἀπίσχω,v,----------,,,,,,0
11445,α12045,ἀπίσωσις,n,n-s---fn3v,ἀπισωσέως,,,,,0
11446,α12046,ἀπιτέον,v,----------,,,,,,0
11448,α12048,ἀπίτης,n,n-s---mn1e,ἀπίτου,,,,,0
11449,α12049,ἀπιτητέον,n,----------,,,,,,0
11450,α12051,ἀπιχθυόομαι,v,----------,,,,/a.pikʰ.tʰy.ó.o.mai̯/,,0
11451,α12052,ἄπιχθυς,a,aps---cn5u,ἄπιχθυς ἄπιχθυς ἄπιχθυ,,,,,0
11452,α12053,ἀπίων,a,aps---cn3n,ἀπίων ἀπίων ἀπίον,,,,,0
11453,α12055,ἀπλαγιάστως,r,----------,,,,,,0
11454,α12056,ἄπλαγκτος,a,aps---cn2-,ἄπλαγκτος ἄπλαγκτος ἄπλαγκτον,,,,,0
11455,α12054,ἀπλαῖ,n,----------,,,,,,0
11456,α12057,ἀπλακέω,v,----------,,,,,,0
11457,α12058,ἀπλάκουντος,a,aps---cn2-,ἀπλάκουντος ἀπλάκουντος ἀπλάκουντον,,,,,0
11458,α12060,ἀπλάνεια,n,n-s---fn1s,ἀπλάνειας,,,,,0
11459,α12059,ἀπλανῆ,n,----------,,,,,,0
11460,α12061,ἀπλανής,a,aps---cn5s,ἀπλανής ἀπλανής ἀπλανές,,,,,0
11461,α12062,ἀπλανησία,n,n-s---fn1l,ἀπλανησίας,,,,,0
11462,α12063,ἀπλάνητος,a,aps---cn2-,ἀπλάνητος ἀπλάνητος ἀπλάνητον,,,,,0
