,65203,47957,,,
1559664,65203,65171,,,
1559666,65203,47278,,,
1559667,65203,46026,,,
1559668,65203,46025,,,
1559669,65203,46023,,,
1559670,65203,46022,,,
1559671,65203,46021,,,
1559673,65233,90875,,,
1559674,65233,90678,,,
1559675,65233,90871,,,
1559676,65233,90870,,,
1559677,65233,90867,,,
1559678,65233,90674,,,
1559680,65233,84880,,,
1559681,65233,88750,,,
1559682,65233,88749,,,
1559683,65233,80971,,,
1559684,65233,79017,,,
1559685,65233,79015,,,
1559687,65233,90402,,,
1559688,65233,90883,,,
1559689,65233,78274,,,
1559690,65209,92446,,,
1559691,65209,91646,,,
1559692,65209,82588,,,
1559694,65209,89302,,,
1559695,65209,87158,,,
1559696,65209,89907,,,
1559697,65209,83698,,,
1559698,65209,88496,,,
1559699,65209,81901,,,
1559701,65209,79851,,,
1559702,65209,86634,,,
1559703,65209,87337,,,
1559704,65209,87335,,,
1559705,65209,87334,,,
1559706,65209,91425,,,
1559708,65190,14399,,,
1559709,65190,82108,,,
1559710,65190,87706,,,
1559711,65190,48054,,,
1559712,65190,70808,,,
1559713,65190,90679,,,
1559715,65190,84340,,,
1559716,65190,90676,,,
1559717,65190,90579,,,
1559718,65190,102379,,,
1559719,65190,22158,,,
1559720,65190,89901,,,
1559722,65190,39671,,,
1559723,65190,80970,,,
1559724,65190,92194,,,
1559725,65190,85664,,,
1559726,65199,91071,,,
1559727,65199,82108,,,
1559729,65199,90679,,,
1559730,65199,84340,,,
1559731,65199,90676,,,
1559732,65199,90579,,,
1559733,65199,90669,,,
1559734,65199,89901,,,
1559736,65199,91048,,,
1559737,65199,92194,,,
1559738,65199,85664,,,
1559739,65195,77127,,,
1559741,65195,69749,,,
1559742,65195,69747,,,
1559743,65195,73272,,,
1559745,65194,59514,,,
1559746,65194,41206,,,
1559747,65194,29557,,,
1559748,65194,24167,,,
1559749,65194,37863,,,
1559750,65194,57830,,,
1559752,65194,24672,,,
1559753,65194,32478,,,
1559754,65194,59340,,,
1559755,65194,30537,,,
1559756,65194,29641,,,
1559757,65194,456,,,
1559759,65194,24389,,,
1559760,65194,23361,,,
1559761,65194,29631,,,
1559762,65194,24757,,,
1559763,65194,13743,,,
1559764,65194,13742,,,
1559766,65194,101280,,,
1559767,65194,4250,,,
1559768,65194,59540,,,
1559769,65194,59539,,,
1559770,65194,24336,,,
1559771,65194,24332,,,
1559773,65197,75988,,,
1559774,65210,81913,,,
1559775,65210,90196,,,
1559776,65210,91348,,,
1559777,65210,90674,,,
1559778,65210,90708,,,
1559780,65210,80912,,,
1559781,65210,80913,,,
1559782,65210,86544,,,
1559783,65210,79561,,,
1559784,65210,86467,,,
1559785,65210,90403,,,
1559787,65210,81152,,,
1559788,65184,90093,,,
1559789,65184,92141,,,
1559790,65184,78315,,,
1559791,65184,81382,,,
1559792,65184,84452,,,
1559794,65184,90081,,,
1559795,65184,91099,,,
1559796,65184,91100,,,
1559797,65184,91101,,,
1559798,65184,89051,,,
1559799,65184,87003,,,
1559801,65184,91097,,,
1559802,65184,87000,,,
1559803,65184,79825,,,
1559804,65184,93649,,,
1559805,65184,91598,,,
1559806,65184,83916,,,
1559808,65184,89531,,,
1559809,65184,85433,,,
1559810,65184,79797,,,
1559811,65184,83891,,,
1559812,65184,81837,,,
1559813,65184,83879,,,
1559815,65184,91557,,,
1559816,65184,82850,,,
1559817,65184,83860,,,
1559818,65184,82322,,,
1559819,65184,82321,,,
1559820,65184,89483,,,
1559822,65184,89479,,,
1559823,65184,91008,,,
1559824,65184,90992,,,
1559825,65184,90989,,,
1559826,65184,84332,,,
1559827,65184,84331,,,
1559829,65184,80219,,,
1559830,65184,83262,,,
1559831,65184,83261,,,
1559832,65184,81716,,,
1559833,65184,79662,,,
1559834,65184,84268,,,
1559836,65184,80170,,,
1559837,65184,79144,,,
1559838,65184,80168,,,
1559839,65184,80167,,,
1559840,65184,91938,,,
1559841,65184,89374,,,
1559843,65184,86294,,,
1559844,65184,89362,,,
1559845,65184,86289,,,
1559846,65184,84751,,,
1559848,65184,85257,,,
1559849,65184,82688,,,
1559850,65184,88831,,,
1559852,65184,81148,,,
1559853,65184,81143,,,
1559854,65184,86775,,,
1559855,65184,84199,,,
1559856,65184,89317,,,
1559857,65184,92371,,,
1559859,65184,92361,,,
1559860,65184,92360,,,
1559861,65184,83140,,,
1559862,65184,84164,,,
1559863,65184,90306,,,
1559864,65184,87234,,,
1559866,65184,83136,,,
1559867,65184,86705,,,
1559868,65184,90287,,,
