,73143,,,
1635054,70602,69045,,,
1635055,70602,70072,,,
1635057,70602,69558,,,
1635058,70602,76212,,,
1635059,70602,69556,,,
1635060,70602,67505,,,
1635061,70602,76209,,,
1635062,70602,74672,,,
1635064,70602,70058,,,
1635065,70602,74151,,,
1635066,70602,73638,,,
1635067,70602,66469,,,
1635069,70602,69537,,,
1635070,70602,76193,,,
1635071,70602,77215,,,
1635073,70602,69022,,,
1635074,70602,68509,,,
1635075,70602,75160,,,
1635076,70602,69010,,,
1635077,70602,70542,,,
1635078,70602,72589,,,
1635080,70602,70025,,,
1635081,70602,69513,,,
1635082,70602,70024,,,
1635083,70602,70021,,,
1635084,70602,68482,,,
1635085,70602,70019,,,
1635087,70602,77697,,,
1635088,70602,77691,,,
1635089,70602,68984,,,
1635090,70602,75121,,,
1635091,70602,72561,,,
1635092,70602,69484,,,
1635094,70602,68974,,,
1635095,70602,70509,,,
1635096,70602,69995,,,
1635097,70602,72555,,,
1635098,70602,69993,,,
1635099,70602,69991,,,
1635101,70602,69988,,,
1635102,70602,70500,,,
1635103,70602,70498,,,
1635104,70602,66914,,,
1635105,70602,69981,,,
1635106,70602,69978,,,
1635108,70602,77307,,,
1635109,70602,77651,,,
1635110,70602,68947,,,
1635111,70602,69970,,,
1635112,70602,74576,,,
1635113,70602,68944,,,
1635115,70602,68423,,,
1635116,70602,67399,,,
1635117,70602,69957,,,
1635118,70602,70973,,,
1635119,70602,75576,,,
1635120,70602,66361,,,
1635122,70602,69942,,,
1635123,70602,73525,,,
1635124,70602,66355,,,
1635125,70602,78128,,,
1635126,70602,70446,,,
1635127,70602,69932,,,
1635129,70602,76069,,,
1635130,70602,72485,,,
1635131,70602,72483,,,
1635132,70602,76057,,,
1635133,70602,70937,,,
1635134,70602,72981,,,
1635136,70602,70933,,,
1635137,70602,75024,,,
1635138,70602,69889,,,
1635139,70602,75009,,,
1635140,70602,67327,,,
1635141,70602,77563,,,
1635143,70602,69365,,,
1635144,70602,69875,,,
1635145,70602,78068,,,
