43268,87287,,,
2023328,43268,92405,,,
2023329,43268,83699,,,
2023330,43268,82671,,,
2023332,43268,91374,,,
2023333,43268,79082,,,
2023334,43268,82154,,,
2023335,43268,87275,,,
2023336,43268,87274,,,
2023337,43268,87271,,,
2023339,43268,84703,,,
2023340,43268,84701,,,
2023341,43268,84186,,,
2023342,43268,81626,,,
2023343,43268,82136,,,
2023344,43268,78549,,,
2023346,43268,91345,,,
2023347,43268,91344,,,
2023348,43268,79213,,,
2023349,43268,87242,,,
2023350,43268,83651,,,
2023351,43268,86722,,,
2023353,43268,91840,,,
2023354,43268,84671,,,
2023355,43268,84668,,,
2023356,43268,92348,,,
2023357,43268,85685,,,
2023358,43268,88757,,,
2023360,43268,85679,,,
2023361,43268,81073,,,
2023362,43268,79537,,,
2023363,43268,92842,,,
2023364,43268,91823,,,
2023365,43268,91821,,,
2023367,43268,92332,,,
2023368,43268,92331,,,
2023369,43268,79206,,,
2023370,43268,92329,,,
2023372,43268,84135,,,
2023373,43268,84133,,,
2023374,43268,92325,,,
2023376,43268,81059,,,
2023377,43268,84129,,,
2023378,43268,89758,,,
2023379,43268,89757,,,
2023380,43268,89756,,,
2023381,43268,87194,,,
2023383,43268,92838,,,
2023384,43268,91796,,,
2023385,43268,84627,,,
2023386,43268,79503,,,
2023387,43268,91276,,,
2023388,43268,89742,,,
2023390,43268,84622,,,
2023391,43268,89741,,,
2023392,43268,89740,,,
2023393,43268,84619,,,
2023394,43268,84618,,,
2023395,43268,84613,,,
2023397,43268,89733,,,
2023398,43268,89732,,,
2023399,43268,89731,,,
2023400,43268,89730,,,
2023401,43268,81536,,,
2023402,43268,89215,,,
2023404,43268,82044,,,
2023405,43268,82043,,,
2023406,43268,82042,,,
2023407,43268,79479,,,
2023408,43268,89720,,,
2023409,43268,89719,,,
2023411,43268,84591,,,
2023412,43268,90730,,,
2023413,43268,93802,,,
2023414,43268,84586,,,
2023415,43268,93801,,,
2023416,43268,91750,,,
2023418,43268,85086,,,
2023419,43268,83547,,,
2023420,43268,87640,,,
2023421,43268,89683,,,
2023422,43268,89681,,,
2023423,43268,88145,,,
2023425,43268,90992,,,
2023426,43268,84555,,,
2023427,43268,87625,,,
2023428,43268,90991,,,
2023429,43268,84030,,,
2023430,43268,90990,,,
2023432,43268,90989,,,
2023433,43268,84033,,,
2023434,43268,84032,,,
2023435,43268,84031,,,
2023436,43268,84026,,,
2023437,43268,84029,,,
2023439,43268,89082,,,
2023440,43268,80888,,,
2023441,43268,90097,,,
2023442,43268,81391,,,
2023443,43268,81896,,,
2023444,43268,90088,,,
2023446,43268,82916,,,
2023447,43268,90074,,,
2023448,43268,84439,,,
2023449,43268,89442,,,
2023450,43268,84437,,,
2023451,43268,84434,,,
2023453,43268,85962,,,
2023454,43268,84425,,,
2023455,43268,78792,,,
2023456,43268,81863,,,
2023457,43268,83395,,,
2023458,43268,82370,,,
2023460,43268,84412,,,
2023461,43268,80828,,,
2023462,43268,80827,,,
2023463,43268,82362,,,
2023464,43268,80824,,,
2023465,43268,86454,,,
2023467,43268,86962,,,
2023468,43268,85364,,,
2023469,43268,92587,,,
2023470,43268,92689,,,
2023471,43268,91044,,,
2023472,43268,86948,,,
2023474,43268,80281,,,
2023475,43268,78229,,,
2023476,43268,86421,,,
2023477,43268,84882,,,
2023479,43268,79250,,,
2023480,43268,84879,,,
2023481,43268,82831,,,
2023483,43268,82827,,,
2023484,43268,84875,,,
2023485,43268,82823,,,
2023486,43268,84873,,,
2023487,43268,84870,,,
2023488,43268,83846,,,
2023490,43268,84869,,,
2023491,43268,84865,,,
2023492,43268,82807,,,
2023493,43268,84857,,,
2023494,43268,84855,,,
2023495,43268,86393,,,
2023497,43268,80249,,,
2023498,43268,90998,,,
2023499,43268,90999,,,
2023500,43268,83824,,,
2023501,43268,86388,,,
2023502,43268,83313,,,
2023504,43268,90994,,,
2023505,43268,84027,,,
2023506,43268,86586,,,
2023507,43268,80952,,,
2023508,43268,79927,,,
2023509,43268,86581,,,
2023511,43268,84527,,,
2023512,43268,84525,,,
2023513,43268,84518,,,
2023514,43268,89131,,,
2023515,43268,82986,,,
2023516,43268,81961,,,
2023518,43268,81439,,,
2023519,43268,88096,,,
2023520,43268,84517,,,
2023521,43268,84516,,,
2023522,43268,84515,,,
2023523,43268,84514,,,
2023525,43268,84512,,,
2023526,43268,84511,,,
2023527,43268,84510,,,
2023528,43268,84509,,,
2023529,43268,84508,,,
2023530,43268,84507,,,
2023532,43268,84505,,,
2023533,43268,84504,,,
2023534,43268,84503,,,
2023535,43268,84502,,,
2023536,43268,84501,,,
2023537,43268,84500,,,
2023539,43268,84498,,,
2023540,43268,84497,,,
2023541,43268,84496,,,
2023542,43268,82959,,,
2023543,43268,84485,,,
2023544,43268,91141,,,
2023546,43268,92672,,,
2023547,84181,30329,,,
2023548,84181,17272,,,
2023549,84181,46839,,,
2023550,84181,46838,,,
2023551,84181,48629,,,
2023553,84181,4338,,,
2023554,84181,42479,,,
2023555,84181,45295,,,
2023556,84181,18667,,,
2023557,84181,25451,,,
2023558,84181,4457,,,
2023560,84181,15962,,,
2023561,84181,15819,,,
2023562,84181,31031,,,
2023563,84181,27574,,,
2023564,84181,34614,,,
2023565,84181,34612,,,
2023567,84181,4527,,,
2023568,84181,46382,,,
2023569,84181,16940,,,
2023570,84181,42280,,,
2023571,84181,47007,,,
2023572,84181,27552,,,
2023574,84181,47516,,,
2023575,84181,57114,,,
2023576,84181,33689,,,
2023577,84181,44438,,,
2023578,84181,33557,,,
2023579,84181,30740,,,
2023581,84181,46840,,,
2023582,84181,260,,,
2023583,84181,30336,,,
2023584,84184,67582,,,
2023586,84184,67705,,,
2023587,84184,67702,,,
2023588,84184,75120,,,
2023590,84184,71786,,,
2023591,84184,76522,,,
2023592,84184,67043,,,
2023593,84184,67037,,,
2023594,84184,67031,,,
2023595,84184,67027,,,
2023597,84184,67023,,,
2023598,84184,67022,,,
2023599,84184,67020,,,
2023600,84184,67019,,,
