@,24976,24968
38719,=,24976,90464
38720,=,24976,90476
38721,@,24977,24976
38722,@,24978,24976
38723,@,24979,24978
38724,@,24980,24976
38725,@,24981,24980
38726,@,24982,24968
38727,=,24982,83170
38728,=,24982,83179
38729,@,24983,24982
38730,@,24984,24982
38731,@,24985,24968
38732,@,24986,24985
38733,@,24987,24985
38734,@,24989,24831
38735,@,24990,24989
38736,@,24991,24990
38737,=,24991,83182
38738,=,24991,83183
38739,@,24992,24989
38740,@,24993,24989
38741,@,24994,24993
38742,@,24995,24994
38743,@,24996,24994
38744,@,24997,24993
38745,@,24998,27704
38746,@,24999,24998
38747,@,25000,24998
38748,@,25001,24998
38749,@,25002,24998
38750,@,25003,24998
38751,@,25004,24998
38752,@,25006,24998
38753,@,25007,25006
38754,@,25008,24998
38755,@,25009,24998
38756,@,25010,24998
38757,@,25011,25009
38758,@,25012,24998
38759,@,25013,25012
38760,@,25014,24998
38761,@,25015,25014
38762,@,25016,25014
38763,@,25017,25014
38764,@,25018,25014
38765,@,25019,25014
38766,@,25020,25014
38767,@,25021,25004
38768,@,25022,25021
38769,@,25023,25009
38770,@,25025,25008
38771,@,25026,25008
38772,@,25027,25008
38773,@,25028,25008
38774,@,25029,25008
38775,@,25030,25008
38776,@,25031,25008
38777,@,25032,25031
38778,@,25033,25031
38779,@,25034,25031
38780,@,25035,25031
38781,@,25036,25031
38782,@,25037,25031
38783,@,25038,25031
38784,@,25039,25031
38785,@,25040,25031
38786,@,25041,25031
38787,@,25042,25031
38788,@,25044,25031
38789,@,24947,24831
38790,@,25047,25031
38791,@,25048,25031
38792,@,25049,25053
38793,@,25050,25031
38794,@,25051,25031
38795,@,25052,25009
38796,@,25053,25009
38797,@,25054,24998
38798,@,25056,24998
38799,@,25057,25009
38800,@,25058,25009
38801,@,25059,25009
38802,@,25060,25009
38803,@,25061,25009
38804,@,25062,25009
38805,@,25063,22969
38806,=,25063,88534
38807,=,25063,88545
38808,@,25064,25063
38809,@,25065,25063
38810,@,25066,25063
38811,@,25067,25066
38812,@,25068,25063
38813,=,25068,85737
38814,=,25068,85742
38815,@,25069,25068
38816,=,25070,80407
38817,=,25070,80415
38818,@,25071,25063
38819,@,25072,25063
38820,@,25073,25063
38821,@,25074,25073
38822,@,25075,25073
38823,@,25076,25073
38824,@,25077,25076
38825,@,25078,25075
38826,@,25079,25075
38827,@,25080,25075
38828,@,25081,25075
38829,@,25082,25063
38830,@,25083,25082
38831,@,25084,25082
38832,@,25085,25082
38833,@,25086,25083
38834,@,25088,25083
38835,@,25089,25063
38836,@,25090,25063
38837,@,25091,25063
38838,@,25092,25063
38839,@,25093,25063
38840,@,25094,25091
38841,@,25095,25063
38842,=,25095,82813
38843,=,25095,82817
38844,@,25096,25095
38845,@,25097,25095
38846,=,25097,82833
38847,=,25097,82835
38848,@,25098,22969
38849,=,25098,78153
38850,=,25098,78154
38851,@,25099,25098
38852,@,25101,25100
38853,@,25102,25098
38854,@,25103,25098
38855,@,25104,25103
38856,=,25104,79278
38857,=,25104,79280
38858,@,25105,25102
38859,@,25106,25105
38860,@,25107,25098
38861,=,25107,79954
38862,=,25107,79958
38863,@,25108,25107
38864,@,25109,25107
38865,@,25110,25109
38866,@,25111,25107
38867,@,25112,25107
38868,@,25113,25111
38869,@,25114,22969
38870,@,25116,25114
38871,@,25117,25114
38872,@,25118,25117
38873,=,25118,82667
38874,@,25119,25118
38875,@,25120,25118
38876,@,25121,25118
38877,@,25122,22969
38878,@,25123,25122
38879,@,25124,25123
38880,@,25125,25114
38881,@,25126,25125
38882,@,25127,22969
38883,@,25128,25127
38884,@,25129,23825
38885,@,25130,23825
38886,@,25131,22969
38887,=,25131,83968
38888,@,25132,22969
38889,@,25046,25031
38890,@,25135,25134
38891,@,25136,22969
38892,@,25137,22969
38893,@,25138,22969
38894,@,25139,22969
38895,@,25140,22969
38896,@,25141,22969
38897,@,25142,22969
38898,@,25144,22539
38899,@,25145,11
38900,%p,25145,25317
38901,%p,25145,25418
38902,%p,25145,25446
38903,%p,25145,25463
38904,%p,25145,25476
38905,%p,25145,25577
38906,%p,25145,25921
38907,%p,25145,26152
38908,%p,25145,26317
38909,%p,25145,26318
38910,%p,25145,26385
38911,%p,25145,26405
38912,%p,25145,26469
38913,%p,25145,26481
38914,%p,25145,26542
38915,%p,25145,26691
38916,%p,25146,26530
38917,@,25147,25146
38918,@,25148,11
38919,@,25149,25148
38920,@,25150,25149
38921,@,25151,25148
38922,@,25152,25145
38923,@,25153,25162
38924,@,25154,25152
38925,@,25155,25146
38926,@,25156,25155
38927,%p,25156,25489
38928,%p,25156,26463
38929,@,25157,25146
38930,%p,25157,25316
38931,@,25158,25146
38932,%p,25158,26328
38933,%p,25158,26333
38934,%p,25158,26489
38935,@,25159,25146
38936,%p,25159,26327
38937,%p,25159,26331
38938,%p,25159,26332
38939,%p,25159,26488
38940,@,25160,25157
