,46603,42869
62964,@,46604,45453
62965,@,46605,46604
62966,@,46606,44772
62967,@,46607,44357
62968,@,46608,47669
62969,@,46609,46667
62970,@,46610,45580
62971,@,46611,42845
62972,@,46612,7
62973,@,46613,43756
62974,@,46614,45910
62975,@,46615,45910
62976,@,46617,46238
62977,@,46618,47792
62978,@,46619,47177
62979,@,46620,43961
62980,@,46621,46261
62981,@,46622,46262
62982,@,46623,42879
62983,@,46623,44270
62984,@,46624,45027
62985,@,46625,44676
62986,@,46626,44853
62987,@,46627,47793
62988,@,46628,43583
62989,@,46629,48077
62990,@,46630,43914
62991,@,46631,47669
62992,@,46632,45441
62993,@,46633,43798
62994,@,46635,42860
62995,@,46533,45442
62996,@,46637,46324
62997,@,46638,47647
62998,@,46638,43891
62999,@,46639,47280
63000,@,46640,46434
63001,@,46641,46642
63002,@,46642,46261
63003,@,46643,47420
63004,@,46645,46678
63005,@,46646,7
63006,@,46647,47800
63007,@,46647,43843
63008,@,46648,46050
63009,@,46649,45757
63010,@,46650,43719
63011,@,46651,47793
63012,@,46652,44710
63013,@,46653,42842
63014,@,46654,45921
63015,@,46655,7
63016,@,46656,43587
63017,@,46657,45024
63018,@,46658,47385
63019,@,46659,42840
63020,@,46660,45794
63021,@,46661,43614
63022,@,46663,42818
63023,@,46664,46663
63024,@,46665,47492
63025,@,46666,44402
63026,@,46667,42810
63027,@,46668,46111
63028,@,46669,48026
63029,@,46670,44732
63030,@,46671,44627
63031,@,46672,45403
63032,@,46673,44316
63033,@,46674,46012
63034,@,46675,45027
63035,@,46676,48174
63036,@,46677,44543
63037,@,46678,47793
63038,@,46679,45229
63039,@,46680,45869
63040,@,46682,47035
63041,@,46683,47793
63042,@,46684,48176
63043,@,46685,46684
63044,@,46686,46684
63045,@,46686,45833
63046,@,46687,47450
63047,@,46688,42848
63048,@,46689,42848
63049,@,46690,47851
63050,@,46691,45760
63051,@,46692,44389
63052,@,46693,45836
63053,@,46694,46693
63054,@,46695,45836
63055,@,46696,44586
63056,@,46697,45623
63057,@,46698,46797
63058,@,46700,42848
63059,@,46701,42848
63060,@,46702,47161
63061,@,46703,45653
63062,@,46704,42821
63063,@,46705,46706
63064,@,46706,47524
63065,@,46707,46706
63066,@,46708,47991
63067,@,46709,42867
63068,@,46710,42279
63069,@,46710,43107
63070,@,46711,44873
63071,@,46712,44108
63072,@,46713,47328
63073,@,46714,44907
63074,@,46715,45794
63075,@,46716,46473
63076,@,46718,44984
63077,@,46719,46718
63078,@,46720,42855
63079,@,46721,46021
63080,@,46722,42797
63081,@,46723,42797
63082,@,46724,46459
63083,@,46725,44316
63084,@,46726,45550
63085,@,46727,46473
63086,@,46728,46072
63087,@,46729,46728
63088,@,46730,46378
63089,@,46731,46598
63090,@,46732,44907
63091,@,46733,45441
63092,@,46734,44992
63093,@,46735,45589
63094,@,46737,43731
63095,@,46636,42872
63096,@,46740,43767
63097,@,46742,46741
63098,@,46743,46741
63099,@,46744,45623
63100,@,46745,43588
63101,@,46746,47385
63102,@,46747,46820
63103,@,46748,45734
63104,@,46750,46949
63105,@,46751,47894
63106,@,46752,47485
63107,@,46753,42863
63108,@,46754,44314
63109,@,46755,44145
63110,@,46756,47738
63111,@,46757,42859
63112,@,46758,43599
63113,@,46759,43756
63114,@,46760,43805
63115,@,46761,48019
63116,@,46762,44877
63117,@,46763,43104
63118,@,46764,45451
63119,@,46765,45451
63120,@,46766,44497
63121,@,46767,43561
63122,@,46769,42848
63123,@,46770,46869
63124,@,46771,46872
63125,@,46772,46613
63126,@,46773,47789
63127,@,46774,47991
63128,@,46775,44314
63129,@,46776,42279
63130,@,46777,46775
63131,@,46778,43838
63132,@,46779,46405
63133,@,46780,42869
63134,@,46781,45354
63135,@,46782,43966
63136,@,46783,43738
63137,@,46784,47655
63138,@,46785,46783
63139,@,46786,46783
63140,@,46788,46787
63141,@,46789,45071
63142,@,46790,44866
63143,@,46791,47177
63144,@,46792,47385
63145,@,46793,43722
63146,@,46794,43756
63147,@,46795,43750
63148,@,46796,47664
63149,@,46797,42867
63150,@,46798,46797
63151,@,46799,8
63152,@,46800,44928
63153,@,46801,44711
63154,@,46802,46376
63155,@,46802,44554
