id,offset,pos,language,gloss,semfield
44023,07121357,n,9,someone who patrols the borders of a country,
44024,07121483,n,9,a person who evokes boredom,
44025,07121607,n,9,someone who receives something on the promise to return it or its equivalent,
44026,07121792,n,9,a Christian who has experienced a dramatic conversion to faith in Jesus,
3,00002880,n,9,living things collectively; 'the oceans are teeming with life',2026
4,00003011,n,9,a discrete unit of living matter,2026
5,00003095,n,9,the basic structural and functional unit of all organisms; cells may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,2026
6,00003731,n,9,any entity that causes events to happen,
17,00013018,n,9,a general concept formed by extracting common features from specific examples,
19,00013700,n,9,the psychological feature that arouses an organism to action; the reason for the action; 'we did not understand his motivation'; 'he acted with the best of motives',
69,00026402,n,9,the act of entering; 'she made a grand entrance',
70,00026689,n,9,the act of entering some territory or domain (often in large numbers); 'the incursion of television into the American livingroom',
113,00032687,n,9,the act of escaping physically; 'he made his escape from the mental hospital'; 'the canary escaped from its cage'; 'his flight was an indication of his guilt',
123,00034393,n,9,abolitionists secret aid to escaping slaves; pre-Civil War in US,
128,00035095,n,9,the act of shipping again (especially by transferring to another ship),1814
159,00039842,n,9,the act of surrendering (under agreed conditions); 'they were protected until the capitulation of the fort',
176,00042253,n,9,a breach that does not destroy the value of the contract but can give rise to a claim for damages,1669
181,00043311,n,9,a mistake that results from taking one thing to be another; 'he changed his name in order to avoid confusion with the notorious outlaw',
226,00050643,n,9,the act of taking something that is offered; 'her acceptance of the gift encouraged him'; 'he anticipated their acceptance of his offer',
241,00052883,n,9,the act of occupying or taking possession of a building; 'occupation of a building without a certificate of occupancy is illegal',
275,00058314,n,9,the act of regaining or saving something lost (or in danger of becoming lost),
289,00060672,n,9,saving someone or something from harm of from an unpleasant situation; 'the salvation of his party was the president's major concern',
327,00066663,n,9,the action or manner of throwing something; 'his pitch fell short and his hat landed on the floor',
336,00067987,n,9,a pitch that is not in the strike zone; 'he threw nine straight balls before the manager yanked him',2740
372,00073144,n,9,the act of pulling; applying force to move something toward or with you; 'the pull up the hill had him breathing harder'; 'his strenuous pulling strained his back',
379,00074216,n,9,the act of raising something; 'he responded with a lift of his eyebrow'; 'fireman learn several different raises for getting ladders up',
430,00082178,n,9,the weakest effort or poorest achievement one is capable of: 'it was the worst he had ever done on a test',
446,00084365,n,9,a successful stroke in an athletic contest (especially in baseball); 'he came all the way around on Williams' hit',2740
485,00089679,n,9,a free kick from the corner awarded to the other side when a player has sent the ball behind his own goal line,2740
503,00092400,n,9,an examination and dissection of a dead body to determine cause of death or the changes produced by disease,2101
538,00097598,n,9,butt welding by creating an electric arc between the two pieces which melts and joins them; used for joining segments of metal pipe,
557,00100230,n,9,documentary validation; 'his documentation of the results was excellent'; 'the strongest support for this this view is the work of Jones',
591,00105760,n,9,the act of making up your mind about something; 'the burden of decision was his'; 'he drew his conclusions quickly',
596,00106794,n,9,the act of distributing something to designated places or persons; 'the first task is the assignment of an address to each datum',
640,00113525,n,9,a takeover bid so attractive that the directors of the target company must approve it or risk shareholder protest,
641,00113693,n,9,a measure used by an acquirer to gain control of a takeover target; acquirer tries to persuade other shareholders that the management of the target should be replaced,
687,00121164,n,9,the deciding vote cast by the presiding officer to resolve a tie,1585
689,00121442,n,9,getting two things to correspond; 'the reconciliation of his checkbook and the bank statement',
44027,07121930,n,9,a person responsible for hiring workers; 'the boss hired three more men for the new job',
736,00129213,n,9,the act of furnishing an equivalent person or thing in the place of another,
789,00137802,n,9,the act of finishing; 'the speaker's finish was greeted with applause',
793,00138391,n,9,carrying something to full completion; 'I appreciated his follow-through on his promise',
838,00144920,n,9,suicide of a terminally ill person that involves an assistant who serves to make dying as painless and dignified as possible,1542
850,00146336,n,9,killing by gunfire,1542
854,00146798,n,9,the act of suffocating by constricting the windpipe; 'no evidence that the choking was done by the accused',1542
902,00154220,n,9,a turn to be in a game at the beginning; 'he missed his starting turn because of an injury'; 'he got his start because the regular quarterback was in the hospital',2507
903,00154446,n,9,the act of starting a new operation or practice; 'he opposed the inauguration of fluoridation'; 'the startup of the new factory was delayed by strikes',
936,00159157,n,9,the act of improving something: 'Their improvements increased the value of the property',
956,00162600,n,9,irrigation of the colon for cleansing purposes by injecting large amounts of fluid high into the colon,
958,00163002,n,9,partial sterilization of foods at a temperature that destroys harmful microorganisms without major changes in the chemistry of the food,
1011,00170063,n,9,making modern in appearance of behavior; 'the modernizing of Nigeria will be a long process',
1023,00171721,n,9,activity involved in maintaining something in good working order; 'he wrote the manual on car care',
