12,n,9,milk from which some of the cream has been removed,
36595,05878572,n,9,the part of milk containing the butterfat,
36596,05878755,n,9,half milk and half light cream; contains 10% to 18% butterfat,
36597,05878876,n,9,cream that has enough butterfat (30% to 36%) to be whipped,
36598,05878995,n,9,cream that has at least 18% butterfat,
36599,05879105,n,9,contains more than 36% butterfat,
36600,05879195,n,9,(Britain) thick cream made from scalded milk,
36601,05879318,n,9,artificially soured light cream,
36602,05879421,n,9,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,
36603,05879638,n,9,butter made clear by heating and removing the sediment of milk solids,
36604,05879803,n,9,clarified butter used in Indian cookery,
36605,05879893,n,9,clarified butter browned slowly and seasoned with vinegar or lemon juice and capers,
36606,05880053,n,9,clarified butter browned slowly and seasoned with lemon juice and parsley,
36607,05880203,n,9,a custard-like food made from curdled milk,
36608,05880355,n,9,yogurt with sweetened blueberries or blueberry jam,
36609,05880468,n,9,watery part of milk produced when raw milk sours and coagulates: 'Little Miss Muffet sat on a tuffet eating some cuds and whey',
36610,05880646,n,9,coagulated milk; used to made cheese: 'Little Miss Muffet sat on a tuffet eating some curds and whey',
36611,05880817,n,9,a coagulated liquid resembling milk curd: 'bean curd'; 'lemon curd',
36612,05880953,n,9,raw milk that has soured and thickened,
36613,05881045,n,9,a solid food prepared from the pressed curd of milk,
36614,05881601,n,9,the rind of a cheese,
36615,05881698,n,9,a part that is pared or cut off; especially skin or peel,
36616,05881817,n,9,soft unripened cheese made of sweet milk and cream,
36617,05881944,n,9,fresh soft French cheese containing at least 60% fat,
36618,05882070,n,9,fresh soft French cheese containing at least 72% fat,
36619,05882196,n,9,mild white cheese made from curds of soured skim milk,
36620,05882355,n,9,made by blending several lots of cheese,
36621,05882474,n,9,processed cheddar-style cheese,
36622,05882566,n,9,cheese containing a blue mold,
36623,05882750,n,9,English blue cheese,
36624,05882823,n,9,French blue cheese,
36625,05882897,n,9,Italian blue cheese,
36626,05882973,n,9,blue cheese of Denmark,
36627,05883053,n,9,blue cheese of Bavaria,
36628,05883135,n,9,soft creamy white cheese; milder than Camembert,
36629,05883240,n,9,semisoft sweet American cheese from whole milk in a brick form,
36630,05883361,n,9,rich soft creamy French cheese,
36631,05883447,n,9,hard smooth-textured cheese,
36632,05883560,n,9,a mild yellow English cheese with a crumbly texture,
36633,05883673,n,9,mild yellow Dutch cheese made in balls,
36634,05883769,n,9,made from goats' milk,
36635,05883857,n,9,mild cream-colored Dutch cheese shaped in balls,
36636,05883979,n,9,hard or semihard cheese grated,
36637,05884069,n,9,any cheese originally molded by hand,
36638,05884163,n,9,mild white Italian cheese,
36639,05884245,n,9,semisoft pale-yellow cheese,
36640,05884327,n,9,hard dry sharp-flavored Italian cheese; often grated,
36641,05884434,n,9,soft Italian cheese like cottage cheese,
