5,n,9,Ethiopia is a republic in northeastern Africa formerly called Abyssinia,
39997,06448060,n,9,a province of northern Ethiopia on the Red Sea,
39998,06448198,n,9,the capital of Ethiopia and the country's largest city; located in central Ethiopia,
39999,06448380,n,9,a group of more than 800 islands in the southwestern Pacific; larger islands (Viti Levu and Vanua Levu) are of volcanic origin surrounded by coral reefs; smaller islands are coral,
40000,06448702,n,9,a volcanic island in the Fijis,
40001,06448807,n,9,a volcanic island in the Fijis,
40002,06448913,n,9,an independent state within the British Commonwealth located on the Fiji Islands,
40003,06449101,n,9,the capital and largest city of Fiji (on Viti Levu island),
40004,06449229,n,9,republic in northern Europe,
40005,06449394,n,9,a region between Finland and Russia,
40006,06449521,n,9,the capital and largest city of Finland; located in S Finland; a major port and commercial and cultural center,
40007,06449758,n,9,a republic in southeastern Europe on the southern part of the Balkan peninsula; known for grapes and olives and olive oil,
40008,06450453,n,9,an island in the Aegean Sea,
40009,06450613,n,9,an island in the Aegean Sea off the west coast of Turkey; belongs to Greece,
40012,06451021,n,9,ancient name for the coastal region of northwestern Asia Minor (including Lesbos),
40014,06451403,n,9,a group of islands southwest of Italy in the Mediterranean,
40015,06451557,n,9,the capital and largest city of Greece; named after Athena (its patron goddess); 'in the 5th century BC ancient Athens was the world's most powerful and civilized city',
40016,06451909,n,9,a gateway on the west of ancient Athens near which a distinctive style of pottery has been found,
40017,06452093,n,9,the territory of Athens in ancient Greece,
40018,06452206,n,9,the modern city is near the cite of the ancient city that was 2nd only to Athens,
40019,06452390,n,9,an ancient city in southeastern Greece; dominated the Peloponnese in the 7th century BC,
40020,06452548,n,9,an ancient Greek city on the slopes of Mount Parnassus; site of the Temple of Apollo,
40021,06452723,n,9,an ancient city is S Greece; center of the Mycenaean civilization,
40022,06452861,n,9,an ancient Greek city famous for military prowess; the dominant city of the Peloponnesus prior to the 4th century BC,
40023,06453087,n,9,an ancient region of S Greece in the southeastern Peloponnesus; dominated by Sparta,
40024,06453262,n,9,an ancient city in Asia Minor that was the site of the Trojan War,
40025,06453432,n,9,an ancient Greek city in Boeotia destroyed by Alexander the Great in 336 BC,
40026,06453598,n,9,a district of ancient Greece northwest of Athens,
40027,06453757,n,9,a city in northeastern Greece on an inlet of the Aegean Sea; the 2nd largest city of Greece,
40028,06453937,n,9,a fertile plain on the Aegean Sea in east central Greece; Thessaly was a former region of ancient Greece,
40029,06454146,n,9,a department of Greece in the central Peloponnese,
40030,06454287,n,9,the southern peninsula of Greece; dominated by Sparta until the 4th century BC,
40031,06454522,n,9,a Greek island in the northern Aegean Sea; famous for a reddish-brown clay that has medicinal properties,
