0448605,a,9,excessively and uncomfortably conscious of your appearance or behavior; 'self-conscious teenagers'; 'wondered if she could ever be untidy without feeling self-conscious about it',
80841,00448844,a,9,corresponding in size or degree or extent; 'pay should be commensurate with the time worked',
80844,00449305,a,9,"agreeing in amount, magnitude, or degree; 'the figures are large but the corresponding totals next year will be larger'",
80845,00449519,a,9,(often followed by `with') not corresponding in size or degree or extent; 'a reward incommensurate with his effort',
80846,00449749,a,9,not proportionate,
80847,00449829,a,9,not having a common factor,
80848,00449917,a,9,being in due proportion,
80849,00450072,a,9,per person; 'among the states Connecticut has a high per capita income',
80850,00450200,a,9,(archaic) proportionate,
80852,00450538,a,9,out of proportion,
80853,00450636,a,9,connected with or engaged in or sponsored by or used in commerce or commercial enterprises; 'commercial trucker'; 'commercial TV'; 'commercial diamonds',
80854,00450971,a,9,organized principally for financial gain; 'Christmas has become a commercialized spectacle',
80855,00451123,a,9,of or relating to or characteristic of trade or traders; 'the mercantile North was forging ahead'- Van Wyck Brooks,
80856,00451308,a,9,profit oriented; 'a commercial book'; 'preached a mercantile and militant patriotism'- John Buchan; 'a mercenary enterprise'; 'a moneymaking business',
80857,00451544,a,9,(chemistry) of production of chemicals for commercial purposes especially on a large scale; 'technical (or commercial) sulfuric acid',
80858,00451733,a,9,resulting from or dependent on market factors rather than fundamental economic considerations; 'analysts content that the stock market is due for a technical rally'; 'the fall is only a technical correction',
80859,00451996,a,9,relating to or used in or intended for trade or commerce; 'a trade fair'; 'trade journals'; 'trade goods',
80860,00452156,a,9,not connected with or engaged in commercial enterprises,
80861,00452343,a,9,not commercially motivated,
80862,00452445,a,9,not conducive to commercial success; 'might prove arty and hence uncommercial'- H.E.Clurman,
80863,00452595,a,9,not having been commercialized,
80864,00452688,a,9,used or designed for residence or limited to residences; 'a residential hotel'; 'a residential quarter'; 'a residential college'; 'residential zoning',
80865,00452896,a,9,not residential; 'the commercial or nonresidential areas of a town'; 'community colleges are typically nonresidential',
80866,00453075,a,9,of military officers; holding by virtue of a commission a rank of second lieutenant or ensign or above,
80867,00453236,a,9,of military officers; appointed from enlisted personnel,
80868,00453371,a,9,of someone who has joined the military; 'an enlisted man',
80869,00453486,a,9,of no special distinction or quality; widely known or commonly encountered; average or ordinary or usual; 'the common man'; 'a common sailor'; 'the common cold'; 'a common nuisance'; 'followed common procedure'; 'it is common knowledge that she lives alone'; 'the common housefly'; 'a common brand of soap',
80870,00454025,a,9,"lacking special distinction, rank, or status; commonly encountered; 'average people'; 'the ordinary (or common) man in the street'",
80871,00454220,a,9,representing or appealing to or adapted for the benefit of the people at large; 'democratic art forms'; 'a democratic or popular movement'; 'popular thought'; 'popular science'; 'popular fiction',
80872,00454482,a,9,of or for the common people; 'demotic entertainments'; 'demotic speech'; 'a poet with a keen ear for demotic rhythms',
80873,00454653,a,9,frequently encountered; 'a frequent (or common) error is using the transitive verb `lay' for the intransitive `lie'';,
80874,00454826,a,9,prevailing among and common to the general public; 'the general discontent',
80875,00454955,a,9,of or involving the common people as constituting a fundamental politico-economic group; 'a grassroots movement for nuclear disarmament',
80876,00455148,a,9,commonly used or supplied; 'standard procedure'; 'standard car equipment',
80877,00455276,a,9,not common or ordinarily encountered; unusually great in amount or remarkable in character or kind; 'uncommon birds'; 'frost and floods are uncommon during these months'; 'doing an uncommon amount of business'; 'an uncommon liking for money'; 'he owed his greatest debt to his mother's uncommon character and ability',
80878,00455774,a,9,surpassing what is common or usual or expected; 'he paid especial attention to her'; 'exceptional kindness'; 'a matter of particular and unusual importance'; 'a special occasion'; 'a special reason to confide in her'; 'what's so special about the year 2000?',
80879,00456130,a,9,not widely known; especially valued for its uncommonness; 'a rare word'; 'rare books',
80880,00456266,a,9,not commonly encountered; 'two-career families are no longer unusual',
80881,00456389,a,9,out of the ordinary; 'an unwonted softness in her face',
80882,00456499,a,9,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure; 'grew the usual vegetables'; 'the usual summer heat'; 'came at the usual time'; 'the child's usual bedtime',
80884,00457087,a,9,in accord with regular practice or procedure; 'took his regular morning walk'; 'her regular bedtime',
80885,00457241,a,9,not usual or common or ordinary; 'a scene of unusual beauty'; 'a man of unusual ability'; 'cruel and unusual punishment'; 'an unusual meteorite',
80887,00457820,a,9,(of an official) serving an unusual or special function in addition to those of the regular officials; 'an ambassador extraordinary',
80888,00458015,a,9,not easily explained; 'it is odd that his name is never mentioned',
80889,00458131,a,9,out of the ordinary; 'out-of-the-way information',
80890,00458241,a,9,markedly different from the usual; 'a peculiar hobby of stuffing and mounting bats'; 'a man...feels it a peculiar insult to be taunted with cowardice by a woman'-Virginia Woolf,
80891,00458472,a,9,not customary or usual; 'an unaccustomed pleasure'; 'many varieties of unaccustomed foods'; 'a new budget of unaccustomed austerity',
80892,00458663,a,9,highly unusual or rare but not the single instance; 'spoke with a unique accent'; 'had unique ability in raising funds'; 'a frankness unique in literature'; 'a unique dining experience',
80893,00458901,a,9,producing or having flowers; 'a flowering branch'; 'flowering plants',
80894,00459062,a,9,in bloom; 'a field carpeted with blooming violets',
80895,00459167,a,9,abounding in or covered with flowers; 'flowering meadows'; 'a flowery field'; 'a bloomy sunlit slope',
80896,00459342,a,9,producing or having no flowers or only unnoticeable ones,
80897,00459467,a,9,"(chemistry) lacking affinity for water; tending not to dissolve in, mix with, or be wetted by water",
80898,00459624,a,9,"(chemistry) having a strong affinity for water; tending to dissolve in, mix with, or be wetted by water",
80899,00459803,a,9,(especially of certain salts) becoming liquid by absorbing moisture from the air,
80900,00459942,a,9,(chemistry) having a strong affinity for oils rather than water,
80901,00460080,a,9,(chemistry) having an affinity for lipids,
80902,00460191,a,9,lacking affinity for oils,
80903,00460273,a,9,belonging to or participated in by a community as a whole; public; 'for the common good'; 'common lands are set aside for use by all members of a community',
80904,00460554,a,9,for or by a group rather than individuals; 'dipping each his bread into a communal dish of stew'- Paul Roche; 'a communal settlement in which all earnings and food were shared'; 'a group effort',
80905,00460814,a,9,affecting the people or community as a whole; 'community leaders'; 'community interests'; 'the public welfare',
80906,00460992,a,9,being or characteristic of a single thing or person; 'individual drops of rain'; 'please mark the individual pages'; 'they went their individual ways',
80907,00461379,a,9,peculiar to the individual; 'we all have our own idiosyncratic gestures'; 'Michelangelo's highly idiosyncratic style of painting',
80908,00461568,a,9,marked by or expressing individuality; 'an individualistic way of dressing',
80909,00461721,a,9,(sports) being a system of play in which an individual defensive player guards an individual offensive player; 'one-on-one defense',
80910,00461922,a,9,separate and distinct from others; 'an exception in this particular case',
80911,00462055,a,9,considered individually; 'the respective club members'; 'specialists in their several fields'; 'the various reports all agreed',
80912,00462268,a,9,individual and distinct; 'pegged down each separate branch to the earth'; 'a gift for every single child',
80913,00462440,a,9,involved two individuals; 'single combat',
80914,00462537,a,9,being a single and separate person or thing; 'can the singular person be understood apart from his culture?'; 'every fact in the world might be singular...unlike any other fact and sole of its kind'-William James,
80915,00462804,a,9,able or tending to communicate; 'was a communicative person and quickly told all she knew'- W.M.Thackeray,
80916,00463489,a,9,characterized by or given to telling anecdotes; 'anecdotal conversation'; 'an anectodal history of jazz'; 'he was at his anecdotic best',
80917,00463707,a,9,prone to communicate confidential information,
80918,00463852,a,9,prone to friendly informal communication,
80919,00463963,a,9,readily communicated; 'communicable ideas',
80920,00464064,a,9,used in communication; 'he had few communicational grooves available for use',
80921,00464203,a,9,able to communicate in English,
80922,00464296,a,9,friendly and open and willing to talk; 'wine made the guest expansive',
80923,00464434,a,9,characterized by expression; 'an expressive glance'; 'a very expressive face',
80924,00464568,a,9,(usually followed by `of') giving expression to; 'actons indicative of fear',
80925,00464736,a,9,able to communicate in French,
80926,00464827,a,9,able to communicate in German,
80928,00465074,a,9,being other than verbal communication; 'the study of gestural communication'; 'art like gesture is a form of nonverbal expression',
80929,00465271,a,9,used of the language of the deaf,
80930,00465396,a,9,indicative of or announcing something to come; 'the Beetles were heraldic of a new style of music',
80931,00465549,a,9,able to communicate in Icelandic,
80932,00465646,a,9,able to communicate in Italian,
80933,00465739,a,9,consisting of or characterized by the telling of a story; 'narrative poetry',
80934,00465871,a,9,involving little use of language; 'a nonverbal intelligence test',
80935,00465992,a,9,lacking verbal skill; 'rural students often come from nonverbal backgrounds',
80936,00466125,a,9,freely communicative; candidly straightforward; 'openhearted advice',
80937,00466251,a,9,given to expressing yourself freely or insistently; 'outspoken in their opposition to segregation'; 'a vocal assembly',
80938,00466433,a,9,able to communicate in Russian,
80939,00466526,a,9,able to communicate in Spanish,
80940,00466619,a,9,communicated in the form of words; 'verbal imagery'; 'a verbal protest',
80941,00466743,a,9,inclined to tell long and involved stories (often of incredible happenings),
80942,00466878,a,9,not inclined to talk or give information or express opinions,
80943,00467198,a,9,void of expression; 'a blank stare',
80945,00467522,a,9,deliberately impassive in manner; 'deadpan humor'; 'his face remained expressionless as the verdict was read',
80946,00467743,a,9,very reluctant to give out information,
80947,00467864,a,9,without the means or right to communicate; 'a prisoner held incommunicado'; 'incommunicado political detainees',
80948,00468035,a,9,not expressive; 'an inexpressive face',
80949,00468132,a,9,failing to speak or communicate etc when expected to; 'the witness remained silent',
80950,00468274,a,9,very difficult to pronounce correctly; 'an unpronounceable foreign word'; 'unutterable consonant clusters',
80951,00468456,a,9,closely and firmly united or packed together; 'compact soil'; 'compact clusters of flowers',
80952,00468745,a,9,(used of soil) compact and fine-grained; 'the clayey soil was heavy and easily saturated',
80953,00468904,a,9,packed especially tightly,
80954,00468988,a,9,forming a solid mass,
80955,00469067,a,9,wedged or packed in together; 'an impacted tooth',
80956,00469180,a,9,pressed together or compressed; 'packed snow',
80957,00469278,a,9,(especially of rows as of troops or mountains) pressed together; 'in serried ranks',
80958,00469415,a,9,packed closely together; 'the stood in a tight little group'; 'hair in tight curls'; 'the pub was packed tight',
80959,00469578,a,9,not compact or dense in structure or arrangement; 'loose gravel',
80960,00469766,a,9,(used of soil) loose and large-grained in consistency; 'light sandy soil',
80961,00469909,a,9,(of soil) unstable; 'shifting sands'; 'unfirm earth',
80962,00470025,a,9,full of silt; 'silty soil',
80963,00470103,a,9,loose and unstratified; 'unconsolidated soil',
80964,00470209,a,9,able to be compared or worthy of comparison,
80965,00470381,a,9,similar in some respect and so able to be compared in order to show differences and similarities; 'pianists of comparable ability'; 'cars comparable with each other in terms of fuel consumption',
80966,00470640,a,9,worthy of comparison; as good as; 'at that moment nothing in the world seemed comparable to sleep',
80968,00471295,a,9,unsurpassed in some respect up to the present; 'prices at an all-time high'; 'morale at an all-time low'; 'among the all-time great lefthanders',
80969,00471494,a,9,impossible to measure or compare in value or size or excellence,
80970,00471619,a,9,eminent beyond or above comparison; 'matchless beauty'; 'the team's nonpareil center fielder'; 'she's one girl in a million'; 'the one and only Muhammad Ali'; 'a peerless scholar'; 'infamy unmatched in the Western world'; 'wrote with unmatchable clarity'; 'unrivaled mastery of her art',
80971,00472062,a,9,radically distinctive and without equal; 'he is alone in the field of microbiology'; 'this theory is altogether alone in its penetration of the problem'; 'Bach was unique in his handling of counterpoint'; 'craftsmen whose skill is unequaled'; 'unparalleled athletic ability'; 'a breakdown of law unparalleled in our history',
80972,00472490,a,9,showing or having compassion; 'heard the soft and compassionate voices of women',
80975,00473102,a,9,easily moved by another's distress; 'a noble tenderhearted creature who sympathizes with all the human race'- W.M.Thackeray,
80976,00473285,a,9,lacking compassion or feeling for others; 'nor silver-shedding tears could penetrate her uncompassionate sire'- Shakespeare,
80977,00473524,a,9,devoid of feeling for others; 'an unfeeling wretch',
80978,00473660,a,9,able to exist and perform in harmonious or agreeable combination; 'a compatible married couple';'her deeds were compatible with her ideology',
80979,00473966,a,9,used of plants; capable of cross-fertilization or of being grafted,
80980,00474088,a,9,suitable or appropriate together,
80981,00474176,a,9,existing together in harmony; 'harmonious family relationships',
80982,00474296,a,9,not compatible; 'incompatible personalities'; 'incompatible colors',
80983,00474566,a,9,incapable of harmonious association,
80984,00474660,a,9,sharply and harshly discordant; 'clashing interests of loggers and conservationists'; 'clashing colors',
80985,00474818,a,9,unable to be both true at the same time,
80986,00474938,a,9,used of plant stock or scions; incapable of being grafted,
80987,00475053,a,9,(computers) capable of being used with or connected to other devices or components without modification,
80988,00475213,a,9,(computers) incapable of being used with or connected to other devices or components without modification,
80989,00475377,a,9,"(chemistry, physics) capable of mixing",
80990,00475498,a,9,capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction,
80991,00475657,a,9,"(chemistry, physics) incapable of mixing",
80992,00475784,a,9,used especially of solids or solutions; incapable of blending into a stable homogeneous mixture,
80993,00475938,a,9,properly or sufficiently qualified or capable or efficient; 'a competent typist',
80994,00476218,a,9,have the skills and qualifications to do things well; 'able teachers'; 'a capable administrator'; 'children as young as 14 can be extremely capable and dependable',
80996,00476781,a,9,(law) legally qualified; 'a competent witness',
80997,00476883,a,9,worthy of a good workman; 'a competent job'; 'the book is a workmanlike job with chronology and bibliography and index',
80998,00477060,a,9,not qualified or suited for a purpose; 'an incompetent secret service'; 'the filming was hopeless incompetent',
80999,00477390,a,9,generally incompetent and ineffectual; 'feckless attempts to repair the plumbing'; 'inept handling of the account',
81000,00477567,a,9,lacking the necessary skill or knowledge etc; 'an incapable helper',
81001,00477705,a,9,lacking the ability or skill to perform effectively; inadequate; 'an ineffective administration'; 'inefficient workers',
81002,00477896,a,9,(law) lacking specific legal qualifications; 'a wife is usually considered unqualified to testify against her husband',
81003,00478072,a,9,not characteristic of or suitable for a good workman; 'an unworkmanlike result'; 'an unworkmanlike tool',
81004,00478236,a,9,involving competition or competitiveness; 'competitive games'; 'to improve one's competitive position',
81005,00478500,a,9,striving to overcome in argument; 'a dialectical and agonistic approach',
81006,00478654,a,9,being in competition; 'rival suitors'; 'competing businesses',
81007,00478785,a,9,striving or struggling in rivalry or battle; 'contending armies'; 'two contending parties',
81008,00478932,a,9,eager to surpass others,
