8,ὑλονόμος,a,aps---cn2-,ὑλονόμος ὑλονόμος ὑλονόμον,,,,,0
102305,υ00487,ὑλοτομικός,a,aps---mn1-,ὑλοτομικός ὑλοτομική ὑλοτομικόν,,,,,0
102321,υ00502,ὑλωρός,n,----------,,,,,,0
102322,υ00503,ὗμα,n,n-s---nn3t,ὕματος,,,,,0
102329,υ00509,ὑμέναιος,n,n-s---mn2-,ὑμεναίου,,,,,0
102334,υ00514,ὑμενοειδής,a,aps---cn5s,ὑμενοειδής ὑμενοειδής ὑμενοειδές,,,,,0
102353,υ00538,ὑμνήστρια,n,n-s---fn1s,ὑμνήστριας,,,,,0
102360,υ00545,ὑμνητρίς,n,n-s---fn3d,ὑμνητρίδος,,,,,0
102367,υ00552,ὑμνοθέτης,n,n-s---mn1e,ὑμνοθέτου,,,,,0
102378,υ00563,ὑμνόφιλος,a,aps---cn2-,ὑμνόφιλος ὑμνόφιλος ὑμνόφιλον,,,,,0
102382,υ00564,ὑμνώδης,a,aps---cn3s,ὑμνώδης ὑμνώδης ὑμνώ͂δες,,,,,0
102391,υ00571,ὕνιον,n,n-s---nn2-,ὑνίου,,,,,0
102400,υ00581,ὑόπρῳρος,a,aps---cn2-,ὑόπρῳρος ὑόπρῳρος ὑόπρῳρον,,,,,0
102411,υ00591,ὑοφόρβιον,n,n-s---nn2-,ὑοφορβίου,,,,,0
102419,υ00599,ὑπαγκάλιος,a,aps---cn2-,ὑπαγκάλιος ὑπαγκάλιος ὑπαγκάλιον,,,,,0
102426,υ00606,ὑπάγροικος,a,aps---cn2-,ὑπάγροικος ὑπάγροικος ὑπάγροικον,,,,,0
102438,υ00618,ὑπαέριος,a,aps---cn2-,ὑπαέριος ὑπαέριος ὑπαέριον,,,,,0
102440,υ00620,ὑπαί,r,----------,,,,,,0
102445,υ00625,ὕπαιθα,r,----------,,,,,,0
102453,υ00633,ὑπαισθάνομαι,v,----------,,,,,,0
102460,υ00640,ὑπακολουθέω,v,----------,,,,,,0
102467,υ00647,ὑπακτικός,a,aps---mn1-,ὑπακτικός ὑπακτική ὑπακτικόν,,,,,0
102479,υ00659,ὑπαλλακτικός,r,----------,,,,,,0
102491,υ00671,ὕπαμμος,a,aps---cn2-,ὕπαμμος ὕπαμμος ὕπαμμον,,,,,0
102498,υ00678,ὑπαναγιγνώσκω,v,----------,,,,,,0
102499,υ00679,ὑπαναγκάζω,v,----------,,,,,,0
102502,υ00682,ὑπαναθλίβω,v,----------,,,,,,0
102508,υ00688,ὑπανακλίνω,v,----------,,,,,,0
102515,υ00695,ὑπαναπίμπλαμαι,v,----------,,,,,,0
102523,υ00703,ὑπανατρέπω,v,----------,,,,,,0
102528,υ00708,ὑπαναχώρησις,n,n-s---fn3v,ὑπαναχωρησέως,,,,,0
102537,υ00717,ὑπανθηρός,a,aps---cn2-,ὑπανθηρός ὑπανθηρός ὑπανθηρόν,,,,,0
102549,υ00729,ὑπαντητικός,a,aps---mn1-,ὑπαντητικός ὑπαντητική ὑπαντητικόν,,,,,0
102560,υ00740,ὑπαπαίδευτος,a,aps---cn2-,ὑπαπαίδευτος ὑπαπαίδευτος ὑπαπαίδευτον,,,,,0
102561,υ00741,ὑπαπαντάω,v,----------,,,,,,0
102562,υ00742,ὑπαπάντη,n,n-s---fn1e,ὑπαπάντης,,,,,0
102569,υ00749,ὑπαποκρύπτω,v,----------,,,,,,0
102573,υ00753,ὑπαπροσθίδιος,a,aps---cn2-,ὑπαπροσθίδιος ὑπαπροσθίδιος ὑπαπροσθίδιον,,,,,0
102589,υ00769,ὑπαρκτικός,a,aps---mn1-,ὑπαρκτικός ὑπαρκτική ὑπαρκτικόν,,,,,0
102605,υ00785,ὑπαρωματίζω,v,----------,,,,,,0
102610,υ00790,ὑπασπιστής,n,n-s---mn1e,ὑπασπιστού,,,,,0
102619,υ00798,ὑπατήϊος,a,aps---cn2-,ὑπατήϊος ὑπατήϊος ὑπατήϊον,,,,,0
102629,υ00809,ὑπάτυφος,a,aps---cn2-,ὑπάτυφος ὑπάτυφος ὑπάτυφον,,,,,0
102639,υ00819,ὑπαυχένιος,a,aps---mn1-,ὑπαυχένιος ὑπαυχένια ὑπαυχένιον,,aps---cn2-=ὑπαυχένιος aps---cn2-=ὑπαυχένιος aps---nn2-=ὑπαυχένιον,,,0
102660,υ00841,ὑπειλέομαι,v,----------,,,,,,0
102668,υ00848,ὑπειράλιος,a,aps---cn2-,ὑπειράλιος ὑπειράλιος ὑπειράλιον,,,,,0
102676,υ00856,ὑπεισέλευσις,n,n-s---fn3v,ὑπεισελευσέως,,,,,0
102677,υ00857,ὑπεισελευστέον,n,----------,,,,,,0
102684,υ00864,ὑπεκδιδράσκω,v,----------,,,,,,0
102693,υ00873,ὑπεκκαλύπτω,v,----------,,,,,,0
102700,υ00880,ὑπεκκλίνω,v,----------,,,,,,0
102713,υ00893,ὑπεκπονέω,v,----------,,,,,,0
102718,υ00898,ὑπεκπροτάμνω,v,----------,,,,,,0
102725,υ00905,ὑπεκσῴζω,v,----------,,,,,,0
102731,υ00911,ὑπεκτροφή,n,n-s---fn1e,ὑπεκτροφῆς,,,,,0
102737,υ00917,ὑπεκφυγγάνω,v,----------,,,,,,0
102743,υ00923,ὑπεκχωρητικός,a,aps---mn1-,ὑπεκχωρητικός ὑπεκχωρητική ὑπεκχωρητικόν,,,,,0
102754,υ00934,ὑπέμβρυον,n,n-s---nn2-,ὑπεμβρύου,,,,,0
102765,υ00945,ὑπένδεθεν,r,----------,,,,,,0
102773,υ00953,ὑπεντραγίζω,v,----------,,,,,,0
102779,υ00959,ὑπεξαιρετέος,a,aps---mn1-,ὑπεξαιρετέος ὑπεξαιρετέα ὑπεξαιρετέον,,,,,0
102790,υ00970,ὑπεξανίσταμαι,v,----------,,,,,,0
102797,υ00977,ὑπεξέλευσις,n,n-s---fn3v,ὑπεξελευσέως,,,,,0
102802,υ00982,ὑπεξηγητικός,a,aps---mn1-,ὑπεξηγητικός ὑπεξηγητική ὑπεξηγητικόν,,,,,0
102806,υ00986,ὑπεξουσιότης,n,n-s---fn3t,ὑπεξουσιότητος,,,,,0
102812,υ00996,ὑπεραβέλτερος,a,aps---cn2-,ὑπεραβέλτερος ὑπεραβέλτερος ὑπεραβέλτερον,,aps---mn1-=ὑπεραβέλτερος aps---fn1=ὑπεραβέλτερα aps---nn1-=ὑπεραβέλτερον,,,0
102836,υ01020,ὑπέραισχρος,a,aps---cn2-,ὑπέραισχρος ὑπέραισχρος ὑπέραισχρον,,,,,0
102846,υ01030,ὑπερακριβής,a,aps---cn5s,ὑπερακριβής ὑπερακριβής ὑπερακριβές,,,,,0
103106,υ01287,ὑπερεπιτατικός,a,aps---mn1-,ὑπερεπιτατικός ὑπερεπιτατική ὑπερεπιτατικόν,,,,,0
105069,υ03249,ὑπουργηματικός,a,aps---mn1-,ὑπουργηματικός ὑπουργηματική ὑπουργηματικόν,,,,,0
106399,φ00780,φιλάνθρωπος,a,aps---cn2-,φιλάνθρωπος φιλάνθρωπος φιλάνθρωπον,,,,,0
107896,φ02288,φροντλστικός,a,aps---mn1-,φροντλστικός φροντλστική φροντλστικόν,,,,,0
108540,χ00118,χαλκανθώδης,a,aps---cn3s,χαλκανθώδης χαλκανθώδης χαλκανθώ͂δες,,,,,0
108721,χ00298,χαλκώρυχος,a,aps---cn2-,χαλκώρυχος χαλκώρυχος χαλκώρυχον,,,,,0
109045,χ00622,χειμέριος,a,aps---mn1-,χειμέριος χειμέρια χειμέριον,,aps---cn2-=χειμέριος aps---cn2-=χειμέριος aps---nn2-=χειμέριον,,,0
109493,χ01064,χιλιοκτακοσιογδοηκονταπλασίων,a,aps---cn2-,χιλιοκτακοσιογδοηκονταπλασίων χιλιοκτακοσιογδοηκονταπλασίων χιλιάροτρον,,,,,0
110408,χ01988,χρυσοπλόκαμος,a,aps---cn2-,χρυσοπλόκαμος χρυσοπλόκαμος χρυσοπλόκαμον,,,,,0
48,α01417,ἄβατος,a,aps---cn2-,ἄβατος ἄβατος ἄβατον,,aps---mn1-=ἄβατος aps---fn1-=ἄβατα aps---nn1-=ἄβατον,,,0
60,α01429,ἀβέλτερος,a,aps---cn2-,ἀβέλτερος ἀβέλτερος ἀβέλτερον,,aps---mn1-=ἀβέλτερος aps---fn1=ἀβέλτερα aps---nn1-=ἀβέλτερον,,,0
100,α01469,ἀβολητύς,n,n-s---fn3v,ἀβολητύος,,,,,0
108,α01476,ἀβόσκητος,a,aps---cn2-,ἀβόσκητος ἀβόσκητος ἀβόσκητον,,,,,0
122,α01490,ἄβραχος,a,aps---cn2-,ἄβραχος ἄβραχος ἄβραχον,,,,,0
143,α01511,ἁβροπέτηλος,a,aps---cn2-,ἁβροπέτηλος ἁβροπέτηλος ἁβροπέτηλον,,,,,0
158,α01526,ἄβροτος,a,aps---cn2-,ἄβροτος ἄβροτος ἄβροτον,,aps---mn1-=ἄβροτος aps---fn1-=ἄβροτα aps---nn1-=ἄβροτον,,,0
173,α01540,ἀβρωσία,n,n-s---fn1l,ἀβρωσίας,,,,,0
179,α01545,ἀβύρσευτος,a,aps---cn2-,ἀβύρσευτος ἀβύρσευτος ἀβύρσευτον,,,,,0
196,α01563,ἀγαθίδιον,n,n-s---nn2-,ἀγαθιδίου,,,,,0
201,α01568,ἀγαθοδαιμονητικός,a,aps---mn1-,ἀγαθοδαιμονητικός ἀγαθοδαιμονητική ἀγαθοδαιμονητικόν,,,,,0
213,α01580,ἀγαθοθελής,a,aps---cn5s,ἀγαθοθελής ἀγαθοθελής ἀγαθοθελές,,,,,0
224,α01591,ἀγαθοφανής,a,aps---cn5s,ἀγαθοφανής ἀγαθοφανής ἀγαθοφανές,,,,,0
243,α01608,ἀγαλλίαμα,n,----------,,,,,,0
249,α01614,ἀγαλματίας,n,n-s---mn1a,ἀγαλματίου,,,,,0
255,α01620,ἀγαλματοποιί̈α,n,n-s---fn1l,ἀγαλματοποιί̈ας,,,,,0
260,α01625,ἀγαλματουργός,a,aps---cn2-,ἀγαλματουργός ἀγαλματουργός ἀγαλματουργόν,,,,,0
274,α01638,ἀγάμετος,a,aps---cn2-,ἀγάμετος ἀγάμετος ἀγάμετον,,,,,0
282,α01646,ἀγανακτητικός,a,aps---mn1-,ἀγανακτητικός ἀγανακτητική ἀγανακτητικόν,,,,,0
286,α01650,ἀγανοβλέφαρος,a,aps---cn2-,ἀγανοβλέφαρος ἀγανοβλέφαρος ἀγανοβλέφαρον,,,,,0
