419,βαρυοδμία,n,n-s---fn1l,βαρυοδμίας,,,,,0
18360,β00421,βαρύοζος,a,aps---cn2-,βαρύοζος βαρύοζος βαρύοζον,,,,,0
18361,β00422,βαρυολκός,n,----------,,,,,,0
18362,β00423,βαρυόπας,n,----------,,,,,,0
18363,β00424,βαρυόργητος,a,aps---cn2-,βαρυόργητος βαρυόργητος βαρυόργητον,,,,,0
18364,β00425,βαρύοσμος,a,aps---cn2-,βαρύοσμος βαρύοσμος βαρύοσμον,,,,,0
18365,β00426,βαρυπαθέω,v,----------,,,,,,0
18366,β00427,βαρυπάλαμος,a,----------,,,,,,0
18367,β00428,βαρυπένθεια,n,n-s---fn1s,βαρυπένθειας,,,,,0
18369,β00430,βαρυπένθητος,a,aps---cn2-,βαρυπένθητος βαρυπένθητος βαρυπένθητον,,,,,0
18370,β00431,βαρυπεσής,a,aps---cn5s,βαρυπεσής βαρυπεσής βαρυπεσές,,,,,0
18371,β00432,βαρυπήμων,a,aps---cn3n,βαρυπήμων βαρυπήμων βαρυπήμον,,,,,0
18372,β00433,βαρύπλουτος,a,aps---cn2-,βαρύπλουτος βαρύπλουτος βαρύπλουτον,,,,,0
18373,β00434,βαρυπνείων,r,----------,,,,,,0
18374,β00435,βαρύπνοια,n,n-s---fn1s,βαρύπνοιας,,,,,0
18375,β00436,βαρύπνοος,a,aps---cn2-,βαρύπνοος βαρύπνοος βαρύπνοον,,,,,0
18422,β00483,βαρύχρους,n,----------,,,,,,0
18329,β00390,βαρύθροος,a,aps---cn2-,βαρύθροος βαρύθροος βαρύθροον,,,,,0
18378,β00439,βαρυπρεπής,a,aps---cn5s,βαρυπρεπής βαρυπρεπής βαρυπρεπές,,,,,0
18379,β00440,βαρύπυκνος,a,aps---cn2-,βαρύπυκνος βαρύπυκνος βαρύπυκνον,,,,,0
18380,β00441,βαρυρρήμων,a,aps---cn3n,βαρυρρήμων βαρυρρήμων βαρυρρήμον,,,,,0
18381,β00442,βαρύς,a,aps---mn4u,βαρύς βαρεῖα βαρύ,,,/ba.rýs/,,0
18383,β00444,βαρυσίδηρος,a,----------,,,,,,0
18384,β00445,βαρυσκελής,a,aps---cn5s,βαρυσκελής βαρυσκελής βαρυσκελές,,,,,0
18385,β00446,βαρυσκίπων,a,----------,,,,,,0
18386,β00447,βαρυσμάραγος,n,----------,,,,,,0
18388,β00449,βαρυσταθμέω,v,----------,,,,,,0
18389,β00450,βαρύσταθμος,a,aps---cn2-,βαρύσταθμος βαρύσταθμος βαρύσταθμον,,,,,0
18391,β00452,βαρυστενάχων,r,----------,,,,,,0
18392,β00453,βαρύστομος,a,aps---cn2-,βαρύστομος βαρύστομος βαρύστομον,,,,,0
18393,β00454,βαρύστονος,a,aps---cn2-,βαρύστονος βαρύστονος βαρύστονον,,,,,0
18394,β00455,βαρυσύμφορος,a,aps---cn2-,βαρυσύμφορος βαρυσύμφορος βαρυσύμφορον,,,,,0
18395,β00456,βαρυσφάραγος,n,----------,,,,,,0
18396,β00457,βαρύσωμος,a,aps---cn2-,βαρύσωμος βαρύσωμος βαρύσωμον,,,,,0
18397,β00458,βαρυτάλαντος,r,----------,,,,,,0
18398,β00459,βαρυταρβής,a,aps---cn5s,βαρυταρβής βαρυταρβής βαρυταρβές,,,,,0
18399,β00460,βαρυτελής,a,aps---cn5s,βαρυτελής βαρυτελής βαρυτελές,,,,,0
18400,β00461,βαρύτης,n,n-s---fn3d,βαρύτητος,,,/ba.rý.tɛːs/,,0
18401,β00462,βαρυτιμέω,v,----------,,,,,,0
18403,β00464,βαρύτλητος,a,aps---cn2-,βαρύτλητος βαρύτλητος βαρύτλητον,,,,,0
