ε05807,ἑληθερέω,v,----------,,,,,,0
31828,ε05808,ἐλήλακα,n,----------,,,,,,0
31829,ε05809,ἐλθετέον,n,----------,,,,,,0
31830,ε05810,ἑλίγδην,r,----------,,,,,,0
31831,ε05811,ἕλιγμα,n,n-s---nn3t,ἑλίγματος,,,,,0
31832,ε05812,ἑλιγματώδης,a,aps---cn3s,ἑλιγματώδης ἑλιγματώδης ἑλιγματώ͂δες,,,,,0
31833,ε05813,ἑλιγμός,n,----------,,,,,,0
31834,ε05814,ἔλιγξ,n,----------,,,,,,0
31835,,Ἐλιεύς,n,----------,,,,,,0
31788,ε05768,ἐλεφαντάρχης,n,n-s---mn1e,ἐλεφαντάρχου,,,,,0
31839,ε05818,ἑλίκη,n,n-s---fn1e,ἑλίκης,,,,,0
31840,ε05819,ἑλικηδόν,r,----------,,,,,,0
31841,ε05820,ἑλικίας,n,n-s---mn1a,ἑλικίου,,,,,0
31843,ε05822,ἑλικοβόστρυχος,a,aps---cn2-,ἑλικοβόστρυχος ἑλικοβόστρυχος ἑλικοβόστρυχον,,,,,0
31844,ε05823,ἑλικογραφέω,v,----------,,,,,,0
31846,ε05825,ἑλικοειδής,a,aps---cn5s,ἑλικοειδής ἑλικοειδής ἑλικοειδές,,,,,0
31847,ε05826,ἑλικοκέρατος,a,aps---cn2-,ἑλικοκέρατος ἑλικοκέρατος ἑλικοκέρατον,,,,,0
31848,ε05827,ἑλικοπέταλος,a,aps---cn2-,ἑλικοπέταλος ἑλικοπέταλος ἑλικοπέταλον,,,,,0
31849,ε05828,ἑλικόρροος,a,aps---cn2-,ἑλικόρροος ἑλικόρροος ἑλικόρροον,,,,,0
31850,ε05829,ἑλικός,a,aps---mn1-,ἑλικός ἑλική ἑλικόν,,,,,0
31851,ε05830,ἑλικοστέφανος,a,aps---cn2-,ἑλικοστέφανος ἑλικοστέφανος ἑλικοστέφανον,,,,,0
31852,ε05831,ἑλικτήρ,n,n-s---mn3r,ἑλικτῆρος,,,,,0
31853,ε05832,ἑλικτήριον,n,n-s---nn2-,ἑλικτηρίου,,,,,0
31854,ε05833,ἑλικτικός,a,aps---mn1-,ἑλικτικός ἑλικτική ἑλικτικόν,,,,,0
31855,ε05834,ἑλικτός,a,aps---mn1-,ἑλικτός ἑλικτή ἑλικτόν,,,,,0
31857,ε05836,ἑλίκων,n,n-s---mn3n,ἑλίκωνος,,,,,0
31858,,Ἑλικών,n,----------,,,,/he.li.kɔ̌ːn/,,0
31859,ε02045,ελ,n,----------,,,,,,0
31860,,Ἑλικώνιος,a,aps---mn1-,Ἑλικώνιος Ἑλικώνια Ἑλικώνιον,,,,,0
31861,ε05837,ἑλικωπός,a,aps---cn2-,ἑλικωπός ἑλικωπός ἑλικωπόν,,,,,0
31862,ε05838,ἑλικωτός,a,aps---mn1-,ἑλικωτός ἑλικωτή ἑλικωτόν,,,,,0
31863,ε05839,ἑλίκωψ,n,----------,,,,,,0
31864,ε05840,ἕλινος,n,n-s---mn2-,ἑλίνου,,,,,0
31865,ε05841,ἑλινότροπος,a,aps---cn2-,ἑλινότροπος ἑλινότροπος ἑλινότροπον,,,,,0
31866,ε05842,ἑλινοφόρος,a,aps---cn2-,ἑλινοφόρος ἑλινοφόρος ἑλινοφόρον,,,,,0
31867,ε05843,ἐλινύες,n,n-p---fn1l,ἐλινυῶν,,,,,0
31868,,Ἐλινύμενος,n,----------,,,,,,0
31869,ε05844,ἐλινύω,v,----------,,,,,,0
31870,ε05845,ἕλιξ,a,----------,,,,,,0
31871,ε05846,ἕλιξ,n,n-s---fn3v,,,,,,0
31873,ε05848,ἑλιξόκερως,n,n-s---cn3d,ἑλιξοκέρωτος,,,,,0
31874,ε05849,ἑλιξόπορος,a,aps---cn2-,ἑλιξόπορος ἑλιξόπορος ἑλιξόπορον,,,,,0
31875,ε05850,ἑλίσσω,v,----------,,,,,,0
31877,ε05852,ἑλίχρυσος,n,n-s---mn2-,ἑλιχρύσου,,,,,0
31878,ε05853,ἐλιχώνη,n,n-s---fn1e,ἐλιχώνης,,,,,0
31879,ε05854,ἑλκαίνω,v,----------,,,,,,0
31880,ε05855,ἕλκανον,n,n-s---nn2-,ἑλκάνου,,,,,0
31881,ε05856,ἑλκείδιον,n,n-s---nn2-,ἑλκειδίου,,,,,0
31882,ε05857,ἑλκεσίπεπλος,v,----------,,,,,,0
31884,ε05859,ἑλκετρίβων,n,----------,,,,,,0
31885,ε05860,ἑλκεχίτων,a,----------,,,,,,0
31886,ε05861,ἑλκέω,v,----------,,,,,,0
31838,ε05817,ἑλικαυγής,a,aps---cn5s,ἑλικαυγής ἑλικαυγής ἑλικαυγές,,,,,0
31890,ε05865,ἕλκηθρον,n,n-s---nn2-,ἑλκήθρου,,,,,0
31891,ε05866,ἕλκημα,n,n-s---nn3t,ἑλκήματος,,,,,0
31892,ε05867,ἑλκησίσταχυς,n,----------,,,,,,0
31894,ε05869,ἑλκίνα,n,----------,,,,,,0
31895,ε05870,ἑλκοποιέω,v,----------,,,,,,0
31896,ε05871,ἕλκος,n,n-s---nn3v,ἕλκεος,,,,,0
31897,ε05872,ἑλκόω,v,----------,,,,,,0
31898,ε05873,ἑλκτέον,v,----------,,,,,,0
31899,ε05874,ἑλκτικός,a,aps---mn1-,ἑλκτικός ἑλκτική ἑλκτικόν,,,,,0
31900,ε05875,ἑλκτός,a,aps---mn1-,ἑλκτός ἑλκτή ἑλκτόν,,,,,0
31901,ε05876,ἑλκύδριον,n,n-s---nn2-,ἑλκυδρίου,,,,,0
31902,ε05877,ἑλκυθμός,n,----------,,,,,,0
31903,ε05878,ἑλκύσιμος,a,----------,,,,,,0
31905,ε05880,ἕλκυσμα,n,n-s---nn3t,ἑλκύσματος,,,,,0
31906,ε05881,ἑλκυσμός,n,----------,,,,,,0
31907,ε05882,ἑλκυστάζω,v,----------,,,,,,0
31909,ε05884,ἑλκυστήρ,n,n-s---mn3r,ἑλκυστῆρος,,,,,0
31911,ε05886,ἑλκυστικός,a,aps---mn1-,ἑλκυστικός ἑλκυστική ἑλκυστικόν,,,,,0
31912,ε05887,ἑλκυστίνδα,r,----------,,,,,,0
31913,ε05888,ἑλκυστός,a,aps---mn1-,ἑλκυστός ἑλκυστή ἑλκυστόν,,,,,0
31914,ε05889,ἕλκυστρον,n,n-s---nn2-,ἑλκύστρου,,,,,0
31915,ε05890,ἕλκω,v,----------,,,,/hél.kɔː/,,0
31916,ε05891,ἑλκώδης,a,aps---cn3s,ἑλκώδης ἑλκώδης ἑλκώ͂δες,,,,,0
31917,ε05892,ἕλκωμα,n,n-s---nn3t,ἑλκώματος,,,,,0
31918,ε05893,ἑλκωματικός,a,aps---mn1-,ἑλκωματικός ἑλκωματική ἑλκωματικόν,,,,,0
31919,ε05894,ἕλκωσις,n,n-s---fn3v,ἑλκωσέως,,,,,0
31920,ε05895,ἑλκωτικός,a,aps---mn1-,ἑλκωτικός ἑλκωτική ἑλκωτικόν,,,,,0
31921,ε05896,ἑλλά,n,n-s---fn1l,ἑλλᾶς,,,,,0
31922,,Ἑλλαδαρχέω,v,----------,,,,,,0
31923,,Ἑλλαδάρχης,n,n-s---mn1e,Ἑλλαδάρχου,,,,,0
31925,ε05897,ἔλλαθι,n,----------,,,,,,0
31926,ε05898,ἐλλαλέω,v,----------,,,,,,0
31927,ε05899,ἐλλαμβάνω,v,----------,,,,,,0
31928,ε05900,ἐλλαμπρύνομαι,v,----------,,,,,,0
31929,ε05901,ἐλλάμπω,v,----------,,,,,,0
31930,ε05902,ἔλλαμψις,n,n-s---fn3v,ἐλλαμψέως,,,,,0
31931,,Ἑλλάνιος,n,----------,,,,,,0
31932,,Ἑλλανοδίκαι,v,----------,,,,,,0
31933,,Ἑλλανοδικέω,v,----------,,,,,,0
31935,ε05903,ἐλλαπίνα,n,----------,,,,,,0
31936,,Ἑλλάς,n,n-s---fn3d,Ἑλλάδος,,,/hel.lás/,,0
31938,ε05905,ἑλλεβορίζω,v,----------,,,,,,0
31939,ε05906,ἑλλεβορίνη,n,n-s---fn1e,ἑλλεβορίνης,,,,,0
31940,ε05907,ἑλλεβορισμός,n,----------,,,,,,0
31941,ε05908,ἑλλεβορίτης,n,n-s---mn1e,ἑλλεβορίτου,,,,,0
31942,ε05909,ἑλλεβοροδότης,n,----------,,,,,,0
31889,ε05864,ἑλκηθμός,n,----------,,,,,,0
31945,ε05912,ἑλλεβοροσήματα,n,----------,,,,,,0
31946,ε05913,ἐλλεδανός,n,----------,,,,,,0
31948,ε05915,ἐλλειπασμός,n,----------,,,,,,0
31949,ε05916,ἐλλειπής,n,----------,,,,,,0
31950,ε05917,ἐλλειπόντως,r,----------,,,,,,0
31951,ε05918,ἐλλειπτικός,a,aps---mn1-,ἐλλειπτικός ἐλλειπτική ἐλλειπτικόν,,,,,0
31952,ε05919,ἐλλείπω,v,----------,,,,,,0
31953,ε05920,ἐλλείχω,v,----------,,,,,,0
31954,ε05921,ἔλλειψις,n,n-s---fn3v,ἐλλειψέως,,,/él.leːp.sis/,,0
31955,ε05922,ἔλλερος,n,----------,,,,,,0
31956,ε05923,ἔλλεσχος,a,aps---cn2-,ἔλλεσχος ἔλλεσχος ἔλλεσχον,,,,,0
31957,ε05924,ἔλλετε,n,----------,,,,,,0
31958,ε05925,ἔλλευκος,n,----------,,,,,,0
31959,ε05926,ἐλλήγω,v,----------,,,,,,0
31960,ε05927,ἐλληκέω,v,----------,,,,,,0
31961,,Ἕλλην,n,n-s---mn3n,Ἕλληνος,,,/hél.lɛːn/,,0
31963,,Ἑλληνίζω,v,v1spia--1-,,,,/hel.lɛː.níz.dɔː/,,0
31965,,Ἑλλήνιος,a,aps---mn1-,Ἑλλήνιος Ἑλληνία Ἑλλήνιον,,,/hel.lɛ̌ː.ni.os/,,0
31966,,Ἑλληνίς,n,n-s---fn3d,Ἑλληνίδος,,,/hel.lɛː.nís/,,0
31967,,Ἑλληνισμός,n,----------,,,,,,0
31968,,Ἑλληνιστής,n,n-s---mn1e,Ἑλληνιστού,,,/hel.lɛː.nis.tɛ̌ːs/,,0
31969,,Ἑλληνιστί,r,----------,,,,,,0
31971,,Ἑλληνοδίκαι,n,----------,,,,,,0
31972,,Ἑλληνοκοπέω,v,----------,,,,,,0
31973,,Ἑλληνομεμφῖται,n,----------,,,,,,0
31974,,Ἑλληνοταμίαι,n,----------,,,,,,0
31976,,Ἑλληνόφρων,n,----------,,,,,,0
31977,,Ἑλλησποντιακός,a,aps---mn1-,Ἑλλησποντιακός Ἑλλησποντιακή Ἑλλησποντιακόν,,,,,0
31978,,Ἑλλησποντίας,n,n-s---mn1a,Ἑλλησποντίου,,,,,0
31979,,Ἑλλησποντιάς,a,----------,,,,,,0
31981,,Ἑλλησποντίς,a,----------,,,,,,0
31982,,Ἑλλήσποντος,n,,Ἑλλησπόντου,,,/hel.lɛ̌ːs.pon.tos/,,0
31983,,Ἑλλησποντοφύλακες,n,----------,,,,,,0
31984,ε05929,ἔλλιθος,a,aps---cn2-,ἔλλιθος ἔλλιθος ἔλλιθον,,,,,0
31985,ε05930,ἐλλιμενίζω,v,----------,,,,,,0
31987,ε05932,ἐλλιμένιος,a,aps---mn1-,ἐλλιμένιος ἐλλιμένια ἐλλιμένιον,,aps---cn2-=ἐλλιμένιος aps---cn2-=ἐλλιμένιος aps---nn2-=ἐλλιμένιον,,,0
31988,ε05933,ἐλλιμένισις,n,n-s---fn3v,ἐλλιμενισέως,,,,,0
31989,ε05934,ἐλλιμενιστής,n,n-s---mn1e,ἐλλιμενιστού,,,,,0
31990,ε05935,ἐλλιπαίνω,v,----------,,,,,,0
31991,ε05936,ἐλλιπής,a,aps---cn5s,ἐλλιπής ἐλλιπής ἐλλιπές,,,,,0
31992,ε05937,ἔλλιπος,a,aps---cn2-,ἔλλιπος ἔλλιπος ἔλλιπον,,,,,0
31993,ε05938,ἐλλισάμην,n,----------,,,,,,0
31994,ε05939,ἐλλόβιον,n,n-s---nn2-,ἐλλοβίου,,,,,0
31944,ε05911,ἑλλέβορος,n,n-s---mn2-,ἑλλεβόρου,,,,,0
31998,ε05943,ἐλλογέω,v,----------,,,,,,0
