,ἐπιτετραμερής,a,aps---cn5s,ἐπιτετραμερής ἐπιτετραμερής ἐπιτετραμερές,,,,,0
39175,ε13093,ἐπιτετράπεμπτος,a,aps---cn2-,ἐπιτετράπεμπτος ἐπιτετράπεμπτος ἐπιτετράπεμπτον,,,,,0
39176,ε13094,ἐπιτετράφαται,n,----------,,,,,,0
39177,ε13095,ἐπιτετυχημένως,n,----------,,,,,,0
39178,ε13096,ἐπίτευγμα,n,n-s---nn3t,ἐπιτεύγματος,,,,,0
39180,ε13098,ἐπίτευξις,n,n-s---fn3v,ἐπιτευξέως,,,,,0
39181,ε13099,ἐπιτεύχω,v,----------,,,,,,0
39182,ε13100,ἐπιτεχνάζω,v,----------,,,,,,0
39183,ε13101,ἐπιτεχνάομαι,v,----------,,,,,,0
39184,ε13102,ἐπιτέχνημα,n,n-s---nn3t,ἐπιτεχνήματος,,,,,0
39185,ε13103,ἐπιτέχνησις,n,n-s---fn3v,ἐπιτεχνησέως,,,,,0
39186,ε13104,ἐπιτεχνητός,a,----------,,,,,,0
39187,ε13105,ἐπιτεχνολογέω,v,----------,,,,,,0
39188,ε13106,ἐπιτηγανίζω,v,----------,,,,,,0
39190,ε13109,ἐπιτήδειος,a,aps---mn1-,ἐπιτήδειος ἐπιτήδεια ἐπιτήδειον,,,/e.pi.tɛ̌ː.deː.os/,,0
39191,ε13111,ἐπιτηδειότης,n,n-s---fn3t,ἐπιτηδειότητος,,,,,0
39192,ε13112,ἐπιτηδές,r,----------,,,,,,0
39193,ε13113,ἐπιτήδευμα,n,n-s---nn3t,ἐπιτηδεύματος,,,/e.pi.tɛ̌ː.deu̯.ma/,,0
39194,ε13114,ἐπιτηδευματικῶς,r,----------,,,,,,0
39196,ε13116,ἐπιτηδευτέον,v,----------,,,,,,0
39148,ε13066,ἐπιτελέω,v,----------,,,,,,0
39200,ε13120,ἐπιτηδεύω,v,----------,,,,,,0
39201,ε13121,ἐπιτηδέως,r,----------,,,,,,0
39202,ε13122,ἐπιτήθη,n,n-s---fn1e,ἐπιτήθης,,,,,0
39203,ε13123,ἐπίτηκτος,a,aps---cn2-,ἐπίτηκτος ἐπίτηκτος ἐπίτηκτον,,,,,0
39204,ε13124,ἐπιτήκω,v,----------,,,,,,0
39205,ε13125,ἐπιτηλίς,n,n-s---fn3d,ἐπιτηλίδος,,,,,0
39206,ε13126,ἐπιτηρέω,v,----------,,,,,,0
39207,ε13127,ἐπιτήρησις,n,n-s---fn3v,ἐπιτηρησέως,,,,,0
39208,ε13128,ἐπιτηρητέον,a,----------,,,,,,0
39209,ε13129,ἐπιτηρητής,n,n-s---mn1e,ἐπιτηρητού,,,,,0
39211,ε13131,ἐπιτηρία,n,n-s---fn1l,ἐπιτηρίας,,,,,0
39212,ε13132,ἐπιτίθημι,v,----------,,,,/e.pi.tí.tʰɛː.mi/,,0
39213,ε13133,ἐπιτίκτω,v,----------,,,,,,0
39215,ε13135,ἐπιτιμάω,v,----------,,,,/e.pi.tiː.má.ɔː/,,0
39216,ε13136,ἐπιτιμέω,v,----------,,,,,,0
39217,ε13137,ἐπιτιμή,n,n-s---fn1e,ἐπιτιμῆς,,,,,0
39218,ε13138,ἐπιτίμημα,n,n-s---nn3t,ἐπιτιμήματος,,,,,0
39219,ε13139,ἐπιτίμησις,n,n-s---fn3v,ἐπιτιμησέως,,,,,0
39220,ε13140,ἐπιτιμητέον,a,----------,,,,,,0
39221,ε13141,ἐπιτιμητήρ,n,n-s---mn3r,ἐπιτιμητῆρος,,,,,0
39224,ε13144,ἐπιτιμητός,a,aps---cn2-,ἐπιτιμητός ἐπιτιμητός ἐπιτιμητόν,,,,,0
39225,ε13145,ἐπιτιμήτωρ,n,n-s---mn3r,ἐπιτιμήτορος,,,,,0
39226,ε13146,ἐπιτιμία,n,n-s---fn1l,ἐπιτιμίας,,,,,0
39227,ε13147,ἐπιτίμιον,n,n-s---nn2-,ἐπιτιμίου,,,,,0
39228,ε13148,ἐπιτίμιος,a,aps---mn1-,ἐπιτίμιος ἐπιτίμια ἐπιτίμιον,,,,,0
39229,ε13149,ἐπίτιμος,a,aps---cn2-,ἐπίτιμος ἐπίτιμος ἐπίτιμον,,,,,0
39230,ε13150,ἐπιτίνω,v,----------,,,,,,0
39232,ε13152,ἐπιτιτράω,v,----------,,,,,,0
39233,ε13153,ἐπιτλάω,v,----------,,,,,,0
39234,ε13154,ἐπιτμήγω,v,----------,,,,,,0
39235,ε13155,ἐπιτμητέον,a,----------,,,,,,0
39236,ε13156,ἐπιτοκία,n,n-s---fn1l,ἐπιτοκίας,,,,,0
39237,ε13157,ἐπιτοκίζω,v,----------,,,,,,0
39238,ε13158,ἐπιτόκιον,n,n-s---nn2-,ἐπιτοκίου,,,,,0
39239,ε13159,ἐπίτοκος,a,aps---cn2-,ἐπίτοκος ἐπίτοκος ἐπίτοκον,,,,,0
39240,ε13160,ἐπιτολή,n,n-s---fn1e,ἐπιτολῆς,,,,,0
39241,ε13161,ἐπιτολμάω,v,----------,,,,,,0
39242,ε13162,ἐπιτολμητέον,a,----------,,,,,,0
39244,ε13164,ἐπιτομή,n,n-s---fn1e,ἐπιτομῆς,,,/e.pi.to.mɛ̌ː/,,0
39245,ε13165,ἐπιτομικός,a,aps---mn1-,ἐπιτομικός ἐπιτομική ἐπιτομικόν,,,,,0
39246,ε13166,ἐπίτομος,a,aps---cn2-,ἐπίτομος ἐπίτομος ἐπίτομον,,,,,0
39247,ε13167,ἐπιτόναιον,n,n-s---nn2-,ἐπιτοναίου,,,,,0
39677,ε13600,ἐποράω,v,----------,,,,,,0
39199,ε13119,ἐπιτηδευτός,a,aps---mn1-,ἐπιτηδευτός ἐπιτηδευτή ἐπιτηδευτόν,,,,,0
39250,ε13170,ἐπιτονόω,v,----------,,,,,,0
39251,ε13171,ἐπιτοξάζομαι,v,----------,,,,,,0
39252,ε13172,ἐπιτοξεύω,v,----------,,,,,,0
39253,ε13173,ἐπιτοξίς,n,n-s---fn3d,ἐπιτοξίδος,,,,,0
39254,ε13174,ἐπιτοπίζω,v,----------,,,,,,0
39256,ε13176,ἐπιτόπως,r,----------,,,,,,0
39257,ε13177,ἐπιτόσσαις,n,----------,,,,,,0
39258,ε13179,ἐπιτραγηματίζω,v,----------,,,,,,0
39259,ε13180,ἐπιτραγία,n,n-s---fn1l,ἐπιτραγίας,,,,,0
39260,ε13181,ἐπιτραγίας,n,----------,,,,,,0
39261,ε13182,ἐπίτραγοι,n,n-p---mn2-,ἐπιτράγων,,,,,0
39262,ε13178,ἐπιτραγῳδέω,v,----------,,,,,,0
39264,ε13184,ἐπιτράπεζος,a,aps---cn2-,ἐπιτράπεζος ἐπιτράπεζος ἐπιτράπεζον,,,,,0
39265,ε13185,ἐπιτραπέζωμα,n,n-s---nn3t,ἐπιτραπεζώματος,,,,,0
39266,ε13186,ἐπιτραπέουσι,n,----------,,,,,,0
39267,ε13187,ἐπιτραχήλιος,a,aps---cn2-,ἐπιτραχήλιος ἐπιτραχήλιος ἐπιτραχήλιον,,,,,0
39268,ε13190,ἐπιτρεπτέον,v,----------,,,,,,0
39269,ε13191,ἐπιτρεπτικός,a,aps---mn1-,ἐπιτρεπτικός ἐπιτρεπτική ἐπιτρεπτικόν,,,,,0
39270,ε13192,ἐπιτρέπω,v,----------,,,,,,0
39271,ε13193,ἐπιτρέφω,v,----------,,,,,,0
39272,ε13194,ἐπιτρέχω,v,----------,,,,,,0
39273,ε13195,ἐπίτρησις,n,n-s---fn3v,ἐπιτρησέως,,,,,0
39274,ε13196,ἐπιτριακοστὸς,n,----------,,,,,,0
39276,ε13189,ἐπιτρέππεμπτος,n,----------,,,,,,0
39277,ε13197,ἐπιτριβή,n,n-s---fn1e,ἐπιτριβῆς,,,,,0
39278,ε13198,ἐπιτρίβω,v,----------,,,,,,0
39279,ε13199,ἐπιτριηραρχέω,v,----------,,,,,,0
