,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
11665,α12265,ἀπογραφή,n,n-s---fn1e,ἀπογραφῆς,,,,,0
11667,α12267,ἀπογράφω,v,----------,,,,,,0
11668,α12268,ἀπόγυιοι,n,----------,,,,,,0
11669,α12269,ἀπογυιόω,v,----------,,,,,,0
11670,α12270,ἀπογυμνάζω,v,----------,,,,,,0
11671,α12271,ἀπογυμνόω,v,----------,,,,,,0
11673,α12273,ἀπογυναίκωσις,n,n-s---fn3v,ἀπογυναικωσέως,,,,,0
11674,α12274,ἀπόγυον,n,n-s---nn2-,ἀπογύου,,,,,0
11675,α12275,ἀπογώνιον,n,n-s---nn2-,ἀπογωνίου,,,,,0
11676,α12276,ἀπογωνιόομαι,v,----------,,,,,,0
11677,α12277,ἀποδάκνω,v,----------,,,,,,0
11678,α12278,ἀποδάκρῦσις,n,n-s---fn3v,ἀποδακρυσέως,,,,,0
11680,α12280,ἀποδακρύω,v,----------,,,,,,0
11681,α12281,ἀποδαπανάω,v,----------,,,,,,0
11682,α12282,ἀποδάπτω,v,----------,,,,,,0
11684,α12284,ἀπόδαρμα,n,n-s---nn3t,ἀποδάρματος,,,,,0
11685,α12285,ἀποδάσμιος,a,aps---cn2-,ἀποδάσμιος ἀποδάσμιος ἀποδάσμιον,,,,,0
11686,α12286,ἀποδασμός,n,----------,,,,,,0
11741,α12341,ἀποδηλόω,v,----------,,,,,,0
11634,α12235,ἀπογεόομαι,v,----------,,,,,,0
11689,α12289,ἀποδατέομαι,v,----------,,,,,,0
11690,α12290,ἀποδαυλίζω,v,----------,,,,,,0
11691,α12291,ἀποδαψιλεύομαι,v,----------,,,,,,0
11692,α12293,ἀποδέδεγμαι,v,----------,,,,,,0
11693,α12294,ἀποδεδειγμένως,r,----------,,,,,,0
11694,α12295,ἀποδεδειλιακότως,r,----------,,,,,,0
11696,α12292,ἀποδεῖ,n,----------,,,,,,0
11697,α12297,ἀποδειδίσσομαι,v,----------,,,,,,0
11698,α12298,ἀποδείκνυμι,v,----------,,,,/a.po.dé.knyː.mi/,,0
11701,α12301,ἀποδεικτός,a,aps---mn1-,ἀποδεικτός ἀποδεικτή ἀποδεικτόν,,,,,0
11702,α12302,ἀποδειλίασις,n,n-s---fn3v,ἀποδειλιασέως,,,,,0
11703,α12303,ἀποδειλιατέον,a,----------,,,,,,0
11704,α12304,ἀποδειλιάω,v,----------,,,,,,0
11705,α12305,ἀπόδειξις,n,n-s---fn3v,ἀποδειξέως,,,,,0
11706,α12306,ἀποδειπνέω,v,----------,,,,,,0
11708,α12308,ἀπόδειπνος,a,aps---cn2-,ἀπόδειπνος ἀπόδειπνος ἀπόδειπνον,,,,,0
11709,α12309,ἀποδειροτομέω,v,----------,,,,,,0
11710,α12310,ἀποδειροτόμησις,n,n-s---fn3v,ἀποδειροτομησέως,,,,,0
11711,α12311,ἀποδείρω,v,----------,,,,,,0
11712,α12312,ἀποδεισιδαιμονέω,v,----------,,,,,,0
11713,α12313,ἀποδεκάτευσις,n,----------,,,,,,0
11714,α12314,ἀποδεκατεύω,v,----------,,,,,,0
11715,α12315,ἀποδεκατίζω,v,----------,,,,,,0
11716,α12316,ἀποδεκατόω,v,----------,,,,,,0
11718,α12318,ἀποδεκτέον,v,----------,,,,,,0
11719,α12319,ἀποδεκτήρ,n,n-s---mn3r,ἀποδεκτῆρος,,,,,0
11720,α12320,ἀποδέκτης,n,n-s---mn1e,ἀποδέκτου,,,,,0
11722,α12322,ἀποδενδρόομαι,v,----------,,,,,,0
11723,α12323,ἀποδέξασθαι,n,----------,,,,,,0
11725,α12325,ἀποδέρκομαι,v,----------,,,,,,0
11726,α12326,ἀπόδερμα,n,----------,,,,,,0
11727,α12327,ἀποδερματίζω,v,----------,,,,,,0
11728,α12328,ἀποδερματισμός,n,----------,,,,,,0
11729,α12329,ἀποδερματόομαι,v,----------,,,,,,0
11730,α12330,ἀποδερτρόω,v,----------,,,,,,0
11731,α12331,ἀποδέρω,v,----------,,,,,,0
11733,α12333,ἀποδεσμεύω,v,----------,,,,,,0
11734,α12334,ἀποδεσμέω,v,----------,,,,,,0
11735,α12335,ἀποδεσμίς,n,n-s---fn3d,ἀποδεσμίδος,,,,,0
11736,α12336,ἀπόδεσμος,n,n-s---mn2-,ἀποδέσμου,,,,,0
11737,α12337,ἀποδεχθείς,n,----------,,,,,,0
11738,α12338,ἀποδέχομαι,v,----------,,,,,,0
11739,α12340,ἀποδέω,v,----------,,,,,,0
11740,α12339,ἀποδέω,v,----------,,,,,,0
11688,α12288,ἀποδαστύς,n,n-s---fn3v,ἀποδαστύος,,,,,0
11744,α12344,ἀποδήμησις,n,n-s---fn3v,ἀποδημησέως,,,,,0
11745,α12345,ἀποδημητής,n,n-s---mn1e,ἀποδημητού,,,,,0
11747,α12347,ἀποδημία,n,n-s---fn1l,ἀποδημίας,,,,,0
11748,α12348,ἀπόδημος,a,aps---cn2-,ἀπόδημος ἀπόδημος ἀπόδημον,,,,,0
11749,α12349,ἀπόδησις,n,----------,,,,,,0
11750,α12350,ἀποδία,n,n-s---fn1l,ἀποδίας,,,,,0
11751,α12351,ἀποδιαγράφω,v,----------,,,,,,0
11752,α12352,ἀποδιαιρέω,v,----------,,,,,,0
11753,α12353,ἀποδιαιτάω,v,----------,,,,,,0
11754,α12354,ἀποδιάκειμαι,v,----------,,,,,,0
11755,α12355,ἀποδιακλασμός,n,----------,,,,,,0
11756,α12356,ἀποδιακρίνω,v,----------,,,,,,0
11759,α12359,ἀποδιάληψις,n,n-s---fn3v,ἀποδιαληψέως,,,,,0
11760,α12360,ἀποδιαλύω,v,----------,,,,,,0
11761,α12361,ἀποδιανομή,n,n-s---fn1e,ἀποδιανομῆς,,,,,0
11762,α12362,ἀποδιαπέμπομαι,v,----------,,,,,,0
11763,α12363,ἀποδιασείω,v,----------,,,,,,0
11765,α12365,ἀποδιαστέλλω,v,----------,,,,,,0
11766,α12366,ἀποδιαστολή,n,n-s---fn1e,ἀποδιαστολῆς,,,,,0
11767,α12367,ἀποδιαστρέφω,v,----------,,,,,,0
11768,α12368,ἀποδιατίθεμαι,v,----------,,,,,,0
11769,α12369,ἀποδιατρίβω,v,----------,,,,,,0
11770,α12370,ἀποδιδάσκω,v,----------,,,,,,0
11771,α12371,ἀποδιδρασκίνδα,r,----------,,,,,,0
11772,α12372,ἀποδιδράσκω,v,----------,,,,,,0
11774,α12374,ἀποδίδωμι,v,----------,,,,/a.po.dí.dɔː.mi/,,0
11775,α12375,ἀποδιηθέω,v,----------,,,,,,0
11776,α12376,ἀποδιί̈στημι,v,----------,,,,,,0
11777,α12377,ἀποδικάζω,v,----------,,,,,,0
11778,α12378,ἀποδικεῖν,v,----------,,,,,,0
11779,α12379,ἀποδικέω,v,----------,,,,,,0
11781,α12381,ἀποδινέω,v,----------,,,,,,0
11783,α12383,ἀποδιοπομπέομαι,v,----------,,,,,,0
11784,α12384,ἀποδιοπόμπησις,n,n-s---fn3v,ἀποδιοπομπησέως,,,,,0
11785,α12385,ἀποδιοπομπητέον,a,----------,,,,,,0
11786,α12386,ἀποδιορίζω,v,----------,,,,,,0
11788,α12388,ἀποδιοριστέον,v,----------,,,,,,0
11789,α12389,ἀποδιπλόομαι,v,----------,,,,,,0
11790,α12390,ἀποδίς,r,----------,,,,,,0
11791,α12391,ἀποδισκεύω,v,----------,,,,,,0
11792,α12392,ἀποδιφθερόομαι,v,----------,,,,,,0
11793,α12393,ἀποδιψάω,v,----------,,,,,,0
11795,α12394,ἀποδίωγμα,n,n-s---nn3t,ἀποδιώγματος,,,,,0
11796,α12396,ἀποδιωκτέον,v,----------,,,,,,0
11743,α12343,ἀποδημέω,v,----------,,,,,,0
11799,α12399,ἀποδίωξις,n,n-s---fn3v,ἀποδιωξέως,,,,,0
11800,α12400,ἀποδοκεῖ,a,----------,,,,,,0
11801,α12401,ἀποδοκιμάζω,v,----------,,,,,,0
11802,α12402,ἀποδοκιμασία,n,n-s---fn1l,ἀποδοκιμασίας,,,,,0
11803,α12403,ἀποδοκιμαστέον,a,----------,,,,,,0
11806,α12406,ἀποδοκιμάω,v,----------,,,,,,0
11807,α12407,ἀποδόκιμος,a,aps---cn2-,ἀποδόκιμος ἀποδόκιμος ἀποδόκιμον,,,,,0
11808,α12408,ἀπόδομα,n,n-s---nn3t,ἀποδόματος,,,,,0
11809,α12409,ἀποδόντωσις,n,n-s---fn3v,ἀποδοντωσέως,,,,,0
11810,α12410,ἀποδορά,n,----------,,,,,,0
11811,α12411,ἄποδος,n,----------,,,,,,0
11812,α12412,ἀποδόσιμος,a,aps---cn2-,ἀποδόσιμος ἀποδόσιμος ἀποδόσιμον,,,,,0
11813,α12413,ἀπόδοσις,n,n-s---fn3v,ἀποδοσέως,,,/a.pó.do.sis/,,0
11814,α12414,ἀποδόσμιος,a,----------,,,,,,0
11815,α12415,ἀποδοσμός,n,----------,,,,,,0
11816,α12416,ἀποδοτέον,v,----------,,,,,,0
11818,α12418,ἀπόδοτος,a,aps---cn2-,ἀπόδοτος ἀπόδοτος ἀπόδοτον,,,,,0
11819,α12419,ἀπόδουλος,n,n-s---mn2-,ἀποδούλου,,,,,0
11820,α12420,ἀποδοχεῖον,n,n-s---nn2-,ἀποδοχείου,,,,,0
11821,α12421,ἀποδοχεύς,n,n-s---mn3v,ἀποδοχέως,,,,,0
11822,α12422,ἀποδοχή,n,n-s---fn1e,ἀποδοχῆς,,,/a.po.do.kʰɛ̌ː/,,0
11823,α12423,ἀποδοχμόω,v,----------,,,,,,0
11824,α12425,ἀπόδραγμα,n,n-s---nn3t,ἀποδράγματος,,,,,0
11825,α12426,ἀποδραθεῖν,n,----------,,,,,,0
11826,α12427,ἀποδραπετεύω,v,----------,,,,,,0
11827,α12428,ἀποδράς,n,----------,,,,,,0
11829,α12430,ἀποδρασκάζω,v,----------,,,,,,0
11830,α12431,ἀποδρεπανίζω,v,----------,,,,,,0
11832,α12433,ἀποδρέπω,v,----------,,,,,,0
