,μ04779,μυσαχνός,a,aps---mn1-,μυσαχνός μυσαχνή μυσαχνόν,,,,,0
66093,μ04780,μύσαχος,n,----------,,,,,,0
66094,μ04781,μυσερός,a,aps---mn1-,μυσερός μυσερά μυσερόν,,,,,0
66095,μ04782,μυσή,n,n-s---fn1e,μυσῆς,,,,,0
66096,μ04783,μυσημίεκτον,n,n-s---nn2-,μυσημιέκτου,,,,,0
66097,μ04784,μυσητός,a,aps---mn1-,μυσητός μυσητή μυσητόν,,,,,0
66098,μ04785,μυσία,n,n-s---fn1l,μυσίας,,,,,0
66099,μ04786,μυσιάω,v,----------,,,,,,0
66100,μ04787,μυσίδδω,v,----------,,,,,,0
66102,,Μύσιος,n,----------,,,,,,0
66104,μ04790,μυσκέλενδρα,n,n-p---nn2-,μυσκελένδρων,,,,,0
66105,μ04791,μυσκλίον,n,n-s---nn2-,μυσκλίου,,,,,0
66106,μ04792,μύσος,n,n-s---nn3-,,,,,,0
66107,μ04793,μυσός,a,aps---mn1-,μυσός μυσή μυσόν,,,,,0
66108,,Μυσός,n,n-s---mn2-,Μυσοῦ,,,/myː.sós/,,0
66109,μ04794,μυσόω,v,----------,,,,,,0
66110,μ04795,μύσπαλα,n,----------,,,,,,0
66111,μ04796,μυσπολέω,v,----------,,,,,,0
66113,μ04798,μυσταγωγέω,v,----------,,,,,,0
66115,μ04800,μυσταγωγός,a,aps---cn2-,μυσταγωγός μυσταγωγός μυσταγωγόν,,,,,0
66116,μ04801,μύσταξ,n,n-s---mn3e,μύστακος,,,,,0
66117,μ04802,μυσταπάγη,n,n-s---fn1e,μυσταπάγης,,,,,0
66118,μ04803,μυστάρχης,n,n-s---mn1e,μυστάρχου,,,,,0
66119,μ04804,μυστέα,n,n-s---fn1l,μυστέας,,,,,0
66121,μ04806,μυστηριάζω,v,----------,,,,,,0
66122,μ04807,μυστηριακός,a,aps---mn1-,μυστηριακός μυστηριακή μυστηριακόν,,,,,0
66123,μ04808,μυστηριάρχης,n,n-s---mn1e,μυστηριάρχου,,,,,0
66124,μ04809,μυστηριασμός,n,----------,,,,,,0
66126,μ04811,μυστήριον,n,n-s---nn2-,μυστηρίου,,,/mys.tɛ̌ː.ri.on/,,0
66127,μ04812,μυστηρίς,n,----------,,,,,,0
66129,μ04815,μυστηριωδία,n,n-s---fn1l,μυστηριωδίας,,,,,0
66130,μ04813,μυστηριῶτις,n,n-s---fn3d,μυστηριώτιδος,,,,,0
66131,μ04816,μύστης,n,n-s---mn1e,μύστου,,,/mýs.tɛːs/,,0
66132,μ04817,μυστικός,a,aps---mn1-,μυστικός μυστική μυστικόν,,,/mys.ti.kós/,,0
66133,μ04818,μυστιλάομαι,v,----------,,,,,,0
66134,μ04819,μυστιλάριον,n,n-s---nn2-,μυστιλαρίου,,,,,0
66135,μ04820,μυστίλη,n,n-s---fn1e,μυστίλης,,,,,0
66137,μ04822,μυστιπολεύω,v,----------,,,,,,0
66138,μ04823,μυστίπολος,a,aps---cn2-,μυστίπολος μυστίπολος μυστίπολον,,,,,0
66139,μ04824,μύστις,v,----------,,,,,,0
66140,μ04825,μυστογράφος,a,----------,,,,,,0
66141,μ04826,μυστοδόκος,a,aps---cn2-,μυστοδόκος μυστοδόκος μυστοδόκον,,,,,0
66142,μ04827,μυστοδότης,n,n-s---mn1e,μυστοδότου,,,,,0
66090,μ04777,μυσάττομαι,v,----------,,,,,,0
66145,μ04830,μυστροθήκη,n,n-s---fn1e,μυστροθήκης,,,,,0
66146,μ04831,μύστρον,n,n-s---nn2-,μύστρου,,,,,0
66147,μ04832,μύστρος,n,n-s---mn2-,μύστρου,,,,,0
66148,μ04833,μυσφόνον,n,n-s---nn2-,μυσφόνου,,,,,0
66149,μ04834,μυσώδης,a,aps---cn3s,μυσώδης μυσώδης μυσώ͂δες,,,,,0
66150,μ04835,μυσωτός,n,----------,,,,,,0
66151,μ04836,μυτακισμός,n,----------,,,,,,0
66152,μ04837,μύτης,n,n-s---an--,μύτου,,,,,0
66153,,Μυτιλήνη,n,,,,,/my.ti.lɛ̌ː.nɛː/,,0
66155,μ04840,μύτις,n,n-s---fn3d,μύτιδος,,,,,0
66157,μ04842,μύττω,v,----------,,,,,,0
66158,μ04843,μυττωτεύω,v,----------,,,,,,0
66159,μ04844,μυττωτός,n,----------,,,,,,0
66161,μ04847,μύχαλος,n,----------,,,,,,0
