5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
94268,σ05012,σύμμετρος,a,aps---cn2-,σύμμετρος σύμμετρος σύμμετρον,,,,,0
94269,σ05013,συμμετρότης,n,n-s---fn3t,συμμετρότητος,,,,,0
94270,σ05014,συμμηνία,n,n-s---fn1l,συμμηνίας,,,,,0
94271,σ05015,συμμηνιακός,a,aps---mn1-,συμμηνιακός συμμηνιακή συμμηνιακόν,,,,,0
94272,σ05016,σύμμηνος,n,n-s---mn2-,συμμήνου,,,,,0
94273,σ05017,συμμηρία,n,n-s---fn1l,συμμηρίας,,,,,0
94274,σ05018,σύμμηρος,a,aps---cn2-,σύμμηρος σύμμηρος σύμμηρον,,,,,0
94275,σ05019,συμμηρύομαι,v,----------,,,,,,0
94277,σ05021,συμμήστωρ,n,n-s---mn3r,συμμήστορος,,,,,0
94278,σ05022,συμμητιάομαι,v,----------,,,,,,0
94279,σ05023,συμμηχανάομαι,v,----------,,,,,,0
94280,σ05024,συμμιαίνω,v,----------,,,,,,0
94281,σ05025,συμμιαιφονέω,v,----------,,,,,,0
94282,σ05026,σύμμιγα,r,----------,,,,,,0
94283,σ05027,συμμίγδην,r,----------,,,,,,0
94286,σ05030,σύμμικτος,n,----------,,,,,,0
94287,σ05031,σύμμιλτος,a,aps---cn2-,σύμμιλτος σύμμιλτος σύμμιλτον,,,,,0
94288,σ05032,συμμιμέομαι,v,----------,,,,,,0
94289,σ05033,συμμιμητής,n,n-s---mn1e,συμμιμητού,,,,,0
94290,σ05034,συμμιμνήσκομαι,v,----------,,,,,,0
94291,σ05035,συμμινύθω,v,----------,,,,,,0
94292,σ05036,σύμμιξ,n,----------,,,,,,0
94294,σ05038,σύμμιξις,n,n-s---fn3v,συμμιξέως,,,,,0
94295,σ05039,συμμίσγω,v,----------,,,,,,0
94296,σ05040,συμμισέω,v,----------,,,,,,0
94297,σ05041,συμμισθόω,v,----------,,,,,,0
94245,σ04989,συμμεταλλάσσω,v,----------,,,,,,0
94301,σ05045,συμμνήμων,n,n-s---mn3n,συμμνήμονος,,,,,0
94302,σ05046,συμμνηστέον,n,----------,,,,,,0
94303,σ05047,συμμογέω,v,----------,,,,,,0
94305,σ05049,σύμμολπος,a,aps---cn2-,σύμμολπος σύμμολπος σύμμολπον,,,,,0
94306,σ05050,συμμολύνω,v,----------,,,,,,0
94307,σ05051,συμμοναρχέω,v,----------,,,,,,0
94308,σ05052,συμμονή,n,n-s---fn1e,συμμονῆς,,,,,0
94309,σ05053,συμμονόομαι,v,----------,,,,,,0
94311,σ05055,συμμοριάρχης,n,n-s---mn1e,συμμοριάρχου,,,,,0
94312,σ05056,συμμοριάω,v,----------,,,,,,0
94313,σ05057,συμμορίτης,n,n-s---mn1e,συμμορίτου,,,,,0
94314,σ05058,σύμμορος,a,aps---cn2-,σύμμορος σύμμορος σύμμορον,,,,,0
94315,σ05059,συμμορφή,n,n-s---fn1e,συμμορφῆς,,,,,0
94317,σ05061,συμμορφόομαι,v,----------,,,,,,0
94319,σ05063,συμμοχθέω,v,----------,,,,,,0
94320,σ05064,συμμοχθηρεύομαι,v,----------,,,,,,0
94321,σ05065,συμμυέω,v,----------,,,,,,0
94323,σ05067,σύμμυσις,n,n-s---fn3v,συμμυσέως,,,,,0
94324,σ05068,συμμύστης,n,n-s---cn1e,συμμύστου,,,,,0
94325,σ05069,συμμύω,v,----------,,,,,,0
94326,σ05070,συμμωραίνω,v,----------,,,,,,0
94327,σ05071,συμός,n,----------,,,,,,0
94328,σ05072,συμπαγής,a,aps---cn5s,συμπαγής συμπαγής συμπαγές,,,,,0
94329,σ05073,συμπαγία,n,n-s---fn1l,συμπαγίας,,,,,0
94330,σ05074,συμπάθεια,n,n-s---fn1s,συμπάθειας,,,/sym.pá.tʰeː.a/,,0
94331,σ05075,συμπαθέω,v,----------,,,,,,0
