0515,δειπνοθήρας,n,n-s---mn1a,δειπνοθήρου,,,,,0
22291,δ00516,δειπνοκλήτωρ,n,----------,,,,,,0
22293,δ00518,δειπνολογία,n,n-s---fn1l,δειπνολογίας,,,,,0
22294,δ00519,δειπνολόχος,a,aps---mn1-,δειπνολόχος δειπνολόχη δειπνολόχον,,,,,0
22295,δ00520,δειπνομανής,a,aps---cn5s,δειπνομανής δειπνομανής δειπνομανές,,,,,0
22296,δ00853,δεῖπνον,n,n-s---nn2-,δείπνου,,,/dêː.pnon/,,0
57510,κ08255,κτυπία,n,n-s---fn1l,κτυπίας,,,,,0
22298,δ00522,δειπνοποιέω,v,----------,,,,,,0
22299,δ00523,δειπνοποιί̈α,n,n-s---fn1l,δειπνοποιί̈ας,,,,,0
22300,δ00524,δειπνοποιός,n,----------,,,,,,0
22301,δ00854,δεῖπνος,n,n-s---mn2-,δείπνου,,,,,0
22303,δ00526,δειπνοσύνη,n,n-s---fn1e,δειπνοσύνης,,,,,0
22304,δ00527,δειπνοφορία,n,n-s---fn1l,δειπνοφορίας,,,,,0
22305,δ00528,δειπνοφόρος,a,aps---cn2-,δειπνοφόρος δειπνοφόρος δειπνοφόρον,,,,,0
22306,δ00531,δειράδιον,n,n-s---nn2-,δειραδίου,,,,,0
22307,δ00532,δειραῖος,a,aps---mn1-,δειραῖος δειραῖα δειραῖον,,,,,0
22308,δ00533,δειράς,n,n-s---fn3d,δειράδος,,,/deː.rás/,,0
22310,δ00530,δειραγχής,n,----------,,,,,,0
22311,δ00535,δειρή,n,n-s---fn1e,δειρῆς,,,,,0
22312,δ00536,δειρητής,n,----------,,,,,,0
22314,δ00538,δειρόπαις,n,----------,,,,,,0
22315,δ00895,δεῖρος,n,n-s---nn3v,δεῖρεος,,,,,0
22316,δ00539,δειροτομέω,v,----------,,,,,,0
22317,δ00540,δείρω,v,----------,,,,,,0
22318,δ00541,δείς,n,----------,,,,,,0
22319,δ00904,δεῖσα,n,n-s---fn1s,δεῖσης,,,,,0
22320,δ00542,δεισαλία,n,n-s---fn1l,δεισαλίας,,,,,0
22321,δ00543,δεισήνωρ,n,n-s---cn3r,δεισήνορος,,,,,0
22322,δ00544,δεισία,n,n-s---fn1l,δεισίας,,,,,0
22324,δ00551,δεισιδαιμονία,n,n-s---fn1l,δεισιδαιμονίας,,,,,0
22325,δ00556,δεισιδαίμων,a,aps---cn3n,δεισιδαίμων δεισιδαίμων δεισιδαίμον,,,,,0
22326,δ00557,δεισίθεος,a,aps---cn2-,δεισίθεος δεισίθεος δεισίθεον,,,,,0
22327,δ00558,δείσοζος,a,aps---cn2-,δείσοζος δείσοζος δείσοζον,,,,,0
22328,δ00559,δέκα,n,----------,,,,,,0
22329,δ00545,δεισιδαιμδύο,n,----------,,,,,,0
22333,δ00552,δεισιδαιμπέντε,n,----------,,,,,,0
22334,δ00547,δεισιδαιμέξ,n,----------,,,,,,0
22335,δ00548,δεισιδαιμεπτά,n,----------,,,,,,0
22337,δ00546,δεισιδαιμεννέα,a,----------,,,,,,0
22339,δ00561,δεκαβάμων,n,----------,,,,,,0
22340,δ00562,δεκάβοιος,a,aps---cn2-,δεκάβοιος δεκάβοιος δεκάβοιον,,,,,0
22341,δ00563,δεκαγονία,n,n-s---fn1l,δεκαγονίας,,,,,0
22342,δ00564,δεκαγράμματος,n,----------,,,,,,0
22343,δ00565,δεκαγώνιον,n,n-s---nn2-,δεκαγωνίου,,,,,0
22345,δ00567,δεκαδάκτυλος,a,aps---cn2-,δεκαδάκτυλος δεκαδάκτυλος δεκαδάκτυλον,,,,,0
22346,δ00568,δεκαδαρχέω,v,----------,,,,,,0
22347,δ00569,δεκαδάρχης,n,n-s---mn1e,δεκαδάρχου,,,,,0
22349,δ00571,δεκάδαρχος,n,n-s---mn2-,δεκαδάρχου,,,,,0
22350,δ00572,δεκαδεύς,n,n-s---mn3v,δεκαδέως,,,,,0
22351,δ00573,δεκαδικός,a,aps---mn1-,δεκαδικός δεκαδική δεκαδικόν,,,,,0
22352,δ00574,δεκαδιστής,n,n-s---mn1e,δεκαδιστού,,,,,0
57511,κ08256,κτύπος,n,n-s---mn--,κτύπου,,,,,0
22354,δ00576,δεκάδραχμος,a,aps---cn2-,δεκάδραχμος δεκάδραχμος δεκάδραχμον,,,,,0
22355,δ00577,δεκάδρομοι,n,n-p---mn2-,δεκαδρόμων,,,,,0
22356,δ00578,δεκάδωρος,a,aps---cn2-,δεκάδωρος δεκάδωρος δεκάδωρον,,,,,0
22358,δ00581,δεκαετής,a,aps---cn3s,δεκαετής δεκαετής δεκαετές,,,,,0
22359,δ00582,δεκαετία,n,n-s---fn1l,δεκαετίας,,,,,0
