39
136745,\,9258,21439
136746,\,9637,21439
136747,\,11667,21439
136748,\,11751,21439
136749,\,21343,21439
136750,\,21441,21439
136751,\,23137,21439
136752,\,5334,21862
136753,\,5945,21862
136754,\,9242,21862
136755,\,11677,21862
136756,\,21858,21862
136757,\,21863,21862
136758,\,33186,21862
136759,\,85004,19043
136760,\,51238,21862
136761,\,95455,21862
136762,\,103001,21862
136763,\,103844,21862
136764,\,22496,22535
136765,\,22637,22644
136766,\,1055,22675
136767,\,22646,22675
136768,\,11738,22794
136769,\,22466,22794
136770,\,22469,22794
136771,\,112027,22794
136772,\,1041,22798
136773,\,1120,22798
136774,\,497,22798
136775,\,2627,22798
136776,\,3326,22798
136777,\,4400,22798
136778,\,4544,22798
136779,\,5352,22798
136780,\,5976,22798
136781,\,9252,22798
136782,\,11740,22798
136783,\,11739,22798
136784,\,15417,22798
136785,\,16708,22798
136786,\,23177,22798
136787,\,30063,22798
136788,\,31801,22798
136789,\,32154,22798
136790,\,33258,22798
136791,\,33257,22798
136792,\,1041,22797
136793,\,1120,22797
136794,\,497,22797
136795,\,2627,22797
136796,\,3326,22797
136797,\,4400,22797
136798,\,4544,22797
136799,\,5352,22797
136800,\,5976,22797
136801,\,9252,22797
136802,\,11740,22797
136803,\,11739,22797
136804,\,16708,22797
136805,\,21242,22797
136806,\,23177,22797
136807,\,30063,22797
136808,\,31801,22797
136809,\,32154,22797
136810,\,33258,22797
136811,\,33257,22797
136812,\,5985,24878
136813,\,9279,24878
136814,\,11774,24878
136815,\,23185,24878
136816,\,30085,24878
136817,\,33306,24878
136818,\,37139,24878
136819,\,51296,24878
136820,\,74281,24878
136821,\,77575,24878
136822,\,85101,24878
136823,\,95597,24878
136824,\,103021,24878
136825,\,103934,24878
136826,\,26909,26906
136827,\,26928,26906
136828,\,6019,27988
136829,\,48267,21924
136830,\,21930,22032
136831,\,21931,22032
136832,\,21934,22032
136833,\,5953,22198
136834,\,6756,22198
136835,\,9078,22198
136836,\,8883,22198
136837,\,11698,22198
136838,\,14232,22198
136839,\,21901,22198
136840,\,22177,22198
136841,\,22195,22198
136842,\,22197,22198
136843,\,22199,22198
136844,\,22203,22198
136845,\,22204,22198
136846,\,23162,22198
136847,\,30043,22198
136848,\,32997,22198
136849,\,33201,22198
136850,\,111926,111924
136851,\,1137,111925
136852,\,11741,111925
136853,\,23180,111925
136854,\,30067,111925
136855,\,37084,111925
136856,\,74271,111925
136857,\,83159,111925
136858,\,94360,111925
136859,\,37006,21862
136860,\,11753,23337
136861,\,23334,23337
136862,\,30076,23337
136863,\,51290,23337
136864,\,63379,23337
136865,\,83184,23337
136866,\,95519,23337
136867,\,23598,111938
136868,\,23600,111938
136869,\,23598,23588
136870,\,23597,23588
136871,\,23600,23588
136872,\,1187,23659
136873,\,23652,23659
136874,\,23651,23659
136875,\,23653,23659
136876,\,23655,23659
136877,\,23656,23659
136878,\,23657,23659
136879,\,111940,23659
136880,\,23658,23659
136881,\,27150,23659
136882,\,41396,23659
136883,\,11760,23659
136884,\,33282,23659
136885,\,37116,23659
136886,\,85071,23659
136887,\,95542,23659
136888,\,1186,23636
136889,\,9267,23636
136890,\,83204,23636
136891,\,83203,23636
136892,\,23877,23884
136893,\,23878,23884
136894,\,23880,23884
136895,\,23881,23884
136896,\,83211,23884
136897,\,23877,24007
136898,\,23878,24007
136899,\,23880,24007
136900,\,23881,24007
136901,\,83211,24007
136902,\,1200,24029
136903,\,1201,24029
136904,\,24023,24029
136905,\,24024,24029
136906,\,24025,24029
136907,\,24026,24029
136908,\,24027,24029
136909,\,24028,24029
136910,\,24030,24029
136911,\,24031,24029
136912,\,27153,24029
136913,\,41402,24029
136914,\,41403,24029
136915,\,95556,24029
136916,\,1211,24185
136917,\,1213,24185
136918,\,24202,24185
136919,\,24204,24185
136920,\,24207,24185
136921,\,24210,24185
136922,\,24218,24185
136923,\,37124,24185
136924,\,60619,24185
136925,\,95565,24185
136926,\,88457,24185
136927,\,24294,24292
136928,\,25334,25273
