40,προγεωργός,n,----------,,,,,,0
83114,π10147,προγλωσσεύομαι,v,----------,,,,,,0
83125,π10158,προγονικός,a,aps---mn1-,προγονικός προγονική προγονικόν,,,,,0
83137,π10170,προγυμναστής,n,n-s---mn1e,προγυμναστού,,,,,0
83148,π10181,προδείκτης,n,n-s---mn1e,προδείκτου,,,,,0
83156,π10189,προδεσμέω,v,----------,,,,,,0
83161,π10194,προδηλωτικός,a,aps---mn1-,προδηλωτικός προδηλωτική προδηλωτικόν,,,,,0
83170,π10203,προδιαγιγνώσκω,v,----------,,,,,,0
83180,π10213,προδιαθερμαίνω,v,----------,,,,,,0
83188,π10221,προδιακατέχω,v,----------,,,,,,0
83195,π10228,προδιακονέομαι,v,----------,,,,,,0
83201,π10234,προδιάληψις,n,n-s---fn3v,προδιαληψέως,,,,,0
83209,π10242,προδιανοέομαι,v,----------,,,,,,0
83216,π10249,προδιαπονέομαι,v,----------,,,,,,0
83223,π10256,προδιασαφέω,v,----------,,,,,,0
83239,π10272,προδιατέμνω,v,----------,,,,,,0
83246,π10279,προδιαχωρέω,v,----------,,,,,,0
83252,π10285,προδιεργάζομαι,v,----------,,,,,,0
83260,π10293,προδιιδρόομαι,v,----------,,,,,,0
83268,π10302,προδιοδεύω,v,----------,,,,,,0
83274,π10308,προδιομολογητέον,a,----------,,,,,,0
83292,π10325,πρόδομος,a,aps---cn2-,πρόδομος πρόδομος πρόδομον,,,,,0
83298,π10333,προδοσίκομπος,a,aps---cn2-,προδοσίκομπος προδοσίκομπος προδοσίκομπον,,,,,0
83313,π10348,προδύομαι,v,----------,,,,,,0
83320,π10356,προδωσέταιρος,a,aps---cn2-,προδωσέταιρος προδωσέταιρος προδωσέταιρον,,,,,0
83329,π10365,προεγκάθημαι,v,----------,,,,,,0
83347,π10384,προεδρία,n,n-s---fn1l,προεδρίας,,,,,0
83358,π10650,προεῖπον,v,----------,,,,,,0
83364,π10399,προεισελαύνω,v,----------,,,,,,0
83371,π10406,προεισπορεύομαι,v,----------,,,,,,0
83377,π10412,προέκβασις,n,n-s---fn3v,προεκβασέως,,,,,0
83384,π10419,προεκδρομή,n,n-s---fn1e,προεκδρομῆς,,,,,0
83392,π10427,προεκκαθαίρω,v,----------,,,,,,0
83403,π10438,προεκκρούω,v,----------,,,,,,0
83411,π10446,προεκμυζάω,v,----------,,,,,,0
83417,π10452,προεκπίπτω,v,----------,,,,,,0
83424,π10459,προεκρήγνυμαι,v,----------,,,,,,0
83431,π10466,προεκτίλλω,v,----------,,,,,,0
83439,π10474,προεκφοβέω,v,----------,,,,,,0
83446,π10481,προέλασις,n,n-s---fn3v,προελασέως,,,,,0
83452,π10487,προελκόομαι,v,----------,,,,,,0
83461,π10496,προεμβόλιον,n,n-s---nn2-,προεμβολίου,,,,,0
83470,π10505,προεμπίπτω,v,----------,,,,,,0
83476,π10511,προεμφανίζομαι,v,----------,,,,,,0
83483,π10518,προενδίδωμι,v,----------,,,,,,0
83490,π10525,προενέρχομαι,v,----------,,,,,,0
83498,π10533,προενίσταμαι,v,----------,,,,,,0
83503,π10538,προενοίκησις,n,n-s---fn3v,προενοικησέως,,,,,0
83519,π10554,προεξαιτέω,v,----------,,,,,,0
83524,π10559,προεξαμαρτάνω,v,----------,,,,,,0
83532,π10567,προεξαποστέλλω,v,----------,,,,,,0
83541,π10576,προέξειμι,n,----------,,,,,,0
83546,π10581,προεξεργάζομαι,v,----------,,,,,,0
83555,π10590,προεξηγέομαι,v,----------,,,,,,0
83562,π10597,προέξοδος,n,----------,,,,,,0
83571,π10606,προεπανασείω,v,----------,,,,,,0
83579,π10614,προεπιγιγνώσκω,v,----------,,,,,,0
83585,π10620,προεπιζευγνύω,v,----------,,,,,,0
83594,π10629,προεπιμελέομαι,v,----------,,,,,,0
83600,π10635,προεπισημαίνω,v,----------,,,,,,0
83606,π10641,προεπιστέλλω,v,----------,,,,,,0
83613,π10648,προεπιχέω,v,----------,,,,,,0
83619,π10655,προερεθίζω,v,----------,,,,,,0
83630,π10666,πρόεσις,n,n-s---fn3v,προεσέως,,,,,0
83636,π10672,προετικός,a,aps---mn1-,προετικός προετική προετικόν,,,,,0
83645,π10681,προευκτικός,a,aps---mn1-,προευκτικός προευκτική προευκτικόν,,,,,0
83653,π10689,προευτρεπισμός,n,----------,,,,,,0
83661,π10697,προεφορμάω,v,----------,,,,,,0
83670,π10706,προεωλίζω,v,----------,,,,,,0
83677,π10713,προηγεμών,n,n-s---mn3n,προηγεμόνος,,,,,0
83689,π10725,προηγορία,n,n-s---fn1l,προηγορίας,,,,,0
83700,π10734,προημεριϝός,n,----------,,,,,,0
83706,π10740,προθαλής,a,aps---cn5s,προθαλής προθαλής προθαλές,,,,,0
83714,π10748,προθεμελίωσις,n,n-s---fn3v,προθεμελιωσέως,,,,,0
83725,π10759,προθεσπίζω,v,----------,,,,,,0
83731,π10765,προθεώρημα,n,n-s---nn3t,προθεωρήματος,,,,,0
83738,π10772,προθικάριος,n,n-s---mn2-,προθικαρίου,,,,,0
83747,π10781,προθυμία,n,n-s---fn1l,προθυμίας,,,,,0
83755,π10789,προθύρωμα,n,n-s---nn3t,προθυρώματος,,,,,0
83765,π10799,προϊεράομαι,v,----------,,,,,,0
83772,π10806,προικίδιος,a,aps---mn1-,προικίδιος προικίδια προικίδιον,,,,,0
83782,π10812,προικῷος,a,aps---mn1-,προικῷος προικῷα προικῷον,,,,,0
83804,π10839,προκαδδικάζομαι,v,----------,,,,,,0
83809,π10844,προκαθάρσιον,n,n-s---nn2-,προκαθαρσίου,,,,,0
83817,π10852,προκαθηγητήρ,n,n-s---mn3r,προκαθηγητῆρος,,,,,0
83827,π10862,προκαθοράω,v,----------,,,,,,0
83833,π10868,πρόκακος,a,aps---cn2-,πρόκακος πρόκακος πρόκακον,,,,,0
83843,π10878,προκάρηνος,a,aps---cn2-,προκάρηνος προκάρηνος προκάρηνον,,,,,0
83854,π10889,προκατάγγελσις,n,n-s---fn3v,προκαταγγελσέως,,,,,0
83862,π10897,προκαταδικάζομαι,v,----------,,,,,,0
83870,π10905,προκατάκειμαι,v,----------,,,,,,0
83878,π10913,προκαταλαγχάνω,v,----------,,,,,,0
83884,π10919,προκαταληκτικός,a,aps---mn1-,προκαταληκτικός προκαταληκτική προκαταληκτικόν,,,,,0
83893,π10928,προκαταμαντεύομαι,v,----------,,,,,,0
