11,νοσηρός,a,aps---mn1-,νοσηρός νοσηρά νοσηρόν,νοσηρός,0
67633,ν01312,νοσητήριος,a,aps---mn1-,νοσητήριος νοσητήρια νοσητήριον,νοσητήριος,0
67634,ν01313,νοσηφόρος,a,aps---cn2-,νοσηφόρος νοσηφόρος νοσηφόρον,νοσηφόρος,0
67635,ν01314,νοσίζω,v,----------,,νοσίζω,0
67636,,Νόσιος,n,n-s---mn2-,Νοσίου,Νόσιος,0
67637,ν01315,νοσοβαρής,n,----------,,νοσοβαρής,0
67639,ν01317,νοσοεργός,a,aps---cn2-,νοσοεργός νοσοεργός νοσοεργόν,νοσοεργός,0
67641,ν01319,νοσοκομεῖον,n,n-s---nn2-,νοσοκομείου,νοσοκομεῖον,0
67642,ν01320,νοσοκομέω,v,----------,,νοσοκομέω,0
67643,ν01321,νοσοκομία,n,n-s---fn1l,νοσοκομίας,νοσοκομία,0
67644,ν01322,νοσοκόμος,n,n-s---mn2-,νοσοκόμου,νοσοκόμος,0
67645,ν01323,νοσολογέω,v,----------,,νοσολογέω,0
67647,ν01325,νοσομελής,n,----------,,νοσομελής,0
67648,ν01326,νοσοποιέω,v,----------,,νοσοποιέω,0
67649,ν01327,νοσοποιός,a,aps---cn2-,νοσοποιός νοσοποιός νοσοποιόν,νοσοποιός,0
67650,ν01329,νόσος,n,n-s---fn2-,νόσου,νόσος,0
67652,ν01331,νοσοτυφέω,v,----------,,νοσοτυφέω,0
67653,ν01332,νοσσάκιον,n,n-s---nn2-,νοσσακίου,νοσσάκιον,0
67654,ν01333,νόσσαξ,n,n-s---mn3v,νόσσακος,νόσσαξ,0
67655,ν01335,νοσσὰς,n,----------,,νοσσὰς,0
67656,ν01334,νοσσεύω,v,----------,,νοσσεύω,0
67657,ν01336,νοστέω,v,----------,,νοστέω,0
67658,ν01337,νοστίζω,v,----------,,νοστίζω,0
67660,ν01340,νόστος,n,n-s---mn2-,νόστου,νόστος,0
67661,ν01342,νόσφι,n,----------,,νόσφι,0
67662,ν01341,νόστφιν,a,----------,,νόστφιν,0
67664,ν01344,νοσφιδόν,r,----------,,νοσφιδόν,0
67665,ν01345,νοσφίζω,v,----------,,νοσφίζω,0
67666,ν01347,νοσφισμός,n,----------,,νοσφισμός,0
67667,ν01348,νοσφιστής,n,n-s---mn1e,νοσφιστού,νοσφιστής,0
67668,ν01349,νοσώδης,a,aps---cn3s,νοσώδης νοσώδης νοσώ͂δες,νοσώδης,0
67669,ν01350,νόσωσις,n,n-s---fn3v,νοσωσέως,νόσωσις,0
67672,ν01353,νοτερός,a,aps---mn1-,νοτερός νοτερά νοτερόν,νοτερός,0
67673,ν01354,νοτέω,v,----------,,νοτέω,0
67674,ν01355,νοτία,n,n-s---fn1l,νοτίας,νοτία,0
67675,ν01356,νοτιαῖος,a,aps---mn1-,νοτιαῖος νοτιαῖα νοτιαῖον,νοτιαῖος,0
67676,ν01357,νοτιάω,v,----------,,νοτιάω,0
67677,ν01358,νοτίζω,v,----------,,νοτίζω,0
67678,ν01359,νότινος,a,aps---mn1-,νότινος νοτίνη νότινον,νότινος,0
67679,ν01360,νότιος,a,aps---mn1-,νότιος νότια νότιον,νότιος,0
67680,ν01361,νοτίς,n,n-s---fn3d,νοτίδος,νοτίς,0
67681,ν01362,νοτισμός,n,----------,,νοτισμός,0
67629,ν01308,νοσημάτιον,n,n-s---nn2-,νοσηματίου,νοσημάτιον,0
67685,ν01366,νοτόνδε,r,----------,,νοτόνδε,0
67686,ν01367,νότος,n,n-s---mn2-,νότου,νότος,0
67687,ν01368,νότυλος,v,----------,,νότυλος,0
67688,ν01369,νοτώδης,a,aps---cn3s,νοτώδης νοτώδης νοτώ͂δες,νοτώδης,0
67689,ν01370,νουβυστικός,a,aps---mn1-,νουβυστικός νουβυστική νουβυστικόν,νουβυστικός,0
67690,ν01371,νουθεσία,n,n-s---fn1l,νουθεσίας,νουθεσία,0
67691,ν01372,νουθετεία,n,n-s---fn1l,νουθετείας,νουθετεία,0
67692,ν01373,νουθετέω,v,v1spia--2e,,νουθετέω,0
67693,ν01374,νουθέτημα,n,n-s---nn3t,νουθετήματος,νουθέτημα,0
67694,ν01375,νουθέτησις,n,n-s---fn3v,νουθετησέως,νουθέτησις,0
67695,ν01376,νουθετησμός,n,----------,,νουθετησμός,0
67697,ν01378,νουθετητής,n,n-s---mn1e,νουθετητού,νουθετητής,0
67699,ν01380,νουθετία,n,----------,,νουθετία,0
67701,ν01382,νουθετισμός,n,----------,,νουθετισμός,0
67702,ν01197,νοῦθος,n,n-s---mn2-,νούθου,νοῦθος,0
67703,ν01383,νουμηνία,n,n-s---fn1l,νουμηνίας,νουμηνία,0
67706,ν01242,νοῦμμος,n,n-s---mn2-,νούμμου,νοῦμμος,0
67707,ν01386,νουνέχεια,n,n-s---fn1s,νουνέχειας,νουνέχεια,0
67708,ν01387,νουνεχής,a,aps---cn5s,νουνεχής νουνεχής νουνεχές,νουνεχής,0
67709,ν01388,νουνεχόντως,r,----------,,νουνεχόντως,0
67710,ν01293,νοῦς,n,n-s---mn2c,,νοῦς,0
67711,ν01389,νουσαχθής,a,aps---cn5s,νουσαχθής νουσαχθής νουσαχθές,νουσαχθής,0
67712,ν01390,νούσημα,n,----------,,νούσημα,0
67714,ν01392,νουσολύτης,n,n-s---mn1e,νουσολύτου,νουσολύτης,0
67715,ν01393,νουσομελής,a,aps---cn5s,νουσομελής νουσομελής νουσομελές,νουσομελής,0
67716,ν01328,νοῦσος,n,----------,,νοῦσος,0
67717,ν01394,νουσοφόρος,a,aps---cn2-,νουσοφόρος νουσοφόρος νουσοφόρον,νουσοφόρος,0
67718,ν01395,νοχελές,n,----------,,νοχελές,0
67719,ν01410,νυ,n,----------,,νυ,0
67720,ν01411,νύγδην,r,----------,,νύγδην,0
67721,ν01412,νύγμα,n,n-s---nn3t,νύγματος,νύγμα,0
67724,ν01415,νυγμή,n,n-s---fn1e,νυγμῆς,νυγμή,0
67725,ν01416,νυγμός,n,----------,,νυγμός,0
67726,ν01417,νύγω,v,----------,,νύγω,0
67727,ν01418,νυθός,a,aps---mn1-,νυθός νυθή νυθόν,νυθός,0
67728,ν01419,νυκταίετος,n,n-s---mn2-,νυκταιέτου,νυκταίετος,0
67729,ν01420,νυκταιροδύτειρα,n,n-s---fn1s,νυκταιροδύτειρας,νυκταιροδύτειρα,0
67730,ν01421,νυκταλός,a,aps---mn1-,νυκταλός νυκταλή νυκταλόν,νυκταλός,0
67731,ν01422,νυκταλωπάω,v,----------,,νυκταλωπάω,0
67732,ν01423,νυκταλωπίασις,n,n-s---fn3v,νυκταλωπιασέως,νυκταλωπίασις,0
67733,ν01424,νυκταλωπιάω,v,----------,,νυκταλωπιάω,0
67683,ν01364,νοτόθεν,r,----------,,νοτόθεν,0
67737,ν01428,νυκτεγερσία,n,n-s---fn1l,νυκτεγερσίας,νυκτεγερσία,0
67738,ν01429,νυκτεγερτέω,v,----------,,νυκτεγερτέω,0
67739,ν01430,νυκτέλιος,a,aps---cn2-,νυκτέλιος νυκτέλιος νυκτέλιον,νυκτέλιος,0
67740,ν01431,νυκτέπαρχος,n,n-s---mn2-,νυκτεπάρχου,νυκτέπαρχος,0
67741,ν01433,νυκτερεία,n,n-s---fn1l,νυκτερείας,νυκτερεία,0
67742,ν01432,νυκτέρεια,n,n-p---nn2-,νυκτερείων,νυκτέρεια,0
67744,ν01435,νυκτερέτης,n,n-s---mn1e,νυκτερέτου,νυκτερέτης,0
67745,ν01436,νυκτέρευμα,n,n-s---nn3t,νυκτερεύματος,νυκτέρευμα,0
67746,ν01437,νυκτερευτής,n,n-s---mn1e,νυκτερευτού,νυκτερευτής,0
67748,ν01439,νυκτερεύω,v,----------,,νυκτερεύω,0
67750,ν01441,νυκτερινεία,n,n-s---fn1l,νυκτερινείας,νυκτερινεία,0
67751,ν01442,νυκτερινός,a,aps---mn1-,νυκτερινός νυκτερινή νυκτερινόν,νυκτερινός,0
67753,ν01444,νυκτερίρεμβος,n,----------,,νυκτερίρεμβος,0
67754,ν01445,νυκτερίς,n,n-s---fn3d,νυκτερίδος,νυκτερίς,0
67755,ν01451,νυκτερῖτις,n,n-s---fn3d,νυκτερίτιδος,νυκτερῖτις,0
67756,ν01446,νυκτερόβιος,a,aps---cn2-,νυκτερόβιος νυκτερόβιος νυκτερόβιον,νυκτερόβιος,0
67757,ν01447,νυκτεροειδής,n,----------,,νυκτεροειδής,0
67758,ν01448,νύκτερος,a,aps---cn2-,νύκτερος νύκτερος νύκτερον,νύκτερος,0
67759,ν01449,νυκτεροφεγγής,a,aps---cn5s,νυκτεροφεγγής νυκτεροφεγγής νυκτεροφεγγές,νυκτεροφεγγής,0
67760,ν01450,νυκτερόφοιτος,a,aps---cn2-,νυκτερόφοιτος νυκτερόφοιτος νυκτερόφοιτον,νυκτερόφοιτος,0
67761,ν01452,νυκτερωπός,a,aps---cn2-,νυκτερωπός νυκτερωπός νυκτερωπόν,νυκτερωπός,0
67762,ν01453,νυκτηγορέω,v,----------,,νυκτηγορέω,0
67763,ν01454,νυκτηγορία,n,n-s---fn1l,νυκτηγορίας,νυκτηγορία,0
67764,ν01455,νυκτηγρεσία,n,n-s---fn1l,νυκτηγρεσίας,νυκτηγρεσία,0
67765,ν01456,νυκτηγρετέω,v,----------,,νυκτηγρετέω,0
67767,ν01501,νυκτῆμαρ,r,----------,,νυκτῆμαρ,0
67769,ν01459,νυκτηρεφής,a,aps---cn5s,νυκτηρεφής νυκτηρεφής νυκτηρεφές,νυκτηρεφής,0
67770,ν01461,νυκτιβάτης,n,----------,,νυκτιβάτης,0
67771,ν01460,νυκτιβαῦ,n,----------,,νυκτιβαῦ,0
67773,ν01463,νυκτιβόας,n,n-s---mn1a,νυκτιβόου,νυκτιβόας,0
67774,ν01464,νυκτιβόη,n,----------,,νυκτιβόη,0
67776,ν01466,νυκτίγαμος,a,aps---cn2-,νυκτίγαμος νυκτίγαμος νυκτίγαμον,νυκτίγαμος,0
67777,ν01467,νυκτιγενέτωρ,n,n-s---mn3r,νυκτιγενέτορος,νυκτιγενέτωρ,0
67779,ν01469,νυκτιδρόμος,a,aps---cn2-,νυκτιδρόμος νυκτιδρόμος νυκτιδρόμον,νυκτιδρόμος,0
67780,ν01470,νυκτικλέπτης,n,n-s---mn1e,νυκτικλέπτου,νυκτικλέπτης,0
67735,ν01426,νυκτάλωψ,n,n-s---mn3l,νυκτάλωπος,νυκτάλωψ,0
67784,ν01474,νυκτιλάλος,a,aps---cn2-,νυκτιλάλος νυκτιλάλος νυκτιλάλον,νυκτιλάλος,0
67786,ν01476,νυκτιλόχος,a,aps---cn2-,νυκτιλόχος νυκτιλόχος νυκτιλόχον,νυκτιλόχος,0
67787,ν01477,νυκτιμανής,a,aps---cn5s,νυκτιμανής νυκτιμανής νυκτιμανές,νυκτιμανής,0
67788,ν01478,νυκτιμέδουσα,n,n-s---fn1s,νυκτιμέδουσας,νυκτιμέδουσα,0
67789,ν01479,νυκτινόμος,a,aps---cn2-,νυκτινόμος νυκτινόμος νυκτινόμον,νυκτινόμος,0
67790,ν01480,νύκτιος,a,aps---mn1-,νύκτιος νύκτια νύκτιον,νύκτιος,0
67792,ν01482,νυκτιπήδηκες,n,----------,,νυκτιπήδηκες,0
67794,ν01484,νυκτιπλανής,a,aps---cn5s,νυκτιπλανής νυκτιπλανής νυκτιπλανές,νυκτιπλανής,0
67795,ν01485,νυκτίπλανος,a,aps---cn2-,νυκτίπλανος νυκτίπλανος νυκτίπλανον,νυκτίπλανος,0
67796,ν01486,νυκτιπλοέω,v,----------,,νυκτιπλοέω,0
67797,ν01487,νυκτίπλοια,n,n-s---fn1s,νυκτίπλοιας,νυκτίπλοια,0
67798,ν01488,νυκτιπόλευτος,a,aps---cn2-,νυκτιπόλευτος νυκτιπόλευτος νυκτιπόλευτον,νυκτιπόλευτος,0
67799,ν01489,νυκτιπόλος,a,aps---cn2-,νυκτιπόλος νυκτιπόλος νυκτιπόλον,νυκτιπόλος,0
67800,ν01490,νυκτιπόρος,a,aps---cn2-,νυκτιπόρος νυκτιπόρος νυκτιπόρον,νυκτιπόρος,0
67802,ν01492,νυκτίσεμνος,a,aps---cn2-,νυκτίσεμνος νυκτίσεμνος νυκτίσεμνον,νυκτίσεμνος,0
67803,ν01493,νυκτιφαής,a,aps---cn5s,νυκτιφαής νυκτιφαής νυκτιφαές,νυκτιφαής,0
67804,ν01494,νυκτιφανής,a,aps---cn5s,νυκτιφανής νυκτιφανής νυκτιφανές,νυκτιφανής,0
67805,ν01495,νυκτίφαντος,a,aps---cn2-,νυκτίφαντος νυκτίφαντος νυκτίφαντον,νυκτίφαντος,0
67807,ν01497,νυκτιφόρος,a,aps---cn2-,νυκτιφόρος νυκτιφόρος νυκτιφόρον,νυκτιφόρος,0
67809,ν01499,νυκτιχαρής,a,aps---cn5s,νυκτιχαρής νυκτιχαρής νυκτιχαρές,νυκτιχαρής,0
67810,ν01500,νυκτιχόρευτος,a,aps---cn2-,νυκτιχόρευτος νυκτιχόρευτος νυκτιχόρευτον,νυκτιχόρευτος,0
67811,ν01502,νυκτόβας,n,----------,,νυκτόβας,0
67812,ν01503,νυκτοβατίς,n,----------,,νυκτοβατίς,0
67813,ν01504,νυκτόβιος,a,aps---cn2-,νυκτόβιος νυκτόβιος νυκτόβιον,νυκτόβιος,0
67814,ν01505,νυκτοβόα,n,----------,,νυκτοβόα,0
67815,ν01506,νυκτογραφία,n,n-s---fn1l,νυκτογραφίας,νυκτογραφία,0
67816,ν01507,νυκτοδρόμα,n,----------,,νυκτοδρόμα,0
67817,ν01508,νυκτοδρομία,n,n-s---fn1l,νυκτοδρομίας,νυκτοδρομία,0
67818,ν01509,νυκτοδρόμος,a,aps---cn2-,νυκτοδρόμος νυκτοδρόμος νυκτοδρόμον,νυκτοδρόμος,0
67819,ν01510,νυκτοειδής,a,aps---cn5s,νυκτοειδής νυκτοειδής νυκτοειδές,νυκτοειδής,0
67820,ν01511,νυκτοθήρας,n,n-s---mn1a,νυκτοθήρου,νυκτοθήρας,0
67822,ν01513,νυκτόμαντις,n,----------,,νυκτόμαντις,0
67823,ν01514,νυκτομαχέω,v,----------,,νυκτομαχέω,0
67824,ν01515,νυκτομαχία,n,n-s---fn1l,νυκτομαχίας,νυκτομαχία,0
67827,ν01519,νυκτοπλοέω,v,----------,,νυκτοπλοέω,0
67828,ν01520,νυκτοπλοϊκός,a,aps---mn1-,νυκτοπλοϊκός νυκτοπλοϊκή νυκτοπλοϊκόν,νυκτοπλοϊκός,0
67829,ν01521,νυκτοπορέω,v,----------,,νυκτοπορέω,0
67830,ν01522,νυκτοπορία,n,n-s---fn1l,νυκτοπορίας,νυκτοπορία,0
67831,ν01523,νυκτοπότιον,n,n-s---nn2-,νυκτοποτίου,νυκτοπότιον,0
67833,ν01526,νυκτουργός,a,aps---cn2-,νυκτουργός νυκτουργός νυκτουργόν,νυκτουργός,0
67834,ν01524,νυκτοῦρος,n,n-s---mn2-,νυκτούρου,νυκτοῦρος,0
67835,ν01527,νυκτοφαής,n,----------,,νυκτοφαής,0
67836,ν01528,νυκτοφαίνουσα,n,n-s---fn1s,νυκτοφαίνουσας,νυκτοφαίνουσα,0
67837,ν01529,νυκτοφάνεια,n,n-s---fn1s,νυκτοφάνειας,νυκτοφάνεια,0
67838,ν01530,νυκτοφυλακέω,v,----------,,νυκτοφυλακέω,0
