φ01352,φιλοπροσηγορία,n,n-s---fn1l,φιλοπροσηγορίας,φιλοπροσηγορία,0
106974,φ01354,φιλοπροσηνής,a,aps---cn5s,φιλοπροσηνής φιλοπροσηνής φιλοπροσηνές,φιλοπροσηνής,0
106975,φ01355,φιλοπρωτεία,n,n-s---fn1l,φιλοπρωτείας,φιλοπρωτεία,0
106976,φ01356,φιλοπρωτεύω,v,----------,,φιλοπρωτεύω,0
106977,φ01357,φιλόπρωτος,a,aps---cn2-,φιλόπρωτος φιλόπρωτος φιλόπρωτον,φιλόπρωτος,0
106978,φ01358,φιλοπτόλεμος,n,----------,,φιλοπτόλεμος,0
106980,φ01360,φιλοπτωχία,n,n-s---fn1l,φιλοπτωχίας,φιλοπτωχία,0
106982,φ01362,φιλόπυρος,a,aps---cn2-,φιλόπυρος φιλόπυρος φιλόπυρον,φιλόπυρος,0
106983,φ01363,φιλόπυστος,a,aps---cn2-,φιλόπυστος φιλόπυστος φιλόπυστον,φιλόπυστος,0
106984,φ01364,φιλοπωριστής,n,n-s---mn1e,φιλοπωριστού,φιλοπωριστής,0
106985,φ01365,φιλοργής,a,aps---cn5s,φιλοργής φιλοργής φιλοργές,φιλοργής,0
106986,φ01366,φιλόργιος,a,aps---cn2-,φιλόργιος φιλόργιος φιλόργιον,φιλόργιος,0
106987,φ01367,φιλορήτωρ,n,n-s---mn3r,φιλορήτορος,φιλορήτωρ,0
106990,φ01370,φιλορμίστειρα,n,n-s---fn1s,φιλορμίστειρας,φιλορμίστειρα,0
106991,φ01371,φιλορνιθία,n,n-s---fn1l,φιλορνιθίας,φιλορνιθία,0
106992,φ01372,φίλορνις,n,----------,,φίλορνις,0
106993,φ01373,φιλορρηματία,n,n-s---fn1l,φιλορρηματίας,φιλορρηματία,0
106995,φ01375,φιλορρώθων,n,n-s---mn3n,φιλορρώθωνος,φιλορρώθων,0
106996,φ01376,φιλορρώξ,n,----------,,φιλορρώξ,0
106997,φ01377,φιλόρτυξ,n,----------,,φιλόρτυξ,0
106999,φ01379,φιλορχηστής,n,n-s---mn1e,φιλορχηστού,φιλορχηστής,0
107000,φ01380,φιλορχικός,a,aps---mn1-,φιλορχικός φιλορχική φιλορχικόν,φιλορχικός,0
107001,φ01381,φιλορώμαιος,a,aps---mn1-,φιλορώμαιος φιλορώμαια φιλορώμαιον,φιλορώμαιος,0
107002,φ01764,φῖλος,n,n-s---nn3v,φῖλεος,φῖλος,0
107003,φ01382,φίλος,a,aps---mn1-,,φίλος,0
107004,φ01384,φιλοσάραπις,n,n-s---mn3d,φιλοσαράπιδος,φιλοσάραπις,0
107005,φ01385,φιλοσαρκία,n,n-s---fn1l,φιλοσαρκίας,φιλοσαρκία,0
107050,φ01430,φιλοσύμμαχος,n,----------,,φιλοσύμμαχος,0
106960,φ01340,φιλοποτία,n,n-s---fn1l,φιλοποτίας,φιλοποτία,0
107008,φ01388,φιλόσϊτος,a,aps---cn2-,φιλόσϊτος φιλόσϊτος φιλόσϊτον,φιλόσϊτος,0
107010,φ01390,φιλόσκεπος,a,aps---cn2-,φιλόσκεπος φιλόσκεπος φιλόσκεπον,φιλόσκεπος,0
107011,φ01391,φιλόσκηπτρος,a,aps---cn2-,φιλόσκηπτρος φιλόσκηπτρος φιλόσκηπτρον,φιλόσκηπτρος,0
107012,φ01392,φιλοσκήπων,n,n-s---mn3n,φιλοσκήπωνος,φιλοσκήπων,0
107014,φ01394,φιλοσκόπελος,a,aps---cn2-,φιλοσκόπελος φιλοσκόπελος φιλοσκόπελον,φιλοσκόπελος,0
107015,φ01395,φιλόσκοπος,a,aps---cn2-,φιλόσκοπος φιλόσκοπος φιλόσκοπον,φιλόσκοπος,0
107016,φ01396,φιλοσκύλαξ,n,----------,,φιλοσκύλαξ,0
107017,φ01397,φιλοσκωμμοσύνη,n,n-s---fn1e,φιλοσκωμμοσύνης,φιλοσκωμμοσύνη,0
107019,φ01399,φιλοσκωπτέω,v,----------,,φιλοσκωπτέω,0
107020,φ01400,φιλοσκώπτης,n,n-s---mn1e,φιλοσκώπτου,φιλοσκώπτης,0
107022,φ01402,φιλόσμηνος,a,aps---cn2-,φιλόσμηνος φιλόσμηνος φιλόσμηνον,φιλόσμηνος,0
107023,φ01403,φιλοσοφέω,v,----------,,φιλοσοφέω,0
107024,φ01404,φιλοσόφημα,n,n-s---nn3t,φιλοσοφήματος,φιλοσόφημα,0
107025,φ01405,φιλοσοφητέον,n,----------,,φιλοσοφητέον,0
107026,φ01406,φιλοσοφία,n,n-s---fn1l,φιλοσοφίας,φιλοσοφία,0
107027,φ01407,φιλοσοφικός,a,aps---mn1-,φιλοσοφικός φιλοσοφική φιλοσοφικόν,φιλοσοφικός,0
107028,φ01408,φιλοσοφοκλῆς,n,----------,,φιλοσοφοκλῆς,0
107030,φ01410,φιλόσοφος,a,aps---cn2-,φιλόσοφος φιλόσοφος φιλόσοφον,φιλόσοφος,0
107031,φ01411,φιλοσπῆλυγξ,n,----------,,φιλοσπῆλυγξ,0
107033,φ01413,φιλοσπούδαστος,a,aps---cn2-,φιλοσπούδαστος φιλοσπούδαστος φιλοσπούδαστον,φιλοσπούδαστος,0
107034,φ01414,φιλόσπουδος,a,aps---cn2-,φιλόσπουδος φιλόσπουδος φιλόσπουδον,φιλόσπουδος,0
107035,φ01415,φιλοστάφυλος,a,aps---cn2-,φιλοστάφυλος φιλοστάφυλος φιλοστάφυλον,φιλοστάφυλος,0
107036,φ01416,φιλοστεφανέω,v,----------,,φιλοστεφανέω,0
107038,φ01418,φιλόστολος,a,aps---cn2-,φιλόστολος φιλόστολος φιλόστολον,φιλόστολος,0
107039,φ01419,φιλόστονος,a,aps---cn2-,φιλόστονος φιλόστονος φιλόστονον,φιλόστονος,0
107040,φ01420,φιλοστοργέω,v,----------,,φιλοστοργέω,0
107041,φ01421,φιλοστοργία,n,n-s---fn1l,φιλοστοργίας,φιλοστοργία,0
107043,φ01423,φιλοστρατιώτης,n,n-s---mn1e,φιλοστρατιώτου,φιλοστρατιώτης,0
107044,φ01424,φιλόστροφος,a,aps---cn2-,φιλόστροφος φιλόστροφος φιλόστροφον,φιλόστροφος,0
107045,φ01425,φιλοσύγγαμος,n,----------,,φιλοσύγγαμος,0
107047,φ01427,φιλόσυκος,a,aps---cn2-,φιλόσυκος φιλόσυκος φιλόσυκον,φιλόσυκος,0
107049,φ01429,φιλοσυμβίωτος,a,aps---cn2-,φιλοσυμβίωτος φιλοσυμβίωτος φιλοσυμβίωτον,φιλοσυμβίωτος,0
107007,φ01387,φιλοσίγματος,a,aps---cn2-,φιλοσίγματος φιλοσίγματος φιλοσίγματον,φιλοσίγματος,0
107054,φ01434,φιλοσυνουσιάζω,v,----------,,φιλοσυνουσιάζω,0
107055,φ01435,φιλοσυνουσιαστής,n,n-s---mn1e,φιλοσυνουσιαστού,φιλοσυνουσιαστής,0
107057,φ01437,φιλοσωκράτης,n,n-s---mn1e,φιλοσωκράτου,φιλοσωκράτης,0
107058,φ01438,φιλοσωματέω,v,----------,,φιλοσωματέω,0
107059,φ01439,φιλοσωματία,n,n-s---fn1l,φιλοσωματίας,φιλοσωματία,0
107061,φ01441,φιλοσώφρων,a,aps---cn3n,φιλοσώφρων φιλοσώφρων φιλοσώφρον,φιλοσώφρων,0
107062,φ01442,φιλοταλαίπωρος,a,aps---cn2-,φιλοταλαίπωρος φιλοταλαίπωρος φιλοταλαίπωρον,φιλοταλαίπωρος,0
107063,φ01443,φιλοτάπεινος,a,aps---cn2-,φιλοτάπεινος φιλοτάπεινος φιλοτάπεινον,φιλοτάπεινος,0
107064,φ01444,φιλοτάραχος,a,aps---cn2-,φιλοτάραχος φιλοτάραχος φιλοτάραχον,φιλοτάραχος,0
107066,φ01446,φιλοτεκνέω,v,----------,,φιλοτεκνέω,0
107067,φ01447,φιλοτεκνία,n,n-s---fn1l,φιλοτεκνίας,φιλοτεκνία,0
107069,φ01449,φιλοτερπής,a,aps---cn5s,φιλοτερπής φιλοτερπής φιλοτερπές,φιλοτερπής,0
107070,φ01450,φιλοτεχνέω,v,----------,,φιλοτεχνέω,0
107071,φ01451,φιλοτέχνημα,n,n-s---nn3t,φιλοτεχνήματος,φιλοτέχνημα,0
107072,φ01452,φιλοτέχνης,n,n-s---mn1e,φιλοτέχνου,φιλοτέχνης,0
107073,φ01453,φιλοτεχνητέον,n,----------,,φιλοτεχνητέον,0
107075,φ01456,φιλοτεχντεχνῖται,n,----------,,φιλοτεχντεχνῖται,0
107076,φ01455,φιλότεχνος,a,aps---cn2-,φιλότεχνος φιλότεχνος φιλότεχνον,φιλότεχνος,0
107077,φ01457,φιλότης,n,n-s---fn3t,φιλότητος,φιλότης,0
107078,φ01458,φιλοτήσιος,a,aps---mn1-,φιλοτήσιος φιλοτήσια φιλοτήσιον,φιλοτήσιος,0
107079,φ01459,φιλοτιβέριος,n,n-s---mn2-,φιλοτιβερίου,φιλοτιβέριος,0
107080,φ01460,φιλοτίμαιος,n,----------,,φιλοτίμαιος,0
107081,φ01461,φιλοτιμέομαι,v,----------,,φιλοτιμέομαι,0
107084,φ01464,φιλοτιμία,n,n-s---fn1l,φιλοτιμίας,φιλοτιμία,0
107085,φ01465,φιλότιμος,a,aps---cn2-,φιλότιμος φιλότιμος φιλότιμον,φιλότιμος,0
107086,φ01466,φιλοτοιοῦτος,n,n-s---mn2-,φιλοτοιούτου,φιλοτοιοῦτος,0
