00449197,r,9,"without assistance: ""I built this house single-handedly""",
99153,00449588,r,9,"by a factor of six: ""the population of this town increased sixfold when gold was found in the surrounding hills""",
99154,00449748,r,9,"in the sixth place: ""sixthly, we cannot afford a vacation""",
99155,00449842,r,9,"in a sketchy incomplete manner: ""he explained sketchily""; ""the dishes were only sketchily washed""",
99156,00449995,r,9,"with skill: ""fragments of a nearly complete jug, skillfully restored at the institute of archaeology""",
99157,00450165,r,9,"in a skimpy manner: ""a skimpily dressed woman""","1951,2234"
99158,00450266,r,9,"in a skittish manner: ""the horse pranced around skittishly""",
99159,00450382,r,9,"to a very high level: ""prices have gone sky-high""; ""garbage was piled sky-high""; ""the men were flung sky-high by the explosion""",
99160,00450546,r,9,"in a lavish or enthusiastic manner: ""he extolled her virtues sky-high""",
99161,00450672,r,9,"(with verb ""to blow"") destroyed completely; blown apart or to pieces; ""they blew the bridge sky-high""; ""the committee blew the thesis sky-high""",
99162,00450852,r,9,"with slang; in a slangy manner: ""he expresses himself slangily""",
99136,00447168,r,9,"(finance) without possessing something at the time it is contractually sold; ""he made his fortune by selling short just before the crash""",1768
99117,00444959,r,9,"in a mean and ungenerous manner: ""the two were haggling shabbily in the drawing-room""",2234
99116,00444853,r,9,"apart from others: ""the clothes were hung severally""",
99166,00451291,r,9,"in a slapdash manner: ""the shelves were put up slapdash""",
99167,00451384,r,9,"in a slavish manner: ""his followers slavishly believed in his new diet""",
99168,00451511,r,9,"in a sleek glossy manner: ""the wet road was shining sleekly""",
99170,00451768,r,9,"without sleep; in a sleepless manner: ""he was lying in bed sleeplessly""",
99174,00452348,r,9,"with a slouching gait or posture: ""he stood slouchingly at the garden gate""",2233
99172,00452081,r,9,"in a smooth and diplomatic manner: """"And now,"" he said smoothly, ""we will continue the conversation""""",
99173,00452237,r,9,"in a sloppy manner: ""this work was done rather sloppily""",
99191,00454780,r,9,"in a somber manner: """"That's sure bad news,"" said Dowd, somberly""",1502
99175,00452481,r,9,"in a slouchy manner: ""slouchily dressed""",
99176,00452577,r,9,"with a loud crash: ""the car went smash through the fence""",
99177,00452681,r,9,"with smiles; in a smiling manner: ""the girl reminded her smilingly of their childhood spent together""",
99178,00452838,r,9,"without smiling; in an unsmiling manner: ""unsmilingly, he greeted his in-laws""",
99179,00452974,r,9,"in a smug manner: ""the bureaucrats explained smugly that the facts provided by their own experts show no cause for concern""",
99181,00453252,r,9,"in an ill-natured and snappish manner; """"Don't talk to me now,"" she said snappishly""",
99180,00453150,r,9,in a smutty manner,
99182,00453393,r,9,"in a sneaky manner: ""I always felt sneakingly that I wanted to be a concert pianist""",
99183,00453534,r,9,"with a sneer; in an uncomplimentary sneering manner: """"I don't believe in these customs,"" he said sneeringly""",
99184,00453763,r,9,"in a snobbish manner: ""they snobbishly excluded their less wealthy friends from the party""",
99185,00453968,r,9,"with sobs: ""sobbingly, the teenager admitted killing the baby""",
99186,00454068,r,9,"in a sociable manner: ""sociably, the new neighbors invited everyone on the block for coffee""",
99187,00454233,r,9,"in an unsociable manner: ""the new neighbors behave quite unsociably""",
99192,00454911,r,9,"in a soothing manner: ""the mother talked soothingly to her child""",1718
99189,00454522,r,9,"in a concerned and solicitous manner: """"Don't you feel well?"" his mother asked solicitously""",
99190,00454673,r,9,"in solitude: ""a hermit chooses to live solitarily""",
99188,00454376,r,9,"with regard to sociology: ""sociologially speaking, this is an interesting phenomenon""",1675
99203,00456009,r,9,"in a soulless manner: ""they were soullessly grubbing for profit""",1502
99193,00455033,r,9,"extremely: ""dripping wet,"" ""soaking wet""",
