id,uri,lemma,pos,morpho,principal_parts,prosody,validated
83,α01452,ἄβλεπτος,a,aps---cn2-,ἄβλεπτος ἄβλεπτος ἄβλεπτον,ἄβλεπτος,0
129,α01497,ἁβροβόστρυχος,a,aps---cn2-,ἁβροβόστρυχος ἁβροβόστρυχος ἁβροβόστρυχον,ἁβροβόστρυχος,0
133,α01501,ἁβροδίαιτος,a,aps---cn2-,ἁβροδίαιτος ἁβροδίαιτος ἁβροδίαιτον,ἁβροδίαιτος,0
153,α01521,ἁβρότιμος,a,aps---cn2-,ἁβρότιμος ἁβρότιμος ἁβρότιμον,ἁβρότιμος,0
182,α01548,ἀβυρτακώδης,a,aps---cn3s,ἀβυρτακώδης ἀβυρτακώδης ἀβυρτακώ͂δες,ἀβυρτακώδης,0
195,α01562,ἀγαθείκελος,a,aps---cn2-,ἀγαθείκελος ἀγαθείκελος ἀγαθείκελον,ἀγαθείκελος,0
231,α01598,ἀγαθωσύνη,n,n-s---fn1e,ἀγαθωσύνης,ἀγαθωσύνη,0
234,α01660,ἀγαῖος,a,aps---mn1-,ἀγαῖος ἀγαῖα ἀγαῖον,ἀγαῖος,0
236,α01601,ἀγακλειτός,a,aps---mn1-,ἀγακλειτός ἀγακλειτή ἀγακλειτόν,ἀγακλειτός,0
284,α01648,ἀγανακτικός,a,aps---mn1-,ἀγανακτικός ἀγανακτική ἀγανακτικόν,ἀγανακτικός,0
301,α01667,ἀγάπησις,n,n-s---fn3v,ἀγαπησέως,ἀγάπησις,0
310,α01676,ἀγάρροος,a,aps---cn2-,ἀγάρροος ἀγάρροος ἀγάρροον,ἀγάρροος,0
336,α01714,ἀγγεῖον,n,n-s---nn2-,ἀγγείου,ἀγγεῖον,0
338,α01703,ἀγγειώδης,a,aps---cn3s,ἀγγειώδης ἀγγειώδης ἀγγειώ͂δες,ἀγγειώδης,0
362,α01730,ἀγείσωτος,a,aps---cn2-,ἀγείσωτος ἀγείσωτος ἀγείσωτον,ἀγείσωτος,0
387,α01755,ἀγελήτης,n,n-s---mn1e,ἀγελήτου,ἀγελήτης,0
388,α01756,ἀγελητρόφος,n,n-s---mn2-,ἀγελητρόφου,ἀγελητρόφος,0
396,α01764,ἀγενεαλόγητος,a,aps---cn2-,ἀγενεαλόγητος ἀγενεαλόγητος ἀγενεαλόγητον,ἀγενεαλόγητος,0
426,α01793,ἀγεωμέτρητος,a,aps---cn2-,ἀγεωμέτρητος ἀγεωμέτρητος ἀγεωμέτρητον,ἀγεωμέτρητος,0
441,α01808,ἀγήνωρ,a,aps---mn5r,,ἀγήνωρ,0
443,α01810,ἀγήραντος,a,aps---cn2-,ἀγήραντος ἀγήραντος ἀγήραντον,ἀγήραντος,0
462,α01827,ἀγίγαρτος,a,aps---cn2-,ἀγίγαρτος ἀγίγαρτος ἀγίγαρτον,ἀγίγαρτος,0
495,α01860,ἀγκιστρεύω,v,----------,,ἀγκιστρεύω,0
498,α01863,ἀγκιστροειδής,a,aps---cn5s,ἀγκιστροειδής ἀγκιστροειδής ἀγκιστροειδές,ἀγκιστροειδής,0
530,α01895,ἀγκυλόκυκλος,a,aps---cn2-,ἀγκυλόκυκλος ἀγκυλόκυκλος ἀγκυλόκυκλον,ἀγκυλόκυκλος,0
544,α01909,ἄγκυρα,n,n-s---fn1s,ἄγκυρας,ἄγκυρα,0
550,α01915,ἀγκυροβολέω,v,----------,,ἀγκυροβολέω,0
565,α01930,ἀγκωνοειδής,a,aps---cn5s,ἀγκωνοειδής ἀγκωνοειδής ἀγκωνοειδές,ἀγκωνοειδής,0
592,α01957,ἀγλαοτρίαινα,n,----------,,ἀγλαοτρίαινα,0
622,α01987,ἁγνευτικός,a,aps---mn1-,ἁγνευτικός ἁγνευτική ἁγνευτικόν,ἁγνευτικός,0
643,α02008,ἀγνοητός,a,aps---mn1-,ἀγνοητός ἀγνοητή ἀγνοητόν,ἀγνοητός,0
56,α01425,ἀβελτέρειος,a,aps---mn1-,ἀβελτέρειος ἀβελτέρεια ἀβελτέρειον,ἀβελτέρειος,0
5310,α05944,ἀμφίβολος,a,aps---cn2-,ἀμφίβολος ἀμφίβολος ἀμφίβολον,ἀμφίβολος,0
82,α01451,ἀβλέπτημα,n,----------,,ἀβλέπτημα,0
698,α02063,ἀγοραστής,n,n-s---mn1e,ἀγοραστού,ἀγοραστής,0
5324,α05959,ἀμφίγλωσσος,a,aps---cn2-,ἀμφίγλωσσος ἀμφίγλωσσος ἀμφίγλωσσον,ἀμφίγλωσσος,0
713,α02076,ἀγορητύς,n,n-s---fn3v,ἀγορητύος,ἀγορητύς,0
751,α02115,ἀγρευτήρ,n,n-s---mn3r,ἀγρευτῆρος,ἀγρευτήρ,0
770,α02135,ἀγριέλαιος,a,aps---cn2-,ἀγριέλαιος ἀγριέλαιος ἀγριέλαιον,ἀγριέλαιος,0
803,α02168,ἀγριοποιός,a,aps---cn2-,ἀγριοποιός ἀγριοποιός ἀγριοποιόν,ἀγριοποιός,0
842,α02205,ἀγροικόσοφος,a,aps---cn2-,ἀγροικόσοφος ἀγροικόσοφος ἀγροικόσοφον,ἀγροικόσοφος,0
853,α02216,ἀγρονόμος,a,aps---cn2-,ἀγρονόμος ἀγρονόμος ἀγρονόμον,ἀγρονόμος,0
901,α02262,ἀγυρτικός,a,aps---mn1-,ἀγυρτικός ἀγυρτική ἀγυρτικόν,ἀγυρτικός,0
907,α02268,ἄγχαυρος,a,aps---cn2-,ἄγχαυρος ἄγχαυρος ἄγχαυρον,ἄγχαυρος,0
912,α02273,ἀγχίαλος,a,aps---cn2-,ἀγχίαλος ἀγχίαλος ἀγχίαλον,ἀγχίαλος,0
945,α02306,ἀγχίσπορος,a,aps---cn2-,ἀγχίσπορος ἀγχίσπορος ἀγχίσπορον,ἀγχίσπορος,0
953,α02314,ἀγχιστίνδην,r,----------,,ἀγχιστίνδην,0
962,α02323,ἀγχίφυτος,a,aps---cn2-,ἀγχίφυτος ἀγχίφυτος ἀγχίφυτον,ἀγχίφυτος,0
985,α02348,ἀγωγαῖος,a,aps---cn2-,ἀγωγαῖος ἀγωγαῖος ἀγωγαῖον,ἀγωγαῖος,0
1006,α02369,ἀγωνιστέον,a,----------,,ἀγωνιστέον,0
1053,α02415,ἀδάπανος,a,aps---cn2-,ἀδάπανος ἀδάπανος ἀδάπανον,ἀδάπανος,0
1069,α02432,ἀδειγμάτιστος,a,aps---cn2-,ἀδειγμάτιστος ἀδειγμάτιστος ἀδειγμάτιστον,ἀδειγμάτιστος,0
