,ἀτρύμων,a,aps---cn3n,ἀτρύμων ἀτρύμων ἀτρύμον,ἀτρύμων,0
16312,α16799,ἀτρύπητος,n,----------,,ἀτρύπητος,0
16313,α16800,ἄτρυτος,a,aps---cn2-,ἄτρυτος ἄτρυτος ἄτρυτον,ἄτρυτος,0
16314,,Ἀτρυτώνη,n,n-s---fn1e,Ἀτρυτώνης,Ἀτρυτώνη,0
16315,α16801,ἀτρύφερος,a,----------,,ἀτρύφερος,0
16316,α16802,ἀτρύφητος,a,aps---cn2-,ἀτρύφητος ἀτρύφητος ἀτρύφητον,ἀτρύφητος,0
16317,α16803,ἄτρυφος,a,aps---cn2-,ἄτρυφος ἄτρυφος ἄτρυφον,ἄτρυφος,0
16318,α16804,ἀτρώς,n,n-s---cn3d,ἀτρῶτος,ἀτρώς,0
16319,α16805,ἀτρωσία,n,n-s---fn1l,ἀτρωσίας,ἀτρωσία,0
16320,α16806,ἄτρωτος,a,aps---cn2-,ἄτρωτος ἄτρωτος ἄτρωτον,ἄτρωτος,0
16321,α16808,ἄττα,n,n-s----n--,,ἄττα,0
16322,α16807,ἄττα,v,----------,,ἄττα,0
16323,α16809,ἀτταβυγάς,v,----------,,ἀτταβυγάς,0
16324,α16813,ἀτταγᾶς,n,n-s---mn2c,ἀτταγᾶ,ἀτταγᾶς,0
16325,α16810,ἀτταγεινός,n,----------,,ἀτταγεινός,0
16326,α16811,ἀτταγήν,n,n-s---mn3n,ἀτταγῆνος,ἀτταγήν,0
16327,α16812,ἀτταγηνάριον,n,n-s---nn2-,ἀτταγηναρίου,ἀτταγηνάριον,0
16328,α16814,ἀτταγῆς,n,----------,,ἀτταγῆς,0
16329,α16815,ἀττάκης,n,n-s---mn1e,ἀττάκου,ἀττάκης,0
16330,,Ἀτταλεῖον,n,n-s---nn2-,Ἀτταλείου,Ἀτταλεῖον,0
16331,,Ἀτταλιανόν,n,----------,,Ἀτταλιανόν,0
16332,,Ἀτταλίς,n,n-s---fn3d,Ἀτταλίδος,Ἀτταλίς,0
16333,,Ἀτταλισταί,n,n-p---mn2-,Ἀτταλιστῶν,Ἀτταλισταί,0
16334,α16816,ἀττάμιος,a,aps---cn2-,ἀττάμιος ἀττάμιος ἀττάμιον,ἀττάμιος,0
16335,α16817,ἀττάραγος,n,n-s---mn2-,ἀτταράγου,ἀττάραγος,0
16336,α16818,ἀτταταῖ,n,----------,,ἀτταταῖ,0
16337,α16819,ἀττέλαβος,n,n-s---mn2-,ἀττελάβου,ἀττέλαβος,0
16338,α16820,ἀττελεβόφθαλμος,a,aps---cn2-,ἀττελεβόφθαλμος ἀττελεβόφθαλμος ἀττελεβόφθαλμον,ἀττελεβόφθαλμος,0
16339,α16821,ἀττηγός,n,----------,,ἀττηγός,0
16340,,Ἄττης,n,----------,,Ἄττης,0
16341,,Ἀττίδεια,n,n-p---nn2-,Ἀττιδείων,Ἀττίδεια,0
16342,,Ἀττικηρῶς,r,----------,,Ἀττικηρῶς,0
16343,,Ἀττικιανός,a,aps---mn1-,Ἀττικιανός Ἀττικιανή Ἀττικιανόν,Ἀττικιανός,0
16344,,Ἀττικίζω,v,----------,,Ἀττικίζω,0
16345,,Ἀττίκισις,n,n-s---fn3v,Ἀττικισέως,Ἀττίκισις,0
16346,,Ἀττικισμός,n,----------,,Ἀττικισμός,0
16306,α16793,ἄτροφος,a,aps---cn2-,ἄτροφος ἄτροφος ἄτροφον,ἄτροφος,0
