nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
147907,L7297942,n,1,a soothsayer in Argos,
147909,L7305476,n,1,"son of Ixion, king of the Lapithoe, husband of Hippodamia, and friend of Theseus",
147910,L7305633,n,1,a promontory of the Thracian Chersonese where Hecuba was buried,
147915,L7319383,n,1,a Scythian,
147918,L7332463,n,1,a false read,
147920,L7334047,n,1,"a Roman deity to whom nocturnal lightnings were asscribed, but whose precise nature was unknown even to Ovid",
147921,L7335036,n,1,"for Poenus, Punic, Carthaginian",
147924,L7341004,n,1,a Persian,
147917,L7322824,n,1,"fell on the 21st of August, and at this time the altar of the god, at the lower end of the Circus Maximus, was uncovered, though heaped with earth all the rest of the year",1666
147916,L7319751,n,1,"a town in the island of Rhodes, founded by Lindus, brother of Ialysus, with a temple of Minerva, now Lindo",2775
147875,L7234590,n,1,"wife of a flamen, priest",1565
147887,L7259259,n,1,opposition between two conflicting laws,1802
147872,L7233075,n,1,a town in Etruria,2775
147904,L7293779,n,1,a mountain in Palestine,2775
147898,L7280030,n,1,a district in Spain,2775
147919,L7333664,n,1,a town in Venetia,2775
147879,L7239517,n,1,an Epicurean philosopher,1545
147896,L7268696,n,1,"An Academic philosopher, pupil of Carneades",1545
147906,L7295997,n,1,a mountain in Aetolia,2775
147871,L7231810,n,1,a cognomen of the gens Cornelia,2792
147912,L7314189,n,1,a town and harbor in Ionia,2775
147873,L7234271,n,1,a region of Palestine,2775
147913,L7314907,n,1,"the name of Ino, daughter of Cadmus, after she was received among the sea-gods",1666
147880,L7240456,n,1,"a city in Calabria, now Nardo",2775
147925,L7344174,n,1,"a city of Thessaly, where Protesilaus reigned",2775
147926,L7351029,n,1,"a very ancient city of Etruria, a colony of Pisa in Elis",2775
147868,L7215397,n,1,a township in Attica,2775
147888,L7259798,n,1,a town and harbor of Ionia,2775
147911,L7310298,n,1,"a town in Pontus, on the Thermodon",2775
147923,L7340668,n,1,"a river in Epirus, now the Calamas",2775
147900,L7285684,n,1,a long iron sacrificial knife,1666
147914,L7316037,n,1,the tongue of a buckle,2413
147928,L7356510,n,1,"the founder and first king of Rome, worshipped after his death as Quirinus",
147929,L7359240,n,1,"son of Jupiter and Electra, beloved of Ceres",
147931,L7359668,n,1,"an Egyptian king, builder of the labyrinth",
147933,L7365655,n,1,the Medes,
147934,L7366356,n,1,one of the first four Muses,
147935,L7366386,n,1,"a Centaur, killed by Theseus",
147937,L7372455,n,1,a Latin proper name,
147938,L7381768,n,1,the Odyssey of Homer,
147941,L7391675,n,1,the name of one of the Fates,
147943,L7395115,n,1,a kind of chestnut,
147944,L7395872,n,1,a tyrant of Leontini,
147945,L7397418,n,1,"the son of Priam and Hecuba, also called Alexandros",
147947,L7400970,n,1,"a village in Gallia Narbonensis, between Tolosa and Narbo",
147948,L7406550,n,1,another name for the isle of Delos,
147949,L7408831,n,1,"Publius, a fellowconspirator with Catiline",
147952,L7417523,n,1,"falseDamasippus, Pseudo - Damasippus",
147953,L7418332,n,1,the name of a horse in the team of Phoebus,
147955,L7419111,n,1,"Polyb., a people in Hispania Tarraconensis, near the Pyrenees",
147960,L7429360,n,1,one of Actaeon's hounds,
147962,L7435736,n,1,name of a slave,
147964,L7439116,n,1,a female descendant of Minos,
147965,L7440717,n,1,a female proper name,
147971,L7456423,n,1,a celebrated Egyptian mathematician and astrologer,
147972,L7457559,n,1,an unknown people in Sicily,
147974,L7458830,n,1,a fortress of Athamania,
147975,L7467243,n,1,a joint mother-in-law,
147976,L7468573,n,1,a celebrated Greek tragic actor,
147977,L7469096,n,1,son of the Thessalian king Triopas,
147978,L7470616,n,1,"Limone, a daughter of Hippomenes of Athens, who, as a punishment for unchastity, was thrown by her father to a horse to be devoured",
147981,L7474433,n,1,"an epithet of Virgil, on account of the purity of his morals",
147982,L7480610,n,1,Steph,
147986,L7489726,n,1,a Sarmatian,
147987,L7489850,n,1,a crystalline vase,
147969,L7445545,n,1,"another name for Etrusci, the inhabitants of Etru ria, the Tuscans, Etruscans, Etrurians",1696
147959,L7428276,n,1,"a city built by Alexander the Great, after the destruction of Tyre, upon the north coast of Egypt",2775
147980,L7473787,n,1,"the daughter of Jupiter and Necessity, the goddess who rewards men for their deeds, and who especially punishes pride and arrogance",1666
147946,L7398465,n,1,"a high snow-capped mountain, and the forest upon it, south-east of Rome, between Tusculum and Velitroe, now Monte Compatri",2775
147950,L7411259,n,1,"a very ancient town in Umbria, now Amelia",2775
