id,english,code,hypers,hypons
1329,Space,114,1326,
2210,Swine,636.4,2206,
1212,"Computer science, information & general works",000,,"1213,1240,1249,1257,1268,1278,1289,1298,1308"
1213,"Computer science, knowledge & systems",000,1212,"1214,1212,1235,1227,1222,1221,1220"
1214,Knowledge,001,1213,"1215,1219,1218,1217,1216"
1215,Intellectual Life,001.1,1214,
1216,Scholarship and Learning,001.2,1214,
1217,Humanities,001.3,1214,
1218,Research,001.4,1214,
1219,Controversial knowledge,001.9,1214,
1220,The book,002,1213,
1221,Systems,003,1213,
1222,Data processing & computer science,004,1213,"1223,1226,1225,1224"
1223,"Systems analysis and design, computer architecture",004.2,1222,
1224,Storage,004.5,1222,
1225,Interfacing and communications,004.6,1222,
1226,Peripherals,004.7,1222,
1227,"Computer programming, programs & data",005,1213,"1234,1233,1232,1231,1230,1229,1228"
1228,Programming,005.1,1227,
1229,Programming for specific types of computers,005.2,1227,
1230,Programs,005.3,1227,
1231,Systems programming and programs,005.4,1227,
1232,Microprogramming and microprograms,005.6,1227,
1233,Data in computer systems,005.7,1227,
1234,Data security,005.8,1227,
1235,Special computer methods,006,1213,"1239,1238,1237,1236"
1236,Artificial intelligence,006.3,1235,
1237,Computer pattern recognition,006.4,1235,
1238,Computer sound synthesis,006.5,1235,
1239,Computer graphics,006.6,1235,
1240,Bibliographies,010,1212,"1240,1241,1242,1243,1244,1245,1246,1247,1248"
1241,Bibliography,010,1240,
1242,Bibliographies of individuals,012,1240,
1243,Of anonymous & pseudonymous works,014,1240,
1244,Bibliographies of works from specific places,015,1240,
1245,Bibliographies of works on specific subjects,016,1240,
1246,General subject catalogs,017,1240,
1247,"Catalogs arranged by author, date, etc.",018,1240,
1248,Dictionary catalogs,019,1240,
1249,Library & information sciences,020,1212,"1256,1255,1254,1253,1252,1251,1250,1249"
1250,Library relationships,021,1249,
1251,Administration of physical plant,022,1249,
1252,Personnel management,023,1249,
1253,Library operations,025,1249,
1254,Libraries for specific subjects,026,1249,
1255,General libraries,027,1249,
1256,Reading & use of other information media,028,1249,
1257,Encyclopedias & books of facts,030,1212,"1258,1259,1260,1261,1262,1263,1264,1265,1266,1267"
1258,General encyclopedic works,030,1257,
1259,Encyclopedias in American English,031,1257,
1260,Encyclopedias in English,032,1257,
1261,In other Germanic languages,033,1257,
